序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    菜车开到家门口，老奶奶也可以买菜了！ ​​​​                                            ",是,无, 2012-8-23 16:38,转发,评论,赞,微博 weibo.com,yyv6pimt2
2,"
                                                                                                    今天社区对门店人员进行消防安全培训，让消防警察给大家好好上了课！ ​​​​                                            ",是,无, 2012-8-23 16:33,转发,评论,赞,微博 weibo.com,yyv4A6UtM
3,"
                                                                                                    一定及时办理。                                            ",否,"
                                                                                                    区武装部通知：8月20日前，有适龄青年需要办理入学报名手续的，请通知其本人携带身份证、一寸电子版照片（50K以下），到海淀区武装部现场办理兵役证（8:30--11：30；14:00--16:30），其它大批量的发放时间不变。请适龄青年还没办理的抓紧时间办理。 ​​​​                                                            ", 2012-8-17 15:53,转发,评论,赞,微博 weibo.com,yxAf33YXT
4,"
                                                                                                    好                                            ",否,"
                                                                                                    菜车进社区 居民买菜方便多了！很受欢迎！ ​​​​                                                            ", 2012-8-17 15:49,转发,评论,赞,微博 weibo.com,yxAdI1P8t
5,"
                                                                                                    菜车进社区 居民买菜方便多了！很受欢迎！ ​​​​                                            ",是,无, 2012-8-17 14:24,1,评论,赞,微博 weibo.com,yxzF2BsFf
6,"
                                                                                                    风雨夜，我们一起坚守！ ​​​​                                            ",是,无, 2012-7-31 15:32,转发,评论,赞,微博 weibo.com,yuZQ88dP8
7,"
                                                                                                    网格的力量大！ ​​​​                                            ",是,无, 2012-7-27 16:50,转发,评论,赞,微博 weibo.com,yuoDHaWbf
8,"
                                                                                                    社区居民才艺展示——- ​​​​                                            ",是,无, 2012-7-23 15:19,1,评论,赞,微博 weibo.com,ytMkZ27PK
9,"
                                                                                                    社区安全燃气宣传 ​​​​                                            ",是,无, 2012-7-23 15:16,转发,评论,赞,微博 weibo.com,ytMjAqb6T
10,"
                                                                                                    富润社区居民顺口写诗一首赞富润家园：人间仙境 富知学院路 润泽千万户 家家讲和谐 园园宜居住 ​​​​                                            ",是,无, 2012-7-17 14:00,转发,评论,赞,微博 weibo.com,ysRfMowpp
11,"
                                                                                                    富润社区第二季度简报出炉了 ​​​​                                            ",是,无, 2012-7-16 16:33,转发,评论,赞,微博 weibo.com,ysIPItP5O
12,"
                                                                                                    地铁扰民太厉害了，我们这里的居民一直来反映噪音无法忍受，都无法办公了。 ​​​​                                            ",是,无, 2012-7-16 15:20,转发,评论,赞,微博 weibo.com,ysIlKqMCY
13,"
                                                                                                    今夜雷阵雨                                            ",否,"
                                                                                                    北京似乎完全进入了多雨的季节。昨日京城天空难得放晴，阳光乍现，午后一小阵降雨来袭。今天本市依然有雷阵雨降临，白天晴转阴，阵雨断断续续持续到夜间，最高气温将达32℃，潮湿闷热依旧。提醒市民，最好查看即时天气资讯，出门最好带上雨具，避免淋雨。 ​​​​                                                            ", 2012-7-12 10:15,转发,评论,赞,微博 weibo.com,ys4E1a3th
14,"
                                                                                                    社区有了小帮手服务器，满方便的，这不，有位大妈家里突然停电就居委会用小帮手充电了，马上就可以用上了，真高兴！ ​​​​                                            ",是,无, 2012-7-11 11:32,转发,评论,赞,微博 weibo.com,yrVJ03D8n
15,"
                                                                                                    社区和谐杯，外籍居民踊跃参加： ​​​​                                            ",是,无, 2012-7-9 12:45,转发,评论,赞,微博 weibo.com,yrDlq8AgV
16,"
                                                                                                    社区举办摄影班、社区居民手工制作才艺展，欢迎社区居民参加！ ​​​​                                            ",是,无, 2012-7-9 12:41,转发,3,赞,微博 weibo.com,yrDjU9djq
17,"
                                                                                                    十年窗下无人问，一举成名天下知。有了微博无需宅，一呼百应朋友遍天下，今后必当好好织微博，并获得微博特发【一举成名】勋章。O网页链接 ​​​​                                            ",是,无, 2012-7-9 12:36,转发,评论,赞,勋章馆,yrDhRmSCR
18,"
                                                                                                     ​​​​                                            ",是,无, 2012-7-9 11:00,转发,评论,赞,微博 weibo.com,yrCEJFGek
