序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    //@交通北京: #转发微博#iPad在那里，失主您在哪里？                                            ",否,"
                                                                                                    #爱心帮帮转#【寻主人】iPad：主人你在哪里？ 。8月11日19点左右，北京地铁工作人员在地铁2号线安定门站A口附近拾到iPad一部。请失主携带有效证件尽快到车站找工作人员领取，也可以通过私信方式与北京地铁微博联系。 ​​​​                                                            ", 2012-8-28 15:30,转发,评论,赞,微博 weibo.com,yzfNnlAoE
2,"
                                                                                                    转发微博。                                            ",否,"
                                                                                                    #媒体报道#继北京友谊医院之后，北京朝阳医院将于9月1日启动“医药分开”试点，通过取消药品加成、挂号费和诊疗费，建立医事服务费制度，既不让医院收入减少，又能遏制医院多卖药的利益驱动。O网页链接 ​​​​                                                            ", 2012-8-28 15:16,转发,评论,赞,政府版微博,yzfHMuMul
3,"
                                                                                                    只要您加入 它将更精彩 《志新智囊团》在这里等待您的参与。 ​​​​                                            ",是,无, 2012-8-20 15:31,转发,13,赞,微博 weibo.com,yy2nNFAyn
4,"
                                                                                                    区武装部通知：8月20日前，有适龄青年需要办理入学报名手续的，请通知其本人携带身份证、一寸电子版照片（50K以下），到海淀区武装部现场办理兵役证（8:30--11：30；14:00--16:30），其它大批量的发放时间不变。请适龄青年还没办理的抓紧时间办理。 ​​​​                                            ",是,无, 2012-8-17 11:13,7,评论,赞,微博 weibo.com,yxypoaLik
5,"
                                                                                                    通知：为广泛宣传全市共产党员践行“北京精神”、推进“人文北京、科技北京、绿色北京”。北京广播电视台选取李兴旺等优秀共产党员为拍摄对象，联合制作电视系列片《为你而歌》，将在北京电视台卫视频道每晚18:00播出。播出日期从8月6日至17日。请广大社区党员、入党积极分子以及社区居民及时收看。 ​​​​                                            ",是,无, 2012-8-7 09:42,1,7,赞,微博 weibo.com,yw1xt1jvC
6,"
                                                                                                    为增强居民法律意识，志新社区与瑞铭永嘉律师事务所将给居民举办法律讲座，为居民做法律方面的答疑，欢迎大家踊跃参加。讲座时间：8月7日下午2点30分 地点：志新居委会二层会议室 ​​​​                                            ",是,无, 2012-8-3 16:08,转发,1,赞,微博 weibo.com,yvsmnv8FF
7,"
                                                                                                    转发微博。                                            ",否,"
                                                                                                    北京连日大雨，池塘、湖泊、河道内的水涨了不少，岸边的土壤也变的松软、湿滑，这时走在岸边，可要小心了，脚一滑就有可能跌进水里。常在河边走，哪有不湿鞋啊，建议您这几天离河岸远点儿。尤其小孩子玩心大，见水就高兴，又是暑假，大人可要叮嘱孩子不要在这些“危险地带”玩耍，以免发生危险。 ​​​​                                                            ", 2012-7-31 14:40,转发,评论,赞,政府版微博,yuZviz4dJ
8,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    目前，村民均已安排在安全区域的帐篷里，到了晚上，老人孩子都冻得够呛。我们这次只带了饮用水和食品，回头有别的志愿者再来，可以捎些防潮垫和毯子来。地点：房山区河北镇口儿村。 我在:2房易路 ​​​​                                                            ", 2012-7-31 14:35,转发,评论,35,微博 weibo.com,yuZtbCwua
9,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    我们身边""最可爱的人""_海淀环卫中心二队李成友.O网页链接 ​​​​                                                            ", 2012-7-31 14:32,1,评论,赞,微博 weibo.com,yuZs2pELW
10,"
                                                                                                    转发微博                                            ",否,微博已被原作者删除, 2012-7-31 14:03,-1,评论,赞,微博 weibo.com,yuZgakaYM
