序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    @QIBAOMEI！我要送你 “哈根达斯玫瑰馨语蛋糕冰淇淋” ~特别的爱给我最特别的你，因为有你，幸福不在别处。 ！大家快来帮我转发这条微博！赢走这个蛋糕！转发后点击O网页链接 立即获得八折优惠券！ ​​​​                                            ",是,无, 2012-8-30 17:22,转发,评论,赞,微博 weibo.com,yzznUvpev
2,"
                                                                                                    2012年年底，本市将开通4条轨道新线，分别是6号线一期、8号线二期南段、9号线北段和10号线二期。届时，本市地铁在运里程将达到442公里。 ​​​​                                            ",是,无, 2012-8-30 08:44,转发,评论,赞,微博 weibo.com,yzvZwyCwr
3,"
                                                                                                    【 哣哣告诉你，身.体哪里生病了？】你的face上长了烦人的哣哣吗？你用尽了所有的方法还是去不掉它。那可能是你的身.体禸有些小麻烦哦.。。。。 来看看怎样根治：O网页链接 ​​​​                                            ",是,无, 2012-8-30 08:42,转发,评论,赞,微博 weibo.com,yzvYMuuwn
4,"
                                                                                                    [bed凌乱]今日限行5和0，最高气温34℃。如果说还在三伏，这样的天气我们也无所谓，但经过上周的飒飒秋意，这夏天的回马枪就格外的难耐。昨天有位朋友一天都在抱着冷饮，到了下午：心烦，恶心，肚子里一漾一漾的“烦闷”。提醒大家，爱护健康，远离饮料！[巨汗] ​​​​                                            ",是,无, 2012-8-30 08:42,转发,评论,赞,微博 weibo.com,yzvYEu2QZ
5,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #民生海淀#海淀苏家坨将建大型中医院。依托西苑医院的医疗资源，海淀将在苏家坨地区开工建设一所三级医院标准的大型公立中医院。目前立项已完成，即将开工，大约两年内建成投入使用，设计床位300余张。医院将以康复、养老等专科医疗服务为主，缓解北部居民就医难。[膜拜了]@首都健康 ​​​​                                                            ", 2012-8-29 16:44,转发,评论,赞,微博 weibo.com,yzpHTuipX
6,"
                                                                                                    保健：将大蒜捣汁，按其重量加甘油两倍份，在用盐水洗鼻擦干后，以棉球蘸蒜甘油塞于鼻内，可以治疗鼻炎 ​​​​                                            ",是,无, 2012-8-29 16:40,转发,2,赞,微博 weibo.com,yzpG5e4AY
7,"
                                                                                                    【夏季孩子饮食注意事项】夏季气温高，食物易变质，制作过程中注意卫生。选购食品注意新鲜 、冰箱熟食不超过2天，食用时加热。饮料、水果、酸奶从冰箱拿出时要在室温下放置20分钟再吃 、夏季汗多，多饮水，每天摄入1200-1500毫升水。凉白开水为主，辅以饮料 、饮食上忌重油重荤，色泽搭配好看。 ​​​​                                            ",是,无, 2012-8-29 16:39,转发,评论,赞,微博 weibo.com,yzpFU18bE
8,"
                                                                                                    【非京籍者办护照先网上预约】#聚焦北京#9月1日起，非京户籍人员可在本市办理出入境证件。符合条件的非京籍人士办理时需提前网上预约，以提前完成审核工作，减少申请人等候时间。申请人可登录首都之窗网站（O网页链接）或拨打出入境管理总队咨询电话（84020101）了解相关信息。 ​​​​                                            ",是,无, 2012-8-29 16:39,转发,评论,赞,微博 weibo.com,yzpFM2phe
9,"
                                                                                                    今天是七夕节，祝有情人终成眷属，大家开开心心[玫瑰][玫瑰][玫瑰] ​​​​                                            ",是,无, 2012-8-23 15:15,1,评论,赞,微博 weibo.com,yyuyB3siR
10,"
                                                                                                    //@杭锦后旗公安局:转发微博                                            ",否,"
                                                                                                    女性驾车需防劫。1、开车养成锁车门的习惯；2、不在僻静处停车；3、车中不要放贵重财物；4、遇到擦碰等情况要及时报警求助；5、不与陌生人搭讪。 ​​​​                                                            ", 2012-8-22 22:02,转发,评论,赞,Xperia neo MT15i,yynNsjJ90
