序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    东直门街道居家养老服务一条街，位于东城区东中街铜厂子胡同，全长约300米，于2010年6月29日投入使用。它由“零距离”服务站、老年关爱中心、居家养老服务网点、宣传长廊四部分组成。 ​​​​                                            ",是,无, 2012-8-28 17:11,转发,评论,赞,微博 weibo.com,yzgsgEG4p
2,"
                                                                                                    24日由东直门街道总工会、街道妇联、团委、非公党委联合组织开展的“甜蜜七夕•和谐恋爱”文化沙龙----暨东直门地区单身青年联谊会活动在糖果俱乐部举行，地区的红马传媒、嘉城嘉信、中国船级社等单位90多名单身男女青年参加了此次活动。 ​​​​                                            ",是,无, 2012-8-28 16:34,转发,评论,赞,微博 weibo.com,yzgdp4Qcc
3,"
                                                                                                    8月17日下午，香北万国城和谐之美艺术团到国展天虹商场门前举行天虹杯第三届才艺展示大赛暨社区消夏文艺联欢会。60多名文艺骨干们表演了形式新颖的节目，聚会在老年合唱队<<国家>>中落下帷幕。 ​​​​                                            ",是,无, 2012-8-26 11:07,1,1,赞,微博 weibo.com,yyVdGcrDP
4,"
                                                                                                    8月14日上午，清水苑社区开展“京版集团健康专家宣讲团”健康讲座。邀请到了北京中医药大学东直门医院临床研究中心主任，北京电视台《养生堂》栏目特约专家吴圣贤，主题是“讲述千年本草精华，点亮百岁健康人生”，吴主任为居民讲述如何用中药养生补养元气，还为居民提供夏季的解暑小方。good] ​​​​                                            ",是,无, 2012-8-26 11:04,转发,评论,赞,微博 weibo.com,yyVce4Non
5,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【京产香蕉等您采摘】#北京你好#从今儿开始到11月25号，北京第二届香蕉节开幕，大家可以去小汤山特菜大观园采摘北京产的“树熟”香蕉。目前,北京成功引种了13种热带水果，有各具特色的50个南果观光采摘园区，由于在温室里生长，一年四季有果可摘、有景可观。 ​​​​                                                            ", 2012-8-26 10:57,转发,评论,3,微博 weibo.com,yyV9ub1nj
6,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #早安小贴士#周日好！今天北京多云转阵雨，22-29°C，空气污染扩散条件中等，紫外线强度较弱。在这大好天气的周末，大家赶快投身大自然参与户外运动，尽情感受运动的快乐吧，以充沛的活力迎接即将开始的新一周！ ​​​​                                                            ", 2012-8-26 10:55,转发,评论,赞,微博 weibo.com,yyV8Hqilf
7,"
                                                                                                    大家一起为天才少女、神奇女孩叶诗文喝彩，她是中国人民的骄傲！[奥运金牌]                                            ",否,"
                                                                                                    【视频-叶诗文200米混合破纪录夺金 再演超级冲刺】O网页链接北京时间2012年8月1日，在第三十届伦敦奥运会女子200米个人混合泳决赛中，中国选手叶诗文以2分07秒57破奥运会记录，夺得了女子200米混合泳的冠军！ ​​​​                                                            ", 2012-8-1 09:22,转发,评论,19,微博搜索,yv6Qqfs0X
8,"
                                                                                                    //@北京发布: 转发微博                                            ",否,"
                                                                                                    市国土资源局和市气象局联合发布地质灾害黄色预警，特提醒广大市民做好应对降雨准备：1、请注意关好门窗，拔掉电器电源。2、检查自家的阳台、露台地漏及院落排水孔等是否畅通。3、尽量避免接打手机，不宜在铁栅栏、广告牌、大树下及铁路轨道附近停留。4、行车遇到积水较深的路段时，请减速慢行或绕行。 ​​​​                                                            ", 2012-7-25 17:59,转发,评论,赞,微博 weibo.com,yu6f5afPJ
9,"
                                                                                                    北京气象局预报：今天夜间至明天，北京会有大到暴雨，局部地区有大暴雨。 快下班了，已经在路上或者准备出发的朋友们带好雨具，开车的朋友路上一定不要开得太猛，尽量遵守秩序和谦让。暴雨总会过去，阳光总会到来！特别提醒，祝北京今夜平安。[伦敦奥火] ​​​​                                            ",是,无, 2012-7-25 17:58,转发,评论,赞,微博 weibo.com,yu6esrcC3
10,"
                                                                                                    大家做好防雨准备，齐心协力度过这一关                                            ",否,"
                                                                                                    【北京今日降水可能持续24小时】北京市气象局首席预报员孙继松表示，今日午后开始降水的可能性比较大，集中降雨时段将发生在傍晚到夜间，可能会持续24小时。预计全市降雨量在20到40毫米左右，最大降水出现在东部地区，可能达到中到大雨，不排除个别区域出现暴雨。CNTV李涛编辑报道 ​​​​                                                            ", 2012-7-25 17:35,1,评论,赞,微博 weibo.com,yu65e40en
