序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    府东里社区组织学习实践科学发展观 ​​​​                                            ",是,无, 2012-8-31 15:59,转发,评论,赞,微博 weibo.com,yzIgLbGmC
2,"
                                                                                                    温馨提示 尊敬的住户您好： 请您装修完，把渣土垃圾自行清理掉，谢谢您的合作。 府东里社区居委会 2012年8月30日 ​​​​                                            ",是,无, 2012-8-30 09:28,转发,评论,赞,微博 weibo.com,yzwhm1S9h
3,"
                                                                                                    府东里社区举办妇女健康知识讲座 ​​​​                                            ",是,无, 2012-8-28 15:32,转发,评论,赞,微博 weibo.com,yzfO1xetS
4,"
                                                                                                    府东里社区到安装燃气报警器用户家中调研 ​​​​                                            ",是,无, 2012-8-28 15:16,转发,评论,赞,微博 weibo.com,yzfHrcVVO
5,"
                                                                                                    府东里社区举行安全知识大课堂 ​​​​                                            ",是,无, 2012-8-24 16:37,转发,评论,赞,微博 weibo.com,yyEwyz95N
6,"
                                                                                                    府东里社区清理可燃物 ​​​​                                            ",是,无, 2012-8-24 14:36,转发,评论,赞,微博 weibo.com,yyDJgiWIo
7,"
                                                                                                    通 知 凡户口在城关街道且符合《北京市居民住宅清洁能源分户自采暖补贴暂行办法》规定，并持有有效的《就业失业登记证》的城镇登记失业人员和社区管理的退休人员，如申请自采暖补贴，请于2012年8月31日前到城关社保所进行登记（如果2012年上半年申请过的就不要再作登记了）。 ​​​​                                            ",是,无, 2012-8-22 10:29,转发,评论,赞,微博 weibo.com,yyjg27WvL
8,"
                                                                                                    通知 为保障妇女健康，北京市政府为本市35-----59岁户籍妇女进行免费宫颈癌、乳腺癌的自愿检查，请检查人员带户口本到居委会领取体检三联卡。具体时间：2012年9月18日，下午14：00---17:00。地址：房山区第一医院体检中心。 ​​​​                                            ",是,无, 2012-8-22 10:26,转发,评论,赞,微博 weibo.com,yyjeQxQse
9,"
                                                                                                    府东里社区举办计划生育知识讲座 ​​​​                                            ",是,无, 2012-8-21 15:30,转发,评论,赞,微博 weibo.com,yybNZmo9K
10,"
                                                                                                    府东里社区作节能改造前期测量 ​​​​                                            ",是,无, 2012-8-18 16:48,转发,评论,赞,微博 weibo.com,yxK1TbZwO
11,"
                                                                                                    府东里社区举办学习大课堂 ​​​​                                            ",是,无, 2012-8-17 15:56,转发,评论,赞,微博 weibo.com,yxAgoFlDj
12,"
                                                                                                    府东里社区举办环保知识讲座 ​​​​                                            ",是,无, 2012-8-16 16:25,转发,评论,赞,微博 weibo.com,yxr1QC42c
13,"
                                                                                                    府东里社区举办交通安全知识讲座 ​​​​                                            ",是,无, 2012-8-14 15:34,转发,评论,赞,微博 weibo.com,yx7Q6mB1O
14,"
                                                                                                    府东里社区学习会 ​​​​                                            ",是,无, 2012-8-10 14:43,转发,评论,赞,微博 weibo.com,ywvNh6TgH
15,"
                                                                                                    府东里社区为社区居民发米面 ​​​​                                            ",是,无, 2012-8-10 14:35,转发,评论,赞,微博 weibo.com,ywvK074XS
16,"
                                                                                                    通 知   2013年独生子女家庭奖扶工作摸底开始：有城关户籍的独生子女家庭有伤残、死亡情况的请于8月20日前到居委会报名。 府东里社区居委会 2012年8月10日 ​​​​                                            ",是,无, 2012-8-10 09:41,转发,评论,赞,微博 weibo.com,ywtOLrC9H
17,"
                                                                                                    通知 请户籍在本社区的居民持户口本到社区居委会领取米与面 （限二天内领取） 府东里社区居委会 2012年8月9日 ​​​​                                            ",是,无, 2012-8-9 09:23,转发,评论,赞,微博 weibo.com,ywkgVwn4d
18,"
                                                                                                    府东里社区举办健康知识讲座 ​​​​                                            ",是,无, 2012-8-7 15:53,转发,评论,赞,微博 weibo.com,yw3YonbeP
19,"
                                                                                                    府东里社区安装摄像头 ​​​​                                            ",是,无, 2012-8-7 15:37,转发,1,赞,微博 weibo.com,yw3RG0PvU
20,"
                                                                                                    府东里社区张贴2012年会计人员教育工作的通知 ​​​​                                            ",是,无, 2012-8-7 15:16,转发,评论,赞,微博 weibo.com,yw3JnfTo4
21,"
                                                                                                    府东里社区灾害突发应急提示 府东里社区居民请注意： 为提高府东里社区保障灾害安全和处置突发灾害事件的能力，最大程度地预防和减少突发灾害事件及其造成的损害，特此提示。 应急电话：69319978。 内容：水灾、洪涝、火灾、地震、地质灾害等。 方式：通过广播、敲锣等形式宣传。 ​​​​                                            ",是,无, 2012-8-6 11:03,转发,评论,赞,微博 weibo.com,yvSDSfweQ
22,"
                                                                                                    府东里社区防灾减灾学习会 ​​​​                                            ",是,无, 2012-8-3 17:04,转发,评论,赞,微博 weibo.com,yvsJ9mVmw
23,"
                                                                                                    府东里社区为居民发放消毒粉 ​​​​                                            ",是,无, 2012-8-3 15:58,转发,评论,赞,微博 weibo.com,yvsiiy3gc
24,"
                                                                                                    府东里社区张贴灾后防疫知识 ​​​​                                            ",是,无, 2012-8-3 14:57,转发,评论,赞,微博 weibo.com,yvrTymbld
25,"
                                                                                                    府东里社区喷洒消毒水 ​​​​                                            ",是,无, 2012-8-3 14:36,转发,评论,赞,微博 weibo.com,yvrKUCjaF
26,"
                                                                                                    府东里社区发放救灾物资 ​​​​                                            ",是,无, 2012-8-2 16:21,转发,评论,赞,微博 weibo.com,yvj19vgVE
27,"
                                                                                                    府东里社区张贴爱心捐款人名单 ​​​​                                            ",是,无, 2012-8-2 16:16,转发,评论,赞,微博 weibo.com,yviZ1rb4I
28,"
                                                                                                    府东里社区水灾先进个人事迹-王立先 由于社区党支部书记、居委会主任王立先长期在居委会值班，当暴雨发生时，他立即到现场巡查，始终在前线工作，冒着大雨协助居民进行抢险，并安稳居民情绪。 自发生水灾后，王书记几乎没有回过家，一直在社区坚守岗位，24小时吃住在单位。 ​​​​                                            ",是,无, 2012-7-30 15:02,转发,评论,赞,微博 weibo.com,yuQduEJ6e
29,"
                                                                                                    府东里社区水灾先进个人事迹-张宝印 府东里社区工作人员张宝印帮助居民抢险、淘水，由于小区内只有张师傅会瓦工活，他发着高烧，带病连续工作5天，和泥、抹地面、进行清理，经过几天的工作，她把小区地面及需要修理的地方全部修理好了。 ​​​​                                            ",是,无, 2012-7-30 15:00,转发,评论,赞,微博 weibo.com,yuQcEnV34
30,"
                                                                                                    城关街道领导到府东里社区巡查灾情 ​​​​                                            ",是,无, 2012-7-30 14:47,转发,评论,赞,微博 weibo.com,yuQ7B9EqK
31,"
                                                                                                    府东里社区7.21灾害献爱心捐款活动 ​​​​                                            ",是,无, 2012-7-30 14:44,转发,评论,赞,微博 weibo.com,yuQ6dsj76
32,"
                                                                                                    府东里社区对管辖区域进行安全排查 ​​​​                                            ",是,无, 2012-7-30 14:41,转发,评论,赞,微博 weibo.com,yuQ57vriV
33,"
                                                                                                    府东里社区为居民修补地下室裂缝 ​​​​                                            ",是,无, 2012-7-30 14:37,转发,评论,赞,微博 weibo.com,yuQ3weEkz
34,"
                                                                                                    府东里社区开展卫生防疫知识讲座 ​​​​                                            ",是,无, 2012-7-27 15:13,转发,1,赞,微博 weibo.com,yuo0n7x1Y
35,"
                                                                                                    感 谢 信 61579部队官兵同志们： 在北京市房山区“7.21”暴雨之后，导致府东里社区地下室大面积积水，在你们的帮助下，府东里社区积水彻底清除，在此，我们代表府东里社区的全体居民向61579部队官兵表示感谢，同时感谢部队的领导和干部，是你们培育出的优秀战士！ ​​​​                                            ",是,无, 2012-7-27 15:06,转发,评论,赞,微博 weibo.com,yunXBpCjv
36,"
                                                                                                    府东里社区进行水灾后卫生防疫 ​​​​                                            ",是,无, 2012-7-26 15:11,转发,评论,赞,微博 weibo.com,yuezneykx
37,"
                                                                                                    府东里社区对漏水根源进行修理 ​​​​                                            ",是,无, 2012-7-26 15:04,转发,评论,赞,微博 weibo.com,yuewv3cZ6
38,"
                                                                                                    府东里社区共同抗击水灾 ​​​​                                            ",是,无, 2012-7-25 16:00,转发,评论,赞,微博 weibo.com,yu5sLajmv
39,"
                                                                                                    表扬信 因2012年7月21日降大到暴雨，导致府东里社区东侧排水沟污泥、垃圾、杂物堵塞， 24日，府东里社区2号楼居民许燕彪和于福所自发到排水沟清理杂物，他们不怕脏、不怕累的吃苦、奉献精神，值得我们学习和表扬。 ​​​​                                            ",是,无, 2012-7-24 14:46,转发,评论,赞,微博 weibo.com,ytVxVeJ1R
40,"
                                                                                                    府东里社区遇水灾，共建单位紧急救援 ​​​​                                            ",是,无, 2012-7-24 14:43,转发,评论,赞,微博 weibo.com,ytVwRkjvv
41,"
                                                                                                    府东里社区入户调查 ​​​​                                            ",是,无, 2012-7-24 14:42,转发,评论,赞,微博 weibo.com,ytVwCyGmC
42,"
                                                                                                    府东里社区水灾应急巡查 ​​​​                                            ",是,无, 2012-7-22 15:04,转发,评论,赞,微博 weibo.com,ytCOzboey
43,"
                                                                                                    府东里社区学习会—人民日报文章统一思想 ​​​​                                            ",是,无, 2012-7-20 16:54,转发,评论,赞,微博 weibo.com,ytkFZ8W40
44,"
                                                                                                    府东里社区开展灭蚁行动 ​​​​                                            ",是,无, 2012-7-20 14:35,转发,评论,赞,微博 weibo.com,ytjLz6O2h
45,"
                                                                                                    府东里社区举办2012年象棋比赛 ​​​​                                            ",是,无, 2012-7-18 13:34,转发,评论,赞,微博 weibo.com,yt0vTlqb2
46,"
                                                                                                    府东里社区举办防暑降温知识讲座 ​​​​                                            ",是,无, 2012-7-17 16:10,转发,评论,赞,微博 weibo.com,ysS6EBr0s
47,"
                                                                                                    府东里社区召开学习会 ​​​​                                            ",是,无, 2012-7-13 16:44,转发,评论,赞,微博 weibo.com,ysgCklgUn
48,"
                                                                                                    府东里社区参加社区网络发展研讨会 ​​​​                                            ",是,无, 2012-7-12 15:13,转发,评论,赞,微博 weibo.com,ys6BfDhcZ
49,"
                                                                                                    府东里社区举办唱歌教学大课堂 ​​​​                                            ",是,无, 2012-7-10 15:52,转发,评论,赞,微博 weibo.com,yrNZIw1Mn
50,"
                                                                                                    府东里社区召开学习型社区学习会 ​​​​                                            ",是,无, 2012-7-6 16:35,转发,评论,赞,微博 weibo.com,yrczgcDrG
51,"
                                                                                                    府东里社区张贴小区绿化温馨提示 ​​​​                                            ",是,无, 2012-7-6 15:40,转发,评论,赞,微博 weibo.com,yrcd7ChZ4
52,"
                                                                                                    府东里社区发放第三季度居家养老助残卷 ​​​​                                            ",是,无, 2012-7-4 16:23,转发,1,赞,微博 weibo.com,yqTDBuOBj
