序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【北京晨报 读者拍客】《夕阳下》延庆千家店，夕阳、远山、向日葵，好一幅山水画卷。刘继文/摄 O网页链接 ​​​​                                                            ", 2012-8-28 15:53,转发,评论,赞,微博 weibo.com,yzfWIyU4W
2,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #他山之石#在巴黎，城市建筑物高度控制是重要的景观保护手段之一。根据法定规划要求，巴黎市内的一般建筑高度以37米为上限，以重点景观地区、历史文化保护区、城市绿地为核心划定视廊保护范围[圣诞树]，从而延续了城市核心节点与城市整体风貌相协调的基调。 ​​​​                                                            ", 2012-8-28 15:33,转发,评论,赞,微博 weibo.com,yzfODo0I3
3,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #绿色书架#您知道“地球生命力”吗？根据WWF《地球生命力报告2012》，地球生命力处于入不敷出的状态，到2030年人类需要两个地球的资源。O网页链接 @WWF世界自然基金会 ​​​​                                                            ", 2012-8-28 15:33,转发,评论,赞,微博 weibo.com,yzfOstcJ0
4,"
                                                                                                    //@水润京华: 本市首座建在地下的污水处理厂,""既隔音又隔臭"",未来2到3年投入使用.                                            ",否,"
                                                                                                    #媒体关注#我市首座建在地下的污水处理厂稻香湖再生水厂即将开建。O网页链接《海淀北部新科技园环保当先 连建六水厂污水全再生》（北京日报8月28日报道）@水润京华 ​​​​                                                            ", 2012-8-28 13:54,转发,评论,赞,微博 weibo.com,yzfaxrqb2
5,"
                                                                                                    //@北京市市政市容委: 北京的变得越来越漂亮了！                                            ",否,"
                                                                                                    【郊野公园绿地不怕踩踏】#聚焦北京#今年年底，11个新城滨河森林公园将全部建成，免费开放。北京城近郊，东、西、南、北还将各建郊野公园群，面积均在数万亩，居民可以随意在绿地上享受野趣。但三环及以内的绿地依然不对外开放，需要竖立“禁止踩踏”的牌子。 ​​​​                                                            ", 2012-8-28 11:02,转发,评论,1,微博 weibo.com,yze2u16uU
6,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #非常观察#【地铁14号线跨越永定河大桥整体贯通啦！】近日，地铁14号线永定河特大桥箱梁浇筑全部完工，至此大桥主体全部完工。永定河特大桥位于卢沟桥分洪枢纽上游，紧邻西五环，全长633.2米。地铁14号线在张郭庄站至大瓦窑站之间上跨永定河，呈“正十字”分布。 ​​​​                                                            ", 2012-8-28 11:00,转发,评论,赞,微博 weibo.com,yze1Sa1Lr
7,"
                                                                                                    一片花海美极了！！//@首都园林绿化: 转发微博                                            ",否,"
                                                                                                    #密云人间花海#人间花海观光园位于密云县太师屯镇车道峪村，村西距101国道3.5公里，距北京市区约110公里，车程约1.5小时。该观光园建设的主题是“展示花卉产业、传播香薰文化、体验农村风情、释怀乡土情结”；观光园的两大核心资源是“鲜花农业”和“旅游资源”；观光园内种植的花卉主要是玫瑰和薰衣草 ​​​​                                                            ", 2012-8-28 10:39,转发,评论,1,微博 weibo.com,yzdT2Bhh3
8,"
                                                                                                    转发微博。                                            ",否,"
                                                                                                    【昨日雨情】8月27日，全市平均降雨量1毫米，城区降雨8毫米，降雨最大点西城区右安门65毫米；官厅水库流域平均降雨1毫米，密云水库流域为零 ​​​​                                                            ", 2012-8-28 10:35,转发,评论,赞,政府版微博,yzdRo6B3s
9,"
                                                                                                    真是可爱～                                            ",否,"
                                                                                                    【一群土拨鼠与八岁男孩成好友】野生的土拨鼠本是一种害羞敏感的动物，但在欧洲阿尔卑斯山上，有一群土拨鼠却和一名8岁的男孩马特奥成了好朋友。马特奥的父亲说，这些土拨鼠与儿子的友谊已经超过4年了，“马特奥十分喜欢这些土拨鼠，看到他们在一起的场景真是奇妙。”O网页链接 ​​​​                                                            ", 2012-8-27 18:42,转发,评论,17,Android客户端,yz7CIwKWM
10,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【天气快报】未来3小时内，绿色区域（海淀，朝阳部分，石景山等）将出现20-30毫米的降水。 ​​​​                                                            ", 2012-8-27 10:35,转发,评论,赞,Android客户端,yz4qU7vgK
11,"
                                                                                                    个别地儿下得很大！                                            ",否,"
                                                                                                    【汛情快播】8月26日8时至27日10时，北京全市平均降雨量4毫米，城区平均降雨量15毫米，降雨最大点气象站丰台区玉泉营站84毫米；密云水库流域平均降雨1毫米，官厅水库流域为零。 ​​​​                                                            ", 2012-8-27 10:34,转发,评论,赞,Android客户端,yz4qywS6y
12,"
                                                                                                    大家出行带好雨具～                                            ",否,"
                                                                                                    #出行提示#9：55，市气象台发布暴雨蓝色预警，受较强降雨云团影响，预计未来3小时本市城区的南部将出现小时雨量达到20毫米的短时强降水，请您注意出行安全。 ​​​​                                                            ", 2012-8-27 10:32,转发,评论,赞,Android客户端,yz4pOrNR3
13,"
                                                                                                    8月26日，我区局部降雷阵雨，其中西红门站达到大雨量级。截止8月27日早8时，点均降雨量为1.85毫米（水务局22个站+气象局18个站共40个站的平均值），最大降雨量为西红门站40毫米。黄村站降雨量13.8毫米，滨河公园站2毫米，南海子郊野公园站0毫米。今年累计降雨量为514.33毫米。 ​​​​                                            ",是,无, 2012-8-27 10:32,转发,评论,赞,Android客户端,yz4pEoVSX
14,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【中文版音乐剧《猫》火热预定】#北京进行时#被誉为“世界四大音乐剧”之首的《猫》将于12月21日登陆世纪剧院。此次《猫》的中文版邀请了已制作14个语言版本的最资深最权威制作团队，使其从外形到气韵都最贴近原版的《猫》。想现场聆听《memory》、感受《猫》传奇魅力的朋友，可以开始预订票了哦~ ​​​​                                                            ", 2012-8-24 23:35,转发,评论,赞,微博 weibo.com,yyHgmD5dT
15,"
                                                                                                    //@水润京华:转发微博。                                            ",否,"
                                                                                                    #雨水控制与利用#《新建建设工程雨水控制与利用技术要点》中强制要求，小区内的人行道、非机动车道、广场两侧的人行步道必须采用透水铺装地面。 ​​​​                                                            ", 2012-8-24 23:29,转发,评论,1,政府版微博,yyHdTyFBf
16,"
                                                                                                    //@水润京华:转发微博。                                            ",否,"
                                                                                                    #雨水控制与利用#《新建建设工程雨水控制与利用技术要点》中提出规划要求：“每万平米硬化面积配建不小于500立方米的雨水调蓄设施。”所谓硬化面积，对于居住区项目来讲，就是指屋顶硬化面积，按屋顶（不包括实现绿化的屋顶）的投影面积计算。 ​​​​                                                            ", 2012-8-24 23:29,转发,评论,赞,政府版微博,yyHdReFzz
17,"
                                                                                                    //@水润京华:转发微博。                                            ",否,"
                                                                                                    #雨水控制与利用#新《技术要点》规定，“雨水控制与利用工程必须与主体建设工程同时规划设计、同时施工、同时投入使用。” 即建设工程各个阶段图纸、文件都必须涵盖雨水控制与利用工程的内容，并符合相关要求。否则规划部门不予审批，施工图审查机构不颁发合格书。如不同步完成，将不能通过规划验收。 ​​​​                                                            ", 2012-8-24 23:29,转发,评论,赞,政府版微博,yyHdOxggg
18,"
                                                                                                    转发微博。                                            ",否,"
                                                                                                    【如画美景】作品:鹈鹕与鸭-英姿 作者:孙京都 ​​​​                                                            ", 2012-8-22 18:01,转发,评论,赞,政府版微博,yymdD5hj8
19,"
                                                                                                    大会战!!                                            ",否,"
                                                                                                    【北京中小河道治理】在2012至2015年，我市将通过开展水利建设大会战，实现全市中小河道防洪排水全部达标治理，消除中心城和各新城因中小河道排水不畅造成的积水问题。城六区及重点区域河道防洪标准达到20至50年一遇，新城及重点镇范围河道防洪标准达到10至20年一遇，其他地区河道防洪标准达到10年一遇 ​​​​                                                            ", 2012-8-22 18:01,转发,评论,赞,政府版微博,yymdv62n3
20,"
                                                                                                    扩散~                                            ",否,"
                                                                                                     【北京电信3G信号覆盖10条地铁线】北京10条地铁线（除4号线）站台和隧道内已完成3G覆盖。首都机场、北京站、西站、南站、金融街等交通枢纽和商圈Wifi覆盖也已完成，电信用户和非电信用户可搜索chinanet上网，电信用户可直接输入手机号和密码，如忘记密码或非电信用户，可输入手机号“获取密码”。 ​​​​                                                            ", 2012-8-21 17:51,转发,评论,2,政府版微博,yycJ1dmni
21,"
                                                                                                    花海//@宜居密云: 阳光笑脸向日葵                                            ",否,"
                                                                                                    【百里山水画廊千亩向日葵进入盛花期】日前，千家店镇百里山水画廊千亩向日葵进入盛花期，游客可前往百里山水画廊免费观赏、拍照留影。今年，千家店镇播种的向日葵分别在六道河、红石湾、下德龙湾、下湾、大楝树和沙梁子6处，总面积达1000亩，其中面积最大的在红石湾村碴底下。O网页链接 ​​​​                                                            ", 2012-8-21 17:20,转发,评论,赞,微博 weibo.com,yycwnxSYW
22,"
                                                                                                    【雨情播报】8月20日，我区局部降阵雨。截止8月21日早8时，点均降雨量为1.28毫米（水务局22个站+气象局18个站共40个站的平均值），最大降雨量为安定站11.6毫米。黄村站降雨量1.1毫米，滨河公园站0.5毫米，南海子郊野公园站0毫米。今年累计降雨量为512.48毫米。 ​​​​                                            ",是,无, 2012-8-21 17:08,转发,评论,赞,Android客户端,yycrxCMPG
23,"
                                                                                                    //@水润京华:很有用                                            ",否,"
                                                                                                    了解一下北京气象信息获取途径吧！[呵呵] ​​​​                                                            ", 2012-8-20 15:39,转发,评论,赞,政府版微博,yy2r4qZSl
