序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【这位小女孩你认识吗 她回家了没有】@艾狄王十一 昨晚称，731路公交车上，小女孩一直哭找妈妈，纯普通话，同行妇女南方口音不敢正视别人很可疑，在甘露园下车，疑为拐带。@何炅 @姚晨 @任志强 等转发微博，并关切孩子回家了没有。@刘进 称已报警，目前还没有消息。这位小女孩你认识吗？她回家了没有？ ​​​​                                                            ", 2012-8-21 09:51,转发,评论,赞,微博 weibo.com,yy9A5fzqg
2,"
                                                                                                    换个角度看世界，让自己开心一点                                            ",否,"
                                                                                                    #故事里的事#【红灯停绿灯行】年轻人搭出租车到一个生疏的地方。一路上连遇几个红灯，眼看到目的地了，又是红灯。他就嘟哝：“真倒霉，老是差一步！”这时出租司机开解说“不倒霉呀。要知道：绿灯时我们是第一个走的！“——学会换个角度思考，找到心中的美好~ ​​​​                                                            ", 2012-8-21 09:47,转发,评论,赞,微博 weibo.com,yy9ywliV1
3,"
                                                                                                                                                ",否,"
                                                                                                    #图说交通#[电影]【长安街记忆】1980年的长安街，您走过吗[脚印]？图片上的景象是不是勾起了您的回忆？[印迹] ​​​​                                                            ", 2012-8-10 09:47,转发,评论,1,微博 weibo.com,ywtR6fvgL
4,"
                                                                                                    人们的恶趣味 狗狗好可怜                                            ",否,"
                                                                                                    #趣味相投#我说，这都是狗狗~ ​​​​                                                            ", 2012-8-10 09:44,转发,评论,赞,微博 weibo.com,ywtPYv3w2
5,"
                                                                                                    生活医学小常识，大家记起来                                            ",否,微博已被原作者删除, 2012-8-10 09:41,-1,评论,赞,微博 weibo.com,ywtOJ58tB
6,"
                                                                                                    好办法大家分享一下 //@西便门社区居委会:夏天了，凉快的同时一定要注意防盗。                                            ",否,"
                                                                                                    #招招可防入室盗#用几个空易拉罐，斜倚在沙窗边框上，只要沙窗或者窗户被推开，易拉罐就落地，发出声音。一注意要用空罐子，二一定要斜着放。 ​​​​                                                            ", 2012-8-9 09:52,1,评论,12,iPhone客户端,ywksNk0BY
7,"
                                                                                                    在海淀街道听周末大讲堂好多小朋友参加呀 ​​​​                                            ",是,无, 2012-8-9 09:29,转发,评论,赞,iPhone客户端,ywkjiojJo
8,"
                                                                                                    残疾人朋友的生活越来越丰富了//@海淀街道海淀南路北社区: 转发~~活动举办得好                                            ",否,"
                                                                                                    近日，海淀街道温馨家园举办了模拟保龄球比赛，近100名残疾人选手参加了激烈角逐，场面温馨而激烈。 ​​​​                                                            ", 2012-8-7 15:43,转发,评论,赞,微博 weibo.com,yw3TXgrg3
9,"
                                                                                                    为中国健儿加油！大家安排好时间合理观赛哟                                            ",否,"
                                                                                                    【游泳、跳水、乒乓球今日冲金】伦敦时间8月1日已进入奥运会第五个比赛日。目前，中国代表队已获得13枚金牌，6枚银牌，4枚铜牌。北京时间8月1日16:00开始，中国军团将在射击、游泳、赛艇、乒乓球、跳水、举重项目上冲击金牌。除了金牌项目，羽毛球、女篮、女排、女子水球、女手等也将迎来关键战。 ​​​​                                                            ", 2012-8-1 12:35,转发,评论,赞,iPhone客户端,yv86XlHZR
10,"
                                                                                                    八一聚餐 ​​​​                                            ",是,无, 2012-8-1 11:42,转发,评论,赞,iPhone客户端,yv7LpqCAg
