序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    8月28日下午3点30分，康桥蜂鸟园社区举办了以“喜迎十八大 建功核心区”为主题的第二届消夏晚会。两个小时的演出在大家的欢声笑语中结束，大家相约明年再见！ ​​​​                                            ",是,无, 2012-8-30 16:23,3,评论,赞,微博 weibo.com,yzyZM81yO
2,"
                                                                                                    8月9日下午四点，康桥蜂鸟园社区举办了暑期青少年趣味运动会，多样的比赛形式吸引了众多的孩子参与。 ​​​​                                            ",是,无, 2012-8-10 16:53,转发,评论,赞,微博 weibo.com,ywwEcvCYb
3,"
                                                                                                    立秋啦！不过白天还是很热的，大家要继续注意防暑降温噢！                                            ",否,"
                                                                                                    【明日立秋】明天，我们将迎来是24节气中的第13个节气—立秋。“秋”就是指暑去凉来，预示着炎热的夏天即将过去，秋天即将来临。“秋后一伏热死人”，立秋前后中国大部分地区气温仍然较高，但总的趋势是天气逐渐凉爽。气温的日较差逐渐明显，往往是白天很热，而夜晚却比较凉爽。立秋啦，立秋啦 ​​​​                                                            ", 2012-8-6 17:23,转发,1,2,微博 weibo.com,yvV8elmnF
4,"
                                                                                                    8月1日下午3点至晚上8点，康桥蜂鸟园社区将进行集中灭蚂蚁作业，请您在此期间家中留人并予以配合！#康桥水郡##蜂鸟家园##光大西园# ​​​​                                            ",是,无, 2012-7-31 11:48,转发,评论,赞,微博 weibo.com,yuYnuauOb
5,"
                                                                                                    明天大家要注意安全，尽量减少外出啊！                                            ",否,"
                                                                                                    【北京天气：今天雷雨转中雨 周六中到大雨 】今晨北京出现了零散的降雨，并伴有轻雾，大家出门要注意交通安全。今天白天阴转雷阵雨，夜间中雨，出门仍要带上雨伞！预计周六白天有中到大雨，东北部局地雨势较大，降雨量可达80-120毫米。频繁降雨易造成次生灾害，请注意防范。O网页链接 ​​​​                                                            ", 2012-7-27 14:25,转发,评论,1,媒体版微博,yunGXf4jG
6,"
                                                                                                    大家要减少外出，注意安全！                                            ",否,"
                                                                                                    【今明两天京津等地将有暴雨】今天到明天，京津及河北中部和东北部的局部地区有暴雨。另外，内蒙古东北部、山西北部、河北中南部和东北部、京津地区、山东东北部、吉林中部等地的部分地区有大雨，上述局部地区并将有短时雷暴大风等强对流天气。 ​​​​                                                            ", 2012-7-25 14:32,转发,评论,13,微博 weibo.com,yu4SOx1Q2
7,"
                                                                                                                                                  ",否,"
                                                                                                    2012年7月21日，北京遭遇60年以来最大降雨，北京市公安局接到大量群众求助报警。燕山分局向阳路派出所所长李方洪同志从中午开始就带领民警奋战在辖区积水严重的凤凰亭村，先后救起50余名被困群众。17时20分许，当李方洪同志再次冲入水中救助群众时，被一根落入水中的电线击倒，光荣牺牲。 ​​​​                                                            ", 2012-7-23 14:42,转发,评论,2822,政府版微博,ytM5S3pE0
8,"
                                                                                                        //@海淀在线:致敬 //@水润京华:【房山区抢险队长在“7.21暴雨”中牺牲】                                            ",否,"
                                                                                                    【80后供水战士为保供水安全抢险牺牲】 房山遭受60年以来最大降雨，7月22日下午，房山区长阳供水厂抢险队队长郭云峰为抢险救援现出了自己年仅29岁的宝贵生命。 ​​​​                                                            ", 2012-7-23 14:38,1,评论,4,政府版微博,ytM4w8tz7
9,"
                                                                                                    大家多注意安全！早点回家！                                            ",否,"
                                                                                                    【北京本周三仍有雷雨】本周，北京恰好处于副热带高压外围控制，加上北上的暖湿气流强度减弱，因此，大部时段都是以晴或多云为主。但是需要注意的是：本周三和周六，还有可能遭遇降雨天气。周三北方将再次迎来大范围降雨，北京会出现雷阵雨。O网页链接 ​​​​                                                            ", 2012-7-23 14:37,转发,评论,9,微博 weibo.com,ytM3ZhB2D
10,"
                                                                                                    在建党91周年之际，为进一步加强党员之间的联系，#康桥蜂鸟园社区党支部#于2012年6月25日，在活动室举行了党员扑克牌比赛 。 ​​​​                                            ",是,无, 2012-6-25 14:58,转发,1,赞,微博 weibo.com,ypwerxyY6
11,"
                                                                                                    那今天还是下点雨吧！                                            ",否,"
                                                                                                    #夏至#[阳光]今年“夏至”时刻发生在6月21日7时9分，为116年来最早。夏至的早来临，一定是发生在闰年。夏至的较早来临，上一次出现在1896年，时间是6月21日6时28分，下一次将发生在2016年，时间是6月21日6时34分。古谚有云：“夏至无雨，三伏热。”今年的三伏天会很热吗？ ​​​​                                                            ", 2012-6-21 10:01,转发,评论,赞,微博 weibo.com,yoSAavwjd
12,"
                                                                                                    上午9:30，康桥蜂鸟园社区居委会联同欣和企业，在蜂鸟家园小区内举办了“2012（北京）六月鲜健康私房菜大赛”预选赛活动。9名参赛人员准备充足，热爱美食；观众朋友们情绪高涨。在比赛过程中，社区三个活动队也为大家带来了精彩的演出。大赛最终评选出一等奖一名，二等奖两名，三等奖六名。 ​​​​                                            ",是,无, 2012-6-12 16:25,转发,评论,赞,微博 weibo.com,ynyfmy3TN
13,"
                                                                                                    第八届康桥蜂鸟园社区居委会已于2012年5月28日成功换届！ ​​​​                                            ",是,无, 2012-6-12 14:34,转发,评论,赞,微博 weibo.com,ynxwi4z3X
