序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    开会中。。。 我在:O网页链接 ​​​​                                            ",是,无, 2012-8-31 09:51,转发,1,赞,MOTO戴妃三防智能手机,yzFRdgiqy
2,"
                                                                                                    哎，这一年，我们没有开学……想念有暑假的日子，想念那些无忧无虑的日子//@顶尖摄影欣赏: 这一年，我们没有开学。。。                                             ",否,微博已被原作者删除, 2012-8-28 13:37,-1,评论,赞,微博 weibo.com,yzf3C3NC3
3,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #文化西城#【大栅栏最美院落开放参观】日前，大栅栏街道评选出5家最美院落，每周五下午1点到6点免费开放参观。其中包括前门西河沿222号院、224号院，佘家胡同31号院，北火扇胡同27号、大耳胡同23号。浓郁的北京四合院风情铺面而来，一定能让感兴趣的朋友流连忘返。具体地址请见附图。 ​​​​                                                            ", 2012-8-23 17:44,转发,评论,赞,微博 weibo.com,yyvx3m7hh
4,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #大美海淀#8万余株向日葵都向着太阳，游客也绽放出阳光般笑脸，“金色夏日——向日葵文化展”在北京植物园拉开帷幕。金灿灿的黄色钻葵、身材“矮小”的切花向日葵以及被大家熟知的食葵和油葵金灿灿地铺了一地，展览将一直持续到9月中旬。 ​​​​                                                            ", 2012-8-23 17:41,转发,1,赞,微博搜索,yyvw3BtOg
5,"
                                                                                                    8月23日上午，紫金庄园社区居委会主任、党总支书记、社区通讯员以及社区文明小使者到海淀公园参加了由首都文明办、市市政市容委等单位共同主办的“垃圾减分参与月暨周四垃圾减量日”主题宣传实践活动。 ​​​​                                            ",是,无, 2012-8-23 17:40,2,评论,赞,微博 weibo.com,yyvvEcRcU
6,"
                                                                                                    //@北京市民政局: 话剧《活着》9月4日全球首演                                            ",否,"
                                                                                                    【话剧《活着》9月4日全球首演】#北京进行时# 9月4日至9日，由孟京辉执导，中国著名实力派演员黄渤、袁泉领衔主演的话剧《活着》将在北京国家大剧院面世，同时开启该剧全球巡演计划。这是小说《活着》诞生20年后首次被搬上话剧舞台，非常值得期待的一部大戏，大家不要错过啊~~~ ​​​​                                                            ", 2012-8-22 11:43,转发,评论,赞,微博 weibo.com,yyjKjlq9c
7,"
                                                                                                    嗯，能活这么大年纪还真不容易，能一起走过这么多年也挺不容易的……                                            ",否,"
                                                                                                    【山东老两口迎婚后第83个七夕节】山东99岁的宫德云把亲手在庭院里采摘的鲜花送给102岁的妻子孙玉翠，二人共同迎接婚后第83个七夕节。这对夫妻于1930年农历三月结婚，相濡以沫82载，属于世界上婚龄最长的“橡树婚”。老两口生活能够自理，每天拾柴烧火,吃饭换衣,养花散步。 ​​​​                                                            ", 2012-8-22 11:43,转发,评论,400,微博 weibo.com,yyjK0rk0t
8,"
                                                                                                    开心一下吧，哈哈//@文明北京: //@姚晨: 皇上，不好啦，格格长胡子啦！[震惊]                                            ",否,"
                                                                                                    碰上一群老外 争相穿着龙袍格格服在天坛前合影 特别是两老外 笑死我了 穿着格格的衣服 特滑稽~~（via 挂面鱼） ​​​​                                                            ", 2012-8-22 11:12,转发,评论,190,微博 weibo.com,yyjxAq35o
9,"
                                                                                                    给力给力~~                                            ",否,微博已被原作者删除, 2012-8-21 16:32,-1,3,赞,微博 weibo.com,yyccQjsC0
10,"
                                                                                                    这个可得好好瞧瞧                                            ",否,"
                                                                                                    #健康资讯#连续大雨过后，有车主反应涉水车里味道异常。专业人士提醒，涉水车可能出现生物污染问题。为了调查北京地区涉水车辆的污染现状，国家室内环境与室内环保产品质量监督检验中心即日开始进行涉水车辆空调生物污染检测，对于全市车主免费开放，有需求的市民可拨打电话[电话]8008108968登记咨询。 ​​​​                                                            ", 2012-8-21 16:18,转发,评论,赞,微博 weibo.com,yyc7oijkT
11,"
                                                                                                    嗯，可不是嘛//@一个街乡计生办主任: 管理好政务微博不容易@海淀人口计生                                            ",否,"
                                                                                                    【佛山市长：要选优秀干部负责政务微博】“管理好政务微博不容易，要熟悉业务，政策水平高，还要文字好，有亲和力，心态年轻，有心理承受能力，善于沟通，才能做好这个事情。这也是我们选拔干部的标准……”在今天的佛山市政府专家顾问团“政务微博”专题会上，刘市长如是说。 ​​​​                                                            ", 2012-8-21 16:15,转发,评论,赞,微博 weibo.com,yyc5WtMu0
12,"
                                                                                                    这个应该是骗人的吧？@微博管理员 ​​​​                                            ",是,无, 2012-8-21 15:55,转发,1,赞,微博 weibo.com,yybY372CQ
13,"
                                                                                                    “清凉夏日 情满紫金”紫金庄园社区2012年消夏晚会重磅出击！！！ ​​​​                                            ",是,无, 2012-8-21 15:23,1,评论,赞,微博 weibo.com,yybL2pAEy
14,"
                                                                                                    //@顶尖摄影欣赏: 不能白活                                            ",否,微博已被原作者删除, 2012-8-21 10:51,-1,评论,赞,微博 weibo.com,yy9YFpbij
15,"
                                                                                                    //@北京市民政局: 希望各位童鞋提高警惕,不要心存侥幸,上当受骗哦~切记最重要的不要盲目汇款,最好先给官方部门打个电话核实一下~                                            ",否,"
                                                                                                    近日家住大兴的张女士接到冒充《我要上春晚》栏目组的中奖短信,称其被选为场外幸运星,获9万8千元及一IPad。张女士得知中奖喜出望外,马上按照短信提示上网进行领奖操作,并拨打网页电话进行咨询,对方要求其先支付税费、保证金等,张女士仍未起疑,分两次将2万7千余元汇给对方,后因联系不上对方,才知被骗。 ​​​​                                                            ", 2012-8-21 10:49,转发,评论,赞,微博 weibo.com,yy9XH8jEA
16,"
                                                                                                    //@海淀区政府网站: 转发微博                                            ",否,"
                                                                                                    【集中整治故意遮挡号牌】#头条新闻#即日起至10月31日，公安部将开展机动车涉牌涉证违法集中整治。针对“套牌套证”和故意遮挡、污损号牌和不按规定安装号牌等交通违法，将面临扣留车辆、收缴非法牌证、罚款、扣分等处罚。对伪造、变造、买卖机动车行驶证、登记证书，构成犯罪的，将依法追究刑事责任。 ​​​​                                                            ", 2012-8-21 10:36,转发,评论,赞,微博 weibo.com,yy9Sxp7Yr
17,"
                                                                                                    嗯，有道理！！                                            ",否,"
                                                                                                    高房价毁灭了年轻人爱情，也毁灭了年轻人想象力。他们本可以吟诵诗歌、结伴旅行、开读书会。现在，年轻人大学一毕业就成为中年人，为了柴米油盐精打细算。他们的生活，从一开始就是物质的、世故的，而不能体验一段浪漫的人生，一种面向心灵的生活方式。——西班牙《世界报》 ​​​​                                                            ", 2012-8-17 14:09,1,评论,赞,微博 weibo.com,yxzz4lBkC
18,"
                                                                                                    有才//@科技北京: 转发微博                                            ",否,"
                                                                                                    【北京化工大学科技园开发出餐厨垃圾处理新模式】#园区动态#这一新模式已经开始应用于餐厨垃圾处理的第一线。经过粉碎、除沙、油脂分离、厌氧发酵等一系列工序后，餐厨废弃物变废为宝，产生的生物燃气可用作食堂燃料，沼渣做成有机肥用于绿地供养，沼液用来做微生物菌剂 。O网页链接 ​​​​                                                            ", 2012-8-14 10:43,转发,评论,赞,微博 weibo.com,yx5VYzlEB
19,"
                                                                                                    //@不一样的心理学: 坚信时间是站在你这边的                                            ",否,"
                                                                                                    冯仑： 王石爬上珠峰了，但你不要忘了他已经60了。他30岁的时候还没有你自由，他第一次爬山，那时候40多岁，还要朋友集资。所以在二十多岁的年龄段，最重要的是立志，一旦确立就不要放弃目标，不要怀疑自己的未来，而且要坚信时间是站在你这边的，这样就可以快意。 ​​​​                                                            ", 2012-8-13 17:46,转发,评论,赞,微博 weibo.com,ywZh1o9ck
20,"
                                                                                                    可得提高警惕，现在这诈骗手段都提高了//@杭锦后旗公安局: //@湖东派出所: //@昆山市公安局正仪所: 也收到了？可不要相信啊//@燕飞-蝶舞: @贵人语录 好眼熟啊                                            ",否,"
                                                                                                    【新型诈骗、以假乱真】如果你收到这么一封信，会不会动摇呢不瞒大家，就看内容，有公证处信息、有商品宣传信息，小编看了也恍惚了下，以为真的后来看了奖品才确认肯定是诈骗。然后经过电话联系国美电器，国美表示没有举办类似活动。请大家睁大眼睛，切勿上当。 ​​​​                                                            ", 2012-8-13 11:24,转发,评论,赞,微博 weibo.com,ywWM44d3W
21,"
                                                                                                    那也没办法了，不过自己尽力了就好啦~谢谢你啦~                                            ",否,"
                                                                                                    @海淀街道紫金庄园社区 可惜我昨天早晨下楼看到那浴帘已经没有了 ​​​​                                                            ", 2012-8-13 10:39,1,评论,赞,微博 weibo.com,ywWtJ0Lu9
22,"
                                                                                                    多谢有爱心的欠欠童鞋~                                            ",否,"
                                                                                                    @海淀街道紫金庄园社区 看到楼下有只野猫狠可怜下雨也没地方去，给它弄了个浴帘暂时防一下雨，希望大家不要把浴帘撤走，看到有人要撤走请试图阻挡一下！谢谢！ ​​​​                                                            ", 2012-8-13 09:47,转发,评论,赞,微博 weibo.com,ywW8uCDEd
23,"
                                                                                                    //@海淀八里庄街道定慧东里社区: [阳光]请大家注意防晒呀，一定要补充水分！                                            ",否,"
                                                                                                    #每日天气#市气象台：今天北京上空是偏北气流控制，阳光强烈，[阳光]气温将快速上升，下午的最高气温可以达35度上下，空气湿度明显下降，只有25%。今天将告别潮湿闷热，转而是高温炎热，大家出门要注意遮阳防晒。 ​​​​                                                            ", 2012-8-9 10:42,转发,评论,赞,微博 weibo.com,ywkMNtM9M
24,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【上海副市长致信刘翔：贵在精神不在金牌】刘翔受伤后，上海市副市长赵雯致信刘翔表示慰问，信中写道：四年忍病重起跑，挑战自我，攀登极限。三度出征不言弃，贵在精神，不在金牌。泪难忍，心有期，速疗伤，重奋起。志存高远，功彪青史。事业无穷，贞刚有质。O网页链接 ​​​​                                                            ", 2012-8-8 15:27,转发,评论,赞,微博 weibo.com,ywdejw5uU
