序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    近日张女士带着7岁的儿子到小区里的健身器材区做健身运动，不料儿子踩在漫步机上玩耍时因荡得太高导致重心不稳摔了下来，来回晃荡的漫步机脚踏砸在孩子脸上，致使孩子脸部被缝3针。这里提示家长朋友，儿童使用户外健身器材时必须有成人看护，并给予适当指导，动作幅度不宜过大，以免造成意外。 ​​​​                                                            ", 2012-8-29 16:39,转发,评论,赞,微博 weibo.com,yzpFECbbD
2,"
                                                                                                    分享图片 ​​​​                                            ",是,无, 2012-8-27 13:48,转发,2,赞,微博 weibo.com,yz5HyAtLq
3,"
                                                                                                    #北京市第十三次团代会#感谢大会的细心安排，感谢贴心的蓝衣志愿者们，中午的青春摆渡车温暖得让人难忘，青们，我先显一下啦 我在:O网页链接 ​​​​                                            ",是,无, 2012-8-22 16:31,转发,评论,赞,MOTO锋丽智能手机,yylCWnjM2
4,"
                                                                                                    自豪，骄傲，散是满天星，聚是一团火啊！                                            ",否,"
                                                                                                    #北京市第十三次团代会#【微展览】北京，说大不大，凝聚着最有力量的青年群体；北京，说小不小，汇集了五湖四海的兄弟姐妹。那么，你知道咱们青年朋友主要集中在北京的哪些地方吗？下图给你最直观的了解~同时，也告诉小编你所在的区域吧~ [庆祝]  ​​​​                                                            ", 2012-8-21 15:00,转发,评论,赞,iPad客户端,yybBFbeAt
5,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #故事里的事#教授演讲时拿出100元，问台下的学生，谁要这100元，台下的人纷纷举手，教授将钱扔到地上用脚碾过后，再次问同样问题，台下依旧没人放手。教授说，我如此对待这张钱，你们依旧想要，这是因为它没有因为我的践踏而贬值，而人生亦是如此，生命的价值非他人所能左右，而是取决于我们自身！ ​​​​                                                            ", 2012-8-20 10:01,转发,评论,赞,微博 weibo.com,yy0dPop2K
6,"
                                                                                                    光荣榜哦！～7.21特大自然灾害募捐名单～ ​​​​                                            ",是,无, 2012-8-15 15:49,转发,评论,赞,微博 weibo.com,yxhmsDweR
7,"
                                                                                                    ""手工小达人""们动手制作都很厉害 ​​​​                                            ",是,无, 2012-8-14 16:52,2,1,赞,微博 weibo.com,yx8lzuOna
8,"
                                                                                                    22、适当参与父母的活动；23、陪父母拜访他们的老朋友；24、陪父母看一场老电影 ​​​​                                            ",是,无, 2012-8-14 07:42,1,评论,赞,微博 weibo.com,yx4KizS8G
9,"
                                                                                                    12、打开父母的心结；13、支持父母的业余爱好；14、支持单身父母再婚；15、定期带父母做体检；16、为父母购买合适的保险；17、常跟父母做交心的沟通；18、带父母一起出席重要的活动；19、带父母参观你工作的地方；20、带父母去旅行或故地重游；21、和父母一起锻炼身体； ​​​​                                            ",是,无, 2012-8-14 07:42,1,评论,赞,微博 weibo.com,yx4KgvNfX
10,"
                                                                                                    新版“24”孝 1、经常带着爱人、子女回家；2、节假日尽量与父母共度；3、为父母举办生日宴会；4、亲自给父母做饭；5、每周给父母打个电话；6、父母的零花钱不能少；7、为父母建立“关爱卡”；8、仔细聆听父母的往事；9、教父母学会上网；10、经常为父母拍照；11、对父母的爱要说出口； ​​​​                                            ",是,无, 2012-8-14 07:41,1,评论,赞,微博 weibo.com,yx4KaB9My
