序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    北庄镇玉龙谷风景区项目一期工程开工建设,工程主要涉及民俗旅游村建设,项目占地12万平米,总建筑面积2.8万平米,同时还将建设卫生室\超市\村民活动中心等配套公建.工程建成后,大岭村与抗峪村村民将全部由老旧的平房搬到舒适的楼房,极大的改善村民生活环境,还可用于接待城乡游客,增加村民收入! ​​​​                                            ",是,无, 2012-8-29 14:32,转发,1,赞,微博 weibo.com,yzoQ86l84
2,"
                                                                                                    我在“砖”车上 我在:O网页链接 ​​​​                                            ",是,无, 2012-8-28 07:45,转发,1,赞,Android客户端,yzcKxmboW
3,"
                                                                                                    //@MYCG110: 转发微博                                            ",否,微博已被原作者删除, 2012-8-27 21:15,-1,评论,赞,微博 weibo.com,yz8CMEMZQ
4,"
                                                                                                    日驻华大使车辆北京遭袭 所乘车上日本国旗被夺!!O网页链接 ​​​​                                            ",是,无, 2012-8-27 21:13,转发,评论,赞,微博 weibo.com,yz8C9Fdal
5,"
                                                                                                    日前,北庄镇篮球队与密云移动公司在一中篮球馆举行比赛,比赛当天双方运动员赛出了风格赛出了水平,以平局结束了此次篮球交流活动. ​​​​                                            ",是,无, 2012-8-24 11:04,1,9,赞,微博 weibo.com,yyClmFgFd
6,"
                                                                                                    我的笔记本被一精神病消灭！ ​​​​                                            ",是,无, 2012-8-24 08:40,转发,1,赞,微博 weibo.com,yyBoXF4pW
7,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    看到佛主的人,在10秒内转发的人,可保家人一生平安,一切顺利！很灵验的！ ​​​​                                                            ", 2012-8-20 11:46,转发,评论,5,微博 weibo.com,yy0UcCHxO
8,"
                                                                                                    你也来试试！！                                            ",否,"
                                                                                                    【手指健脑操】你一分钟能做多少次，超过25次的说明你大脑特别灵活。点击图片，试一试。转发给你的同事、 朋友~ ​​​​                                                            ", 2012-8-18 12:09,转发,评论,赞,微博 weibo.com,yxIczjgLZ
9,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    这是一尊转运菩萨，2012年可踢走霉运，阖家八方来财，人人四季平安，事事吉祥如意！ ​​​​                                                            ", 2012-8-17 15:41,转发,评论,11,微博 weibo.com,yxAasdKbO
10,"
                                                                                                    为什么8.15，日本人在我们的领土上以“非法入境”为由，逮捕我国公民，中国政府还只是抗议呢！ ​​​​                                            ",是,无, 2012-8-16 08:51,转发,评论,赞,微博 weibo.com,yxo3jwhKx
11,"
                                                                                                    末伏最后一天，期待着秋天的凉爽！ 我在:O网页链接 ​​​​                                            ",是,无, 2012-8-16 07:46,转发,评论,赞,Android客户端,yxnDd6zxP
12,"
                                                                                                    让丫跪着再来中国道歉！                                            ",否,"
                                                                                                    【历史上的今天】1945年8月15日，日本天皇裕仁通过广播发表《终战诏书》，宣布无条件投降，日本侵略战争彻底失败。当晚，鞭炮声中，中国民众奔走相告：日本投降了！无论延安，还是重庆，抑或其他地方，中国人陷入堪称千年未有的狂欢之中，卖号外的报童满街飞奔，累得发喘，一张号外卖到三百元。(高凯) ​​​​                                                            ", 2012-8-15 10:52,转发,评论,45,微博 weibo.com,yxfpVmDNq
13,"
                                                                                                                                                ",否,微博已被原作者删除, 2012-8-15 09:53,-1,评论,赞,微博 weibo.com,yxf1Xm1MK
14,"
                                                                                                    知识 学多了 长肚子!!                                            ",否,"
                                                                                                    各种芝士奉上。该宵夜了~~ ​​​​                                                            ", 2012-8-13 14:54,转发,评论,4,微博 weibo.com,ywY9ljuyk
15,"
                                                                                                    美丽的天空和彩虹 ​​​​                                            ",是,无, 2012-8-13 14:27,转发,评论,赞,微博 weibo.com,ywXY78EIW
16,"
                                                                                                    二手豪车也疯狂 ​​​​                                            ",是,无, 2012-8-13 14:24,转发,评论,赞,微博 weibo.com,ywXX9paAx
17,"
                                                                                                    这一切难道只是帕切科的错吗？领导也要扪心自问》》》》》                                            ",否,"
                                                                                                    【罗宁发问帕切科】O网页链接国安高层罗宁表达了对主帅帕切科的不满：“老队员状态原本下滑就快，肯定是一年不如一年，这就要求训练有所保证，现在的训练质量到底怎么样，有没有保证？”“最开始的几个外援实力怎么样大家都看到了。”“大家都在改变，你不变，就要挨打，事实就这么简单。” ​​​​                                                            ", 2012-8-13 14:08,转发,评论,赞,微博 weibo.com,ywXQKjMF0
18,"
                                                                                                    我们的球队！一直属于我们自己的球队！虽然比赛成绩并不是很理想，但我们证明了我们自己，证明了我们这只个人能力不突出的团队，证明了我们是一支strong team！！！ ​​​​                                            ",是,无, 2012-8-13 09:16,5,6,赞,微博 weibo.com,ywVVRfEB9
19,"
                                                                                                    可怜的翔飞人！为什么两届奥运会结果是那么的一致！ ​​​​                                            ",是,无, 2012-8-7 17:53,转发,1,赞,UC浏览器Android,yw4KV47dL
20,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    最大火星车“好奇号”成功着陆，好奇号可以去找勇气号喽 ​​​​                                                            ", 2012-8-6 13:49,转发,评论,赞,微博 weibo.com,yvTJdg6vr
21,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【央视08奥运女主持沈冰从政 任中央政法委信息中心副主任】O网页链接央视美女主持沈冰淡出电视圈已久，近期她以中央政法委信息中心副主任身份现身参与调研。沈冰曾在2002年韩日世界杯期间任央视《你好，世界杯》栏目主播，08年北京奥运会期间也曾担任央视奥运女主播。 ​​​​                                                            ", 2012-8-6 13:48,转发,评论,93,微博 weibo.com,yvTJ8wiLa
22,"
                                                                                                    射手新娘                                            ",否,"
                                                                                                    新娘的背影真美丽啊「@渣蜀黍 」 ​​​​                                                            ", 2012-8-6 13:32,1,1,赞,微博 weibo.com,yvTCphQAr
23,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    网友吐槽：中国好声音哈林是来做主持人的，杨坤是来做宣传的，那英是来唠嗑的，刘欢是来开家长会的，华少简直就是来卖凉茶的。[转] ​​​​                                                            ", 2012-8-6 13:31,1,1,150,微博 weibo.com,yvTBYoWLT
24,"
                                                                                                    我觉得理应如此判罚，申诉是在侮辱自己，他们这么做对得起球迷吗？有悖体育道德精神！但是我觉得这一切的一切都应该是李永波授意的，再次说明这不是第一次了！！                                            ",否,"
                                                                                                    【李永波道歉】中国羽毛球队总教练李永波１日就中国女双组合于洋／王晓理因消极比赛，被世界羽联取消比赛资格一事，接受了新华社、中央电视台等媒体的联合专访。“如今世界羽联已经做出决定，我作为总教练，确实觉得要向球迷和全国观众说对不起。” @界-咸鱼 @绯色-流年 ​​​​                                                            ", 2012-8-2 10:54,转发,评论,31,微博 weibo.com,yvgSb0LcE
25,"
                                                                                                    //@宜居密云: 难得一见的彩虹，为美丽的密云增加了一抹秀色//@不老屯_苏乐: 美丽的地方-----我的家乡@FM887杜丽华 @平安北京 @宜居密云                                            ",否,"
                                                                                                     @不老屯_苏乐 @北京发布 @聆听-微笑 @宜居密云  多少年都没见过彩虹咯 我在:2滨河路 ​​​​                                                            ", 2012-8-2 10:45,1,评论,赞,微博 weibo.com,yvgOODuYz
26,"
                                                                                                    深圳一女子街头遛“草泥马” 网友称很霸气（图） - 带宠物上街很常见，遛狗遛鸟神马的都是浮云，你见过有人遛“草泥马”吗昨日14时20分许，有网友晒微博，称一女子正牵着一头“草泥马”在华强北商业区遛街，现场有不少市民... O网页链接 ​​​​                                            ",是,无, 2012-8-2 10:44,转发,评论,赞,南都Daily,yvgOr2iS9
27,"
                                                                                                    焦刘洋夺得女子200米蝶泳冠军，取得中国代表团第17枚金牌。 O网页链接 ​​​​                                            ",是,无, 2012-8-2 06:11,转发,评论,赞,分享按钮,yvf1BDqz2
