序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    @甘家口之窗 为了迎接十八大的到来，做好宣传工作，居委会向广大社区居民征集书画作品，表达对十八大的美好祝愿，各位有心的朋友们，快快把你们的作品送到居委会来吧！~~对于一些优秀作品，我们会给予奖励哟~~ ​​​​                                            ",是,无, 2012-8-28 15:59,1,1,赞,微博 weibo.com,yzfZdmBkB
2,"
                                                                                                    凡客用户尊享回馈，官方唯一授权，线上渠道同步首发小米手机1S，仅售1499元，先申领，后交费！下手要快准狠，慢了就没机会了噢！VANCL官网每天随机抽取一台小米1S赠送 （分享自 @VANCL粉丝团 ） O网页链接 ​​​​                                            ",是,无, 2012-8-24 09:38,转发,评论,赞,分享按钮,yyBMj0iop
3,"
                                                                                                    昨天去海淀图书馆接受了图书管理员培训，很快就要着手社区益民书屋的建设了。回来的路上很有想法，tala，而且与主人的交谈也很顺利，我们希望书屋尽快建成。现在正在着手策划图书馆规则，图书整理，档案管理，各位丝友们有什么好的意见快快说来呀@甘家口之窗@白中社区@机械院社区 ​​​​                                            ",是,无, 2012-8-24 09:02,转发,评论,赞,微博 weibo.com,yyBxQt7FO
4,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    早安，各位！今天是2012年8月17日星期五，限行尾号1和6。三伏天从今天开始就结束了。今天，本市主要为多云天气，温度相比昨天有所下降，最高温度为29℃。需要注意的是，傍晚到夜间，本市将会有雷阵雨。明天，本市阴转多云，气温变化不大，较舒适宜人。@李洪洋 ​​​​                                                            ", 2012-8-17 08:40,转发,评论,赞,微博 weibo.com,yxxptqyFP
5,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #防范骗子心理战#轻信善良不是错，但要学会保护自己。轻信他人是许多老年人、孩子易受骗的原因，他们往往警惕性比较差。对于骗子的伪装，不能冷静理智地做出分析，往往信以为真。犹豫这种人平时做事往往优柔寡断，别人这么一说就觉得这样有理，那么一说又觉得那样也对，这种情况最容易被骗子利用。 ​​​​                                                            ", 2012-8-15 09:43,转发,评论,赞,微博 weibo.com,yxeY6jnhx
6,"
                                                                                                    现在奥运会快到田径项目了，我们一起飞人刘翔打打气吧                                            ",否,"
                                                                                                    为了给奥运加油，潘庄社区与北京微博合作举办了“送奥运祝福，拿精美礼品”的微博活动，即日起百度搜索“北京微博”的链接，发布微博内容：#人人都爱奥运会#+@甘家口潘庄社区+您的祝福，发布成功即可在8月13日后领精美礼品一份，关注较多的还会有额外惊喜哦。快快行动起来，给我们的奥运英雄加油吧！ ​​​​                                                            ", 2012-8-3 15:24,转发,评论,赞,微博 weibo.com,yvs4y5UKw
7,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    为了给奥运加油，潘庄社区与北京微博合作举办了“送奥运祝福，拿精美礼品”的微博活动，即日起百度搜索“北京微博”的链接，发布微博内容：#人人都爱奥运会#+@甘家口潘庄社区+您的祝福，发布成功即可在8月13日后领精美礼品一份，关注较多的还会有额外惊喜哦。快快行动起来，给我们的奥运英雄加油吧！ ​​​​                                                            ", 2012-8-3 15:23,转发,评论,赞,微博 weibo.com,yvs48m980
8,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【凉爽多云 暂别雨水】#北京你好# 今日限行5和0，最高气温27℃，今天小雨终于肯休息一下了，也让我们潮湿的心情见见阳光。不过到晚上又会转阴，预计4日前后还会有一次降雨过程。还有6天就立秋了呢，看来这个夏天不会再热到哪去了。今天的原创图片——“空中急停”！提醒司机同学，不要学这样急刹车哦~~ ​​​​                                                            ", 2012-8-2 08:01,转发,评论,赞,微博 weibo.com,yvfKg6QzQ
9,"
                                                                                                    #青莲苑#愚公一直有意志执着办事认真的寓意。居民送来这幅字画，藉以表达他们对街道领导和居干们长久以来以民为先，为民办事的工作态度的感谢。@甘家口之窗 ​​​​                                            ",是,无, 2012-8-1 15:43,转发,评论,赞,微博 weibo.com,yv9kYriUc
10,"
                                                                                                    #青莲苑#居民字画之养心：一饮涤昏寐情思朗，爽满天地；再饮清我神，急如飞雨洒轻尘；三饮便得道，何须苦心破烦恼。所谓“贪”皆因心起，如果心静了，淡泊名利了，自然清了。@甘家口之窗 ​​​​                                            ",是,无, 2012-8-1 14:53,转发,评论,赞,微博 weibo.com,yv914bSn3
11,"
                                                                                                    祝全国可敬可爱的解放军同志们节日快乐 ​​​​                                            ",是,无, 2012-8-1 14:32,转发,评论,赞,微博 weibo.com,yv8SwElio
12,"
                                                                                                    #青莲苑#居民送来的字画：“厚德载物”，意思是：好的品行来承载万物，包容万物，滋养万物，造福万物。如果有了好的品行，何来腐败，便是清廉。@甘家口之窗 ​​​​                                            ",是,无, 2012-8-1 14:31,转发,评论,赞,微博 weibo.com,yv8S2eHHv
13,"
                                                                                                    请大家注意出行安全                                            ",否,"
                                                                                                    【白天小雨东部小到中雨】8月1日7时北京气象信息：今天早晨有小雨，白天小雨持续，东部地区有小到中雨，最高气温24℃，道路湿滑，出行注意交通安全，山区注意防范山体滑坡、泥石流等地质灾害。今天气温不高，凉爽舒适，年老体弱者可以适当穿件长袖衫。夜间阴转多云，最低气温21℃。 ​​​​                                                            ", 2012-8-1 08:02,转发,评论,赞,微博 weibo.com,yv6k5jVDJ
14,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    为了给奥运加油，潘庄社区与北京微博合作举办了“送奥运祝福，拿精美礼品”的微博活动，即日起百度搜索“北京微博”的链接，发布微博内容：#人人都爱奥运会#+@甘家口潘庄社区+您的祝福，发布成功即可在8月13日后领精美礼品一份，关注较多的还会有额外惊喜哦。快快行动起来，给我们的奥运英雄加油吧！ ​​​​                                                            ", 2012-7-31 16:31,转发,评论,赞,微博 weibo.com,yv0dYsBXy
