序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    8月31日上午 我社区参加了甘家口地区公共健康联合会成立一周年大型健康义诊活动，并接受了海淀区卫生局领导赠送的健康大礼包。 ​​​​                                            ",是,无, 2012-8-31 15:51,1,1,赞,微博 weibo.com,yzIdgh3cc
2,"
                                                                                                    8月30日 街道工委组织部组织21个社区支委 参观卢沟桥抗日战争纪念馆，使广大党员、干部又受到了一次爱国主义教育。 ​​​​                                            ",是,无, 2012-8-31 15:49,转发,1,赞,微博 weibo.com,yzIclf8uy
3,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    @甘家口之窗 为了迎接十八大的到来，做好宣传工作，居委会向广大社区居民征集书画作品，表达对十八大的美好祝愿，各位有心的朋友们，快快把你们的作品送到居委会来吧！~~对于一些优秀作品，我们会给予奖励哟~~ ​​​​                                                            ", 2012-8-28 16:05,转发,评论,赞,微博 weibo.com,yzg1lqn4T
4,"
                                                                                                    首届“家有甘露、味在永徽”永徽杯家庭厨艺大赛，8月16日上午在大永徽酒楼举行。街道办事处主任赤飞、副主任李瑞香及21个社区的书记、主任到会观摩。经过专家评选，最终水科院社区的刘艳宏凭借自己一道拿手的“炒海蟹”获得了优胜奖。 ​​​​                                            ",是,无, 2012-8-17 10:11,转发,评论,赞,微博 weibo.com,yxy0uvScd
5,"
                                                                                                    今天晚上19：30在中央电视塔有我社区的小合唱表演哦，欢迎大家为我社区合唱队加油助阵哦~ ​​​​                                            ",是,无, 2012-8-15 15:47,转发,评论,赞,微博 weibo.com,yxhlFCj3f
6,"
                                                                                                    Attention！我街道今天晚上20:00在中央电视塔举行“中塔炫”系列活动，有操、有歌、有舞，活动很丰富哦，欢迎各位居民前往欣赏。 ​​​​                                            ",是,无, 2012-8-14 11:21,1,1,赞,微博 weibo.com,yx6bdi2KE
7,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【今日立秋】今日10时31分将迎来“立秋”。立秋后虽然一时暑气难消，但昼夜温差也逐渐明显起来。虽有凉风时至，但天气变化无常，因此又有“秋老虎”之称。在民间还流行着“贴秋膘”的风俗，因为人往往在夏天没什么胃口，体重大都会减轻一些。立秋了要吃肉补充体力，来补偿夏天的损失。 ​​​​                                                            ", 2012-8-7 10:43,转发,评论,赞,微博 weibo.com,yw1WrFHox
8,"
                                                                                                    截至今天为止，我社区共收到58位居民群众的捐款，共计2455元哦~~~为房山人民感谢各位居民的爱心 ​​​​                                            ",是,无, 2012-8-7 10:42,转发,1,赞,微博 weibo.com,yw1W3snwu
9,"
                                                                                                                                                ",否,"
                                                                                                    #光荣榜#（17）奥运之际，再传佳音！日前，在 “第七届北京市民族健身操舞大赛”中，代表我街道参赛的甘家口家园艺术团,凭借舞蹈《情满天路》的优异表现，从206支参赛队伍中跻身决赛，并在86支决赛队伍中脱颖而出一举获得社区组银奖荣誉。全民健身，踏歌起舞，让我们一路同行！ ​​​​                                                            ", 2012-8-6 10:55,转发,评论,赞,微博 weibo.com,yvSAOxFr7
10,"
                                                                                                    为房山人民捐款活动即将接近尾声，希望广大社区居民踊跃捐款！明天截止哦~ ​​​​                                            ",是,无, 2012-8-6 10:30,转发,评论,赞,微博 weibo.com,yvSqL4anq
