序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    已经通知居民参加！做好饭为全家啊！                                            ",否,"
                                                                                                    #文明城区创建-ing#（20)亲爱的甘粉们，“家有甘露，味在永徽”推出系列活动“快乐每一天，烹饪我最行”烹饪培训讲座 ，时间8月30日上午9:00，地点大永徽酒楼二层大厅。最早转发并 @甘家口之窗 的60位幸运的甘粉们将获得聆听大师讲座的机会，截止时间2012年8月29日上午11:00。加油抢沙发吧 …… ​​​​                                                            ", 2012-8-29 13:50,转发,评论,赞,政府版微博,yzozcv0Aq
2,"
                                                                                                    如不彻查，伤了基层群众的心啊！                                            ",否,"
                                                                                                    【辽外逃市委书记被双开 一家逃到美国】辽宁凤城原市委书记王国强曾于2010年7月以赴美参加女儿毕业典礼为由，办理因私出国护照，因故未成行。2012年3月，王国强在美驻沈阳总领事馆办理了一年多次赴美签证，4月24日擅自与妻从沈阳机场出境赴美，疑卷款2亿。5月，王国强被双开。O网页链接 ​​​​                                                            ", 2012-8-29 13:46,转发,评论,赞,微博 weibo.com,yzoxzp3ys
3,"
                                                                                                                                                ",否,"
                                                                                                    #民生海淀#近日，紫竹院街道在北洼路、厂洼、车南里、车道沟等7个长河沿岸、养犬人士较多的社区安装了50个宠物粪便收集器。收集器内装有宠物便便袋和小铲子，方便狗狗主人及时清理宠物粪便。希望养狗狗的童鞋像爱护狗狗一样，爱护环境！ ​​​​                                                            ", 2012-8-29 08:57,转发,评论,赞,微博 weibo.com,yzmEcBAU4
4,"
                                                                                                    顶一个！见者即顶！建议设置现场观众代表品尝，大众评审！                                            ",否,"
                                                                                                    #文明城区创建-ing#（20)亲爱的甘粉们，“家有甘露，味在永徽”推出系列活动“快乐每一天，烹饪我最行”烹饪培训讲座 ，时间8月30日上午9:00，地点大永徽酒楼二层大厅。最早转发并 @甘家口之窗 的60位幸运的甘粉们将获得聆听大师讲座的机会，截止时间2012年8月29日上午11:00。加油抢沙发吧 …… ​​​​                                                            ", 2012-8-29 08:54,转发,评论,赞,微博 weibo.com,yzmDaucRt
5,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    野草遮不住太阳的光芒。（BY佚名）早安，各位。 ​​​​                                                            ", 2012-8-27 08:54,1,评论,26,微博 weibo.com,yz3LZAfYA
6,"
                                                                                                    不仅是学生，出门在外的居民也要注意了！//@北京铁路: #温提示#暑假即将结束，铁警提醒：学生乘火车出行“七注意”，记得收藏哦[呵呵]                                            ",否,"
                                                                                                    #上铁提醒#【学生乘车“七注意”】愉快的暑假马上就要过完了，学生们即将登上返校的路途，我们的铁警提醒大家，在乘坐火车的时候要安全第一，具体做到“七注意”。 ​​​​                                                            ", 2012-8-24 10:43,1,评论,赞,微博 weibo.com,yyCcX6gee
7,"
                                                                                                    请各位居民做好防盗，注意自身财产人身安全！                                            ",否,"
                                                                                                    2012年8月23日上午10时，《甘家口地区物技防推广现场会暨高发案地区和高发案社区挂牌专项整治工作启动仪式》在我社区如期召开，海淀区公安分局、甘家口街道办事处、甘家口派出所等领导同志及甘家口地区21个居委会治保主任、社区民警、辖区单位及物业公司代表、西钓社区居民代表共50余人参加此次会议。 ​​​​                                                            ", 2012-8-23 11:30,转发,评论,赞,微博 weibo.com,yyt5jvC34
8,"
                                                                                                                                                ",否,"
                                                                                                    #微党校#（49）【清莲苑】廉政人物：四知先生后汉杨震任东莱太守，路经昌邑，县令王密曾是杨震举荐的荆州茂才，到夜间，王密以十金相赠，并说：“暮夜无知者。”震厉声回答：“天知、神知、我知、子知，何谓无知？”密羞愧地退出。时人因此称其为“四知先生”。 ​​​​                                                            ", 2012-8-13 10:46,1,评论,赞,政府版微博,ywWwu82pE
9,"
                                                                                                    各位粉儿，有启示吗？//@任志强:分享                                            ",否,"
                                                                                                    《禅悟》1、笑是一种生命力，常笑则长寿。2、快乐是分等级的，有所得只是低级快乐，无所求才是高级快乐。3、实际上人都是井底之蛙，不同的是对井口大小的认知。4、人生有时就像得一场感冒，一阵寒一阵热，不用吃什么药，也会过去的。5、立志要如山，行道要如水。不如山，不能坚定；不如水，不能曲达。 ​​​​                                                            ", 2012-8-11 08:03,转发,评论,3,诺基亚5233,ywCBhqf6F
10,"
                                                                                                    #清莲苑# 反腐第一诗——《诗经·小雅·节南山》追古抚今，感慨万分！节选一段：“昊天不佣，降此鞠訩。昊天不惠，降此大戾。君子如届，俾民心阕。君子如夷，恶怒是违。不吊昊天，靡有定。式月斯生，俾民不宁。……”各位粉儿，您读懂了吗？@甘家口之窗 ​​​​                                            ",是,无, 2012-8-10 13:39,转发,1,赞,微博 weibo.com,ywvn77cN8
11,"
                                                                                                    豆腐既养生又有“清白”之意，赞！                                            ",否,"
                                                                                                    #微党校#（48）【清莲苑】廉政人物：三汤巡抚清朝汤斌，顺治进士，任江宁巡抚时，“澄请吏治，江南北无一物不得其所”，为官清正，政绩卓著，在生活上安于清贫，一日餐，常以豆腐汤佐食，因而百姓送他一个“三汤巡抚”的雅号。 ​​​​                                                            ", 2012-8-10 13:18,转发,评论,1,政府版微博,ywveGFNxx
