序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    大家辛苦了                                            ",否,"
                                                                                                    #全国文明城区迎检#他们是我们身边最可爱的人! ​​​​                                                            ", 2012-8-28 09:03,转发,评论,赞,微博 weibo.com,yzdgc2OmD
2,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    8月27日下午3点，解放军北京军区总医院原副政委、全国道德模范、首都十大道德模范孙茂芳在北京人文大学第四阶梯教室为2012级全体新生做社会公德教育报告会。——我2007年5月19日第一次踏进该校，从此与该校结下了缘份，人文学子的热情、激情感动着我。O网页链接 ​​​​                                                            ", 2012-8-28 08:40,1,评论,赞,微博 weibo.com,yzd6IAckO
3,"
                                                                                                    #全国城市文明程度指数测评#志愿者职责：一是对公共场所乱贴小广告、随地吐痰、乱丢烟头等影响市容环境的行为予以制止、教育，并及时清理干净。二是将道路两侧便道的非机动车码放整齐。发现周边游商摊贩和流浪乞讨人员，及时上报综合执法组。三是积极为孤、老、残、弱者提供服务。友善对待外来人员。 ​​​​                                            ",是,无, 2012-8-28 08:37,转发,评论,赞,微博 weibo.com,yzd5tabMM
4,"
                                                                                                    转起来                                            ",否,"
                                                                                                    我发起了一个投票【左安漪园社区LOGO征集大赛】，地址 O网页链接小瓶子乖乖 @LX_momo @Charcy_讨厌苏打水 @石长泉同学 @乃刚张 @2011杨荣@2011林淼@北京爱思创新 ​​​​                                                            ", 2012-8-27 14:50,转发,评论,赞,微博 weibo.com,yz66zCq00
5,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #商情速递#【便宜坊加大品牌商标网络保护力度】便宜坊对旗下的都一处、天兴居、力力、壹条龙、锦芳、御膳、功德林、锦馨、老正兴、正阳楼等11个品牌的无线网址和通用网址，以及中文和英文域名进行注册，对使用集团所属品牌名称申请无线网址、通用网址所有权行为提出异议保护，以落实公司品牌战略。 ​​​​                                                            ", 2012-8-14 22:31,转发,评论,赞,微博 weibo.com,yxaz2DxWh
6,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #东城档案#【昔日的北京满文书院】今天，满文的历史价值、研究价值和使用价值已为人们深刻认识，国家开始重视对满文人才的培养。27年前始建的北京满文书院为抢救满文、培养满文人才的历史曾做出重要贡献。现其珍贵资料由北京市东城区档案馆妥善保存。详情见O网页链接 ​​​​                                                            ", 2012-8-14 22:30,转发,评论,赞,微博 weibo.com,yxayX4v5R
7,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #东城新闻#【崇文口腔有了一站式服务】近日，崇文口腔医院开设了特色门诊——口腔综合科，主要针对患者就诊时由于对口腔疾患不了解而盲目挂号，一旦挂错重新排队，影响就诊效率的问题。此外，开设综合科后，医生会根据患者的病症制定综合治疗方案，患者不出诊室就可享受治牙、拔牙、镶牙“一站式”服务 ​​​​                                                            ", 2012-8-14 22:30,转发,评论,赞,微博 weibo.com,yxayTvx9T
8,"
                                                                                                     @豆豆龙蘑菇                                            ",否,"
                                                                                                    #抢险救灾# 7月21日的特大暴雨引起积水倒灌进东花市南里东区（本家润园）13、15号楼地下室，各方救援力量500余人全面投入到抢险救灾工作中。在各方努力下，小区水电正在逐步恢复。目前地下一层商户物资的清点和清淤消杀工作已初步完成；地下二层400户租户已经安全疏散。 ​​​​                                                            ", 2012-7-27 18:34,1,评论,赞,政府版微博,yupk9bbAP
9,"
                                                                                                    转发微博。                                            ",否,"
                                                                                                    #抢险救灾# 7月21日的特大暴雨引起积水倒灌进东花市南里东区（本家润园）13、15号楼地下室，各方救援力量500余人全面投入到抢险救灾工作中。在各方努力下，小区水电正在逐步恢复。目前地下一层商户物资的清点和清淤消杀工作已初步完成；地下二层400户租户已经安全疏散。 ​​​​                                                            ", 2012-7-27 18:34,转发,评论,赞,政府版微博,yupk1aAXp
10,"
                                                                                                    辛苦了                                            ",否,"
                                                                                                    #抢险救灾# 7月21日的特大暴雨引起积水倒灌进东花市南里东区（本家润园）13、15号楼地下室，各方救援力量500余人全面投入到抢险救灾工作中。在各方努力下，小区水电正在逐步恢复。目前地下一层商户物资的清点和清淤消杀工作已初步完成；地下二层400户租户已经安全疏散。 ​​​​                                                            ", 2012-7-27 18:30,转发,评论,赞,微博 weibo.com,yupila8a9
