序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,【晚间天气预报】#沿海大风警报#今天夜里到明天白天多云到阴，局部地区有阵雨或雷雨，西南风5级阵风6到7级，明晨最低气温20度左右，明天最高气温32度左右。沿海海面：今天夜里到明天白天多云到阴有阵雨或雷雨，西南风6到7级阵风8级，浪高2.0米，水温28度。9月2日多云有时阴，3日多云转晴。 ​​​​,否,,2016-08-31 15:44,转发,评论,赞,微博 weibo.com,https://weibo.com/3176236304/E66NOqjwN
1,【午间天气预报】#沿海大风警报#今天下午到夜里晴到多云，西南风5级阵风6到7级，今天最高气温32度，明晨最低气温20度。沿海海面：今天下午到夜里晴到多云，西南风7到8级阵风9级，浪高2.5米，水温27度。9月1日多云，局部有时阴有阵雨或雷雨。2日多云有时阴。 ​​​​,否,,2016-08-31 10:26,转发,评论,赞,微博 weibo.com,https://weibo.com/3176236304/E64J5aaCT
2,【天气实景】 ​​​​,否,,2016-08-31 07:14,转发,评论,赞,微博 weibo.com,https://weibo.com/3176236304/E63t891es
3,【早间天气预报】#沿海大风警报#今天晴到多云，西到西南风5级阵风6到7级，今天最高气温31度，明晨最低气温22度。沿海海面：今天晴到多云，西到西南风7到8级阵风9级，浪高2.5米，水温27度。9月1日晴转多云，局部有时阴有阵雨或雷雨。2日多云。 ​​​​,否,,2016-08-31 06:33,转发,评论,赞,微博 weibo.com,https://weibo.com/3176236304/E63chweOK
4,【天气实况】昨日我市晴到多云，昨日平均温度24.3度，最高温度29.5度，今天早晨最低温度20.0度。 ​​​​,否,,2016-08-31 06:32,转发,评论,赞,微博 weibo.com,https://weibo.com/3176236304/E63c2qX92
5,【晚间天气预报】#大风警报#今天夜里到明天白天晴到多云，西北风4到5级明天逐渐增强为偏西风5到6级阵风7级，明晨最低气温20度，明天最高气温31度。沿海海面：今天夜里到明天白天晴到多云，西北风7级阵风8到9级转偏西风8级阵风9到10级，浪高3.0，水温27度。9月1日晴转多云，2日多云。 ​​​​,否,,2016-08-30 16:07,转发,评论,赞,微博 weibo.com,https://weibo.com/3176236304/E5XwQiweE
6,【午间天气预报】#沿海大风警报#今天下午到夜里晴到多云，西北风4到5级，今天最高气温30度左右，明晨最低气温20度左右。沿海海面：今天下午到夜里晴到多云，西北风6到7级阵风8级，浪高2.0米，水温27度。31日晴到多云；9月1日晴转多云。 ​​​​,否,,2016-08-30 10:26,转发,评论,赞,微博 weibo.com,https://weibo.com/3176236304/E5VivjOdf
7,【天气实景】 ​​​​,否,,2016-08-30 08:31,转发,评论,赞,微博 weibo.com,https://weibo.com/3176236304/E5UxWF0Hv
8,【早间天气预报】#沿海大风警报#今天晴到多云，西北风4级，今天最高气温30度左右，明晨最低气温21度。沿海海面：今天晴到多云，西北风6到7级阵风8级，浪高2.0米，水温29度。31日晴转多云；1日多云到阴，局部有阵雨或雷雨。 ​​​​,否,,2016-08-30 06:46,转发,评论,赞,微博 weibo.com,https://weibo.com/3176236304/E5TR9avCE
9,【天气实况】昨日我市晴到多云，昨日平均温度24.1度，最高温度30.1度，今天早晨最低温度19.5度。 ​​​​,否,,2016-08-30 06:46,转发,评论,赞,微博 weibo.com,https://weibo.com/3176236304/E5TQYefIw
