序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,【动图说气象】大风有多大#每日气象科普# O【动图说气象】大风有多大 ​​​​,否,,2016-08-31 21:39,11,3,3,iOS,https://weibo.com/2117508734/E697YaDs1
1,#秋高气爽# 大美新疆 O视觉 | 新疆美 ​​​​,否,,2016-08-31 20:26,转发,评论,6,热爱气象的Android,https://weibo.com/2117508734/E68EjhU8B
2,#秋高气爽# 草原的秋天  美如画,是,分享图片 ​​​​,2016-08-31 20:03,2,2,13,热爱气象的Android,https://weibo.com/2117508734/E68vj895G
3,#秋高气爽#  by 廉沫 ​​​​,否,,2016-08-31 19:06,3,2,22,热爱气象的Android,https://weibo.com/2117508734/E687TlZz8
4,【森林火险气象预报】中央气象台8月31日18时发布森林火险气象预报　　根据最新的全国热源点监测资料显示（2016年8月30日16时至8月31日16时），未监测到热源点。预计，2016年8月31日20时至9月1日20时，内蒙古东北部、陕西南部、重庆北......O网页链接 ​​​​,否,,2016-08-31 18:56,转发,评论,3,中国气象局官网,https://weibo.com/2117508734/E68445R3O
5,【全国主要公路气象预报】　　中国气象局与交通运输部2016年08月31日联合发布全国主要公路气象预报　　8月31日20时至9月1日20时，新疆天山附近及南疆西部和南部、内蒙古中东部、东北地区、华北北部、黄淮东部、江淮东北部、江南中南部、华南、西南地区......O网页链接 ​​​​,否,,2016-08-31 18:56,转发,评论,3,中国气象局官网,https://weibo.com/2117508734/E6842AVIH
6,【地质灾害气象风险预警】　　国土资源部与中国气象局8月31日18时联合发布地质灾害气象风险预警：　　预计，8月31日20时至9月1日20时，云南西部、吉林中南部等地的局部地区发生地质灾害的气象风险较高。请当地居民注意防范强降水引发的......O网页链接 ​​​​,否,,2016-08-31 18:26,转发,评论,1,中国气象局官网,https://weibo.com/2117508734/E67RRCHca
7,#秋高气爽# 草原上那殷红的晚霞 惊艳了时光温柔了岁月  （贾克寒 摄影） ​​​​,否,,2016-08-31 17:28,5,2,14,微博 weibo.com,https://weibo.com/2117508734/E67u2t28q
8,#秋赏红叶#  //@苏珊佟:哇咔咔，大自然真美妙！,是,美丽的秋色中出没的小动物们，多好的季节~(via boredpanda) ​​​​,2016-08-31 16:11,15,3,40,热爱气象的Android,https://weibo.com/2117508734/E66YRFUeI
9,【#秋高气爽#的五马沙坨】8月18日，黑龙江省大庆市杜尔伯特蒙古族自治县新店林场和敖林西伯乡交界处的五马沙坨，秋高气爽，流云朵朵。沙坨海拔高度170米，由高高低低十余座沙丘汇集而成，占地0.6平方公里。五马沙坨是蒙古语“乌乎穆勒”的谐音，意为死亡沙丘或死亡沙谷。随着历史的发展，当地百姓俗称为五马沙坨。沙坨内野杏繁茂，从沙丘顶端直至坡谷，都有杏树生长。摄影：林松,否,,2016-08-31 15:51,3,1,9,微博 weibo.com,https://weibo.com/2117508734/E66R2ayI2
