序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,【越忙越胖，你中招了吗？】工作压力大，从早忙到晚，人不但没瘦，反而越忙越胖？这就是“过劳肥”！调查显示，工作3年左右是“过劳肥”高发期，超1/4的人体重较刚入职时增加5公斤。午餐吃外卖？用零食代替正餐？经常熬夜？一坐一整天？这些都会导致“过劳肥”！你中招了吗？九图↓一起告别过劳肥！ ​​​​,否,,2016-08-31 20:27,74,12,13,微管家,https://weibo.com/2834480301/E68EN7Mhl
1,【给孩子用抗生素常犯六个错】对于宝宝使用抗生素，家长往往有两种极端态度：一种认为抗生素是感冒发烧的特效药，发烧必用。另一种视抗生素为洪水猛兽，无论宝宝的病情如何，坚决抵制使用。当然，这两种观点都不正确。除此之外，家长在给孩子用抗生素时还常犯下面这些错。 ​​​​,否,,2016-08-31 16:30,47,8,4,微管家,https://weibo.com/2834480301/E676A39eB
2,陈敏说：“我的伤还可以坚持，但救护病人是我们医务人员的天职。”   棒棒哒,是,【救护车遭车祸 女护士口鼻流血救病人】26日，湖南岳阳巴陵医院骨外科护士长陈敏，与同事在护送一名重病患者的途中遭遇车祸，昏迷中醒来的她，强忍着脑震荡、全身软组织挫伤和左腿被玻璃刺伤至骨膜流血不止的剧痛，第一时间和同车医生紧急抢救病人，直至自己被抬上救护车…O网页链接 ​​​​,2016-08-31 15:25,20,12,40,360安全浏览器,https://weibo.com/2834480301/E66GglA8J
3,#卫生计生政策通报#【突发急性传染病防治“十三五”规划出台】日前，国家卫生计生委发布突发急性传染病防治“十三五”规划（2016-2020年），全方位推进突发急性传染病防治能力和水平建设，有效保障经济社会全面、协调、可持续发展。 ​​​​,否,,2016-08-31 14:58,25,7,4,微博 weibo.com,https://weibo.com/2834480301/E66vfsD5R
4,#医改那点事儿# 【慢病先行，三师共管，厦门以分级诊疗带动综合医改】厦门市推进财政、医保、价格、人事和绩效考评“五个差别化”的政策，探索形成以“分级诊疗，慢病先行，上下联动，三师共管”为主要特征的“厦门做法”。 °慢病先行，三师共管，厦门以分级诊疗带动综合... ​​​​,否,,2016-08-31 14:00,22,7,3,微博 weibo.com,https://weibo.com/2834480301/E667MtFRi
5,【饭后立即喝茶很伤胃】饭后一杯浓茶是很多老人多年的习惯，此举同样伤胃。饭后立刻喝茶，会冲淡胃液，影响食物消化吸收。茶叶的茶碱，会干扰蛋白质、微量元素的吸收。正确的做法是，饭后一小时再喝茶，且冲泡不应太浓。如果怕饭后口渴，可以在吃饭时搭配汤水。 ​​​​,否,,2016-08-31 13:00,34,8,10,微管家,https://weibo.com/2834480301/E65JitKry
6,【明天起，这些新规将影响你的生活】①20项“奇葩证明”派出所不再开具；②国管公积金提取手续简化；③流动就业人员医保可跨统筹地区转移；④网上弹出广告确保能一键关闭；⑤老年游客超百人团需配医生；⑥《慈善法》正式施行：慈善组织享税收优惠；⑦六类情形认定为学术不端。（via@人民日报 ） ​​​​,否,,2016-08-31 11:04,25,3,4,360安全浏览器,https://weibo.com/2834480301/E64YwzrjQ
7,【“贴秋膘”，这三类人悠着点】立秋后不少人都想“贴秋膘”，其实，此时“秋老虎”还在发威，“秋膘”要缓贴，要因人因地因时而异。下面三类人尤其不能急着“贴秋膘”，否则不但起不到保健的作用反而有害健康。 ​​​​,否,,2016-08-31 10:32,21,2,3,360安全浏览器,https://weibo.com/2834480301/E64Ltf7Nr
8,【烟草危害：科学与谬误】很多老人认为“能吸烟代表身体还行”，但实际上疾病在不知不觉中已经形成。一些老年慢性支气管炎患者，等到实在吸不动烟时再停止吸烟，为时已晚，因为肺功能损伤是不可能逆转的。吸烟危害具有长期性、滞后性、累积性等特征，且吸烟导致多种相关疾病的发生发展均存在剂量-反应关系，即吸烟时间越长，吸烟量越大，危险性越高。,否,,2016-08-31 09:51,25,5,4,360安全浏览器,https://weibo.com/2834480301/E64uGdDPb
9,#医改那点事儿# 【习近平：按照时间表路线图推进改革】中共中央总书记、国家主席、中央军委主席、中央全面深化改革领导小组组长习近平8月30日上午主持召开中央全面深化改革领导小组第二十七次会议并发表重要讲话。会议指出，党的十八大以来，深化医药卫生体制改革取得了重大进展，改革过程中涌现出一批勇于探索创新的先进典型，形成了一批符合实际、行之有效的经验做法。要鼓励各地因地制宜推广，支持各地差别化探索，在公立医院运行机制改革、医保经办管理体制、药品供应保障制度建设、分级诊疗制度建设、综合监管制度建设、建立符合医疗行业特点的人事薪酬制度等方面大胆探索创新，全力取得突破。,否,,2016-08-31 09:06,34,7,7,微博 weibo.com,https://weibo.com/2834480301/E64cm3xoD
10,【一张图看懂习近平的全民健康蓝图】悠悠民生健康最大，一图看懂习近平的全民健康蓝图。 ​​​​,否,,2016-08-31 08:58,41,7,24,360安全浏览器,https://weibo.com/2834480301/E6491t8Aq
11,【让你受益一生的9件小事】①规律作息：既然痛恨加班和熬夜，那为何不按时睡觉和起床？②外表利落：没人有义务透过邋遢的外表发现你优秀的内在；③朋友勤联系：哪怕发个短信或微信；④对亲人多些耐心：我们最大的错误，就是把最差的脾气都给了最亲近的人……幸福的密码并不复杂，一点改变让生活更美！ ​​​​,否,,2016-08-31 08:16,36,4,9,微管家,https://weibo.com/2834480301/E63S4p4J0
