序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,当你低头看手机的时候，危险也正注视着你。请专心开车，拒做“低头司机”。L秒拍视频 ​​​​,否,,2016-08-31 21:40,69,2,38,微博 weibo.com,https://weibo.com/2501519087/E698kjb24
1,【人民日报：公安交管部门推出改革新政五大举措 让开车更便利】交通管理和服务没有因为道路交通发展新形势而相对滞后，反而始终紧密结合实际，主动改革创新，推出驾考、车检等一系列新政策新举措，着力提升群众安全感和满意度。日前，记者对改革最新进展进行了专访。O人民日报：公安交管部门推出改革新政五大举措... ​​​​,否,,2016-08-31 20:23,43,2,15,iPhone客户端,https://weibo.com/2501519087/E68Dcuf7b
2,#安全伴你行#【驾校学不到的安全驾驶技巧】通过了驾照考试，在法律上讲，可以上路了，但从行车安全上讲，还远远不够，因为很多路上的驾驶细节，驾校里是学不到的，而这些驾驶知识，对于行车安全十分重要。在路上行驶，往往以为一些小的细节不注意或不知晓，而导致交通事故，让我们防患于未然。@郑州交巡警,否,,2016-08-31 20:03,120,2,22,微博 weibo.com,https://weibo.com/2501519087/E68uWCnWC
3,【@所有人 今天与您有约 一起来看张国强公益短片】今天，借网络这个虚拟的平台，搭建一个属于留守儿童的舞台，邀您来看《共筑交通安全 守护平安童年 让“留守的花朵”在阳光下绽放》公益短片。舞台上的主角是@演员张国强 当然他或许更喜欢自己的另一个身份——交通安全宣传员。O@所有人 今天与您有约 看张国强公益短片首映,否,,2016-08-31 19:45,90,5,26,iPhone客户端,https://weibo.com/2501519087/E68nVpyqk
4,【权威发布 | 公安交管部门集中整治客运安全隐患 全力保障群众暑期出行平安】以公路客运、旅游客运为重点，源头与路面结合，集中排查源头风险隐患，整治突出交通违法行为，7、8两月各地共检查客运企业3.6万家，集中约谈违法突出客运企业8406家。大型公路客车检验率达99.52%，旅游客车检验率达99.24%。 °公安交管部门集中整治客运安全隐患 全力保障...,否,,2016-08-31 19:15,239,2,16,iPhone客户端,https://weibo.com/2501519087/E68bCqAip
5,#蜀黍教你安全驾驶#很多惨烈的交通事故都发生在十字路口。十字路口前，简单地遵守“红灯停，绿灯行”是不够的。一分钟视频，全面了解十字路口的通行法则。L图说交通的秒拍视频 ​​​​,否,,2016-08-31 18:34,102,2,17,微博 weibo.com,https://weibo.com/2501519087/E67UPqybU
6,#执法直播台#大理交警首度执法直播，邀您来围观!9月1日上午，公安部交通管理局“全国交警直播月”活动将走进云南大理，直击大理古城交警电动车交通违法专项整治行动，带领全国网友共同关注电动车管理问题，并邀你共同体验电动车交通管理……@大理交警 ​​​​,否,,2016-08-31 17:20,6,1,11,微博 weibo.com,https://weibo.com/2501519087/E67r740ze
7,#执法直播台# 全国交警直播月，今天走进第19站—海口。今天下午17点半，海口交警现场直播电动车交通违法整治！想知道海口的交警蜀黍会在哪里直播执法吗，在国贸？还是龙昆南？谜底即将揭晓，速来围观！@海南省交警总队 ​​​​,否,,2016-08-31 17:08,8,1,11,微博 weibo.com,https://weibo.com/2501519087/E67m51IqE
8,【李娜首度担任公益片总监制 倡导明智饮酒拒绝酒驾】8月30日，拒绝酒驾”2016上海交通大整治零违法零酒驾大型公益活动举行，并发布饮酒公益片《没有侥幸》。李娜是这部公益片的总监制，她说：“酒驾者一次侥幸的念头，一个侥幸的行为，都可能给自己、家庭甚至别人的家庭带来极大的伤害。做了妈妈之后，我的心愈加柔软，更加知道责任的意义。我认为自己更有义务身体力行号召明智饮酒、拒绝酒驾，为了孩子也为更多的人努力创造更安全的交通环境。”,否,,2016-08-31 16:56,30,2,14,微博 weibo.com,https://weibo.com/2501519087/E67hp9x3e
9,【不一样的温馨提示】怎样让司机开车不看手机呢？你的亲人、爱人、朋友开车欲看手机，视频中这招不妨试试，既浪漫又有效。短信没有生命重要，微博没有生命重要，朋友圈动态没有生命重要。珍惜自己和他人的生命，开车不要看手机！L秒拍视频 ​​​​,否,,2016-08-31 15:47,73,1,18,微博 weibo.com,https://weibo.com/2501519087/E66PiBdq3
10,【一旦爆胎，切忌急踩刹车、乱打方向】蜀黍提醒：行驶时若发生爆胎，最最关键的就是把住方向盘！不要猛踩刹车，更不要乱打方向，而要双手先握紧方向盘，尽量控制前进方向，并松开油门让汽车慢慢减速，等方向稳定后再缓踩刹车，车辆速度减慢后，再轻打方向盘靠边，然后在车后竖立警示牌。L易车网视频的秒拍视频,否,,2016-08-31 14:51,213,2,62,微博 weibo.com,https://weibo.com/2501519087/E66sCDkb7
11,【一组动图告诉你 有种致命危险叫做高速停车】高速路上，几秒甚至更短的时间，足以造成车毁人亡。你的一次随意、任性，别人可能就要付出血的代价！遵守交规，为生命扩散！ ​​​​,否,,2016-08-31 13:55,86,2,9,微博 weibo.com,https://weibo.com/2501519087/E665NePCp
12,#正能量#【小伙三次跳进河中 一口气连救五人】面对冲入深河的面包车，盐城市大丰区万盈镇的曹明没有来得及多想，跳入河中，一口气游了三个来回，将车内的5个人全部救出。后又帮忙起吊车辆，然后默默离开。面对赞扬，他说救人是本能，“总不能见死不救吧！”°三次跳进河中，一口气连救五个人 ​​​​,否,,2016-08-31 11:45,96,1,214,微博 weibo.com,https://weibo.com/2501519087/E65ePryFT
13,【开学大课堂 关于道路交通安全那些事】开学后，孩子又成了大忙人，学习压力大不说，光是孩子上下学就会让不少家长感慨：跟打仗似的！孩子的安全成了全社会关注的重中之重，如何让孩子远离车祸的危险，这几点安全建议要注意。@济南交警 ​​​​,否,,2016-08-31 10:56,42,1,4,微博 weibo.com,https://weibo.com/2501519087/E64VbqukC
14,【哪些事故适合“私了”，哪些必须要走程序？】无论新手还是老司机，开车上路难免遇到一些磕磕碰碰，事故种类的确也有很多。现在很多人都知道要如何划分事故责任，有些小的磕磕碰碰也就“私了”了。但是，具体什么样的事故比较适合“私了”，又有哪些事故必须要走程序呢？↓↓↓L一和一传媒的秒拍视频 ​​​​,否,,2016-08-31 10:25,70,1,12,微博 weibo.com,https://weibo.com/2501519087/E64Izgeme
15,#前车之鉴#高速上发生故障或事故，车辆可以移动的情况下可驶入应急车道，在车后150米处放警示牌。此外，千万不能忘记“车上人员应迅速转移到右侧路肩上，撤离到安全地带”，因为危险分分钟降临。@天津交警 L秒拍视频 ​​​​,否,,2016-08-31 09:53,35,2,9,微博 weibo.com,https://weibo.com/2501519087/E64vrcSuq
16,#执法直播台#9月1日，@湖北宜昌交警针对开学季，直击学生交通安全专项整治行动。用现下最流行的直播方式，带领全国网友共同关注孩子的交通安全问题，共同监督学校周边、校车安全等交通安全话题…让您身临其境的体验孩子的交通安全是呵护未来的第一步… ​​​​,否,,2016-08-31 08:57,9,评论,11,微博 weibo.com,https://weibo.com/2501519087/E648Rr7Vq
17,#前车之鉴#车坏了，原地维修？？？当你躺到车轮下，也许就再也起不来了……L秒拍视频 ​​​​,否,,2016-08-30 21:45,55,1,22,微博 weibo.com,https://weibo.com/2501519087/E5ZJRmoSj
18,【连续熬夜三天 疲劳驾驶撞栅栏】在昌铜高速靖安收费站，一辆轿车偏离了方向后没有转向、减速，直接撞上分隔道的栅栏。经了解，驾驶人胡某连续三天熬夜加班，事发时疲劳得眼睛都无法睁开，直接撞到才猛然惊醒，所幸人没事。蜀黍提醒：为了生命安全，司机切勿疲劳驾驶。 L秒拍视频 ​​​​,否,,2016-08-30 19:45,74,5,11,微博 weibo.com,https://weibo.com/2501519087/E5YX9r1ez
19,【珍爱生命且行且珍惜】很多朋友追求速度与激情，现实中往往出现速度与悲情。镜头告诉你，车祸时到底会发生什么。生命脆弱，经不起肆意挥霍。蜀黍提醒：生命没有回放，开车请遵守交通规则。勿拿生命开玩笑，且行且珍惜！ ​​​​,否,,2016-08-30 18:31,96,1,15,微博 weibo.com,https://weibo.com/2501519087/E5Yt7eVkY
20,【当你驾车违法掉头时，可能会这样……】8月20日17时，一辆出租车在重庆沙坪公园车站路段跨越双黄线掉头，然而一辆同向行驶的摩托车来不及躲避，重重地撞在出租车上……蜀黍提醒：驾驶机动车一定要遵守交通信号有序通行；当你驾车在违法掉头时，就可能发生这样的事故。@重庆交巡警 ​​​​,否,,2016-08-30 17:04,62,1,19,微博 weibo.com,https://weibo.com/2501519087/E5XU7rnxI
21,#安全常识#【开车别看手机】①低头3秒，盲开约50米；②从眼睛看到异常路况，反应到大脑，再从大脑指挥刹车，到完成刹车，大概要0.7秒，时速60公里的车也已前行很长距离；③开车看手机，引发事故的概率是普通驾驶的23倍！为自己和别人的安全，开车不要看手机！@北京交警 ​​​​,否,,2016-08-30 16:55,85,2,7,微博 weibo.com,https://weibo.com/2501519087/E5XQ8rsQg
22,【司机驾车聊天错过道口 停车强行变道引发事故】近日，安徽芜湖一司机驾车聊天分心，错过高速道口，继而随意停车强行变道，导致后车躲闪不及引发事故。蜀黍提醒：高速路上，不要倒车、逆行、强行并线。错过路口可以到下一出口重新来过，若引发事故，生命则不会重来，且行且珍惜！千万别把心分给“死神”。L秒拍视频,否,,2016-08-30 15:56,72,1,13,微博 weibo.com,https://weibo.com/2501519087/E5XsyzMhH
23,#蜀黍教你安全驾驶#【一分钟告诉你 转向失控后怎么办？】转向失控，通俗点说就是方向盘不管用了。应对办法是立即松抬油门踏板，将变速器置入低速挡，均匀而用力拉紧手制动；当出现车速明显下降时，踩下脚制动，使车辆逐渐停下。L交通安全蜀黍的秒拍视频 ​​​​,否,,2016-08-30 15:00,98,1,16,微博 weibo.com,https://weibo.com/2501519087/E5X5wfiwA
24,#身边暖警#【女子遭车祸手指骨折 警辅俯身帮其系鞋带获赞】近日，刘某乘坐的车在真武山隧道前追尾前车，导致其右手骨折，右脚受伤。刘某在查看完右脚伤势后，一只手无法系上携带，被处理事故的辅警杜祥禄看见，便俯身帮她把鞋带系上，随后刘某被送往医院。杜祥禄：就是举手之劳。O网页链接 ​​​​,否,,2016-08-30 14:04,31,1,40,微博 weibo.com,https://weibo.com/2501519087/E5WIQxpOU
25,【摄像头下遮挡号牌 真以为蜀黍看不见你】摄像头下，这名司机居然做出如此“光明正大”的举动，真以为这样交警就会看不见。故意遮挡号牌要被扣12分，许多驾驶人说到底是不想受交通法规的约束。对这样的人，蜀黍只有一句话送给他们：与其费尽心机逃避处罚，不如一开始就遵守交通法规。老老实实地开车，交警不会找上你，交通事故也不会找上你。,否,,2016-08-30 11:45,41,2,15,微博 weibo.com,https://weibo.com/2501519087/E5VOpAYEV
26,【开学季 孩子乘校车必学的安全常识】又是一年开学季，孩子在等车、上车、车启动、坐车、下车过程中的那些安全细节，家长和学校都给孩子们提醒并演示了吗？快看看这些要点，孩子的安全十分重要，漏了的请补上！@创新e警 ​​​​,否,,2016-08-30 10:39,88,2,11,微博 weibo.com,https://weibo.com/2501519087/E5VnUnbkx
27,#前车之鉴#【两车为避小狗撞上隔离栏 损失200多万】近日，丽江两辆法拉利为避让前方突然窜出的一只横穿马路的小狗，造成车祸，没有人员伤亡，但小狗被撞死，狗主未出现。提醒：开车时突然遭遇闯入的小动物，不要猛打方向盘、猛踩刹车躲避，因为这样会危及人的生命，遇到情况请保持原有车道，适当减速躲避。L秒拍视频,否,,2016-08-30 09:49,57,1,19,微博 weibo.com,https://weibo.com/2501519087/E5V3t21fu
28,#补作业身体被掏空# 开学季就在眼前，全国各地的交警蜀黍们已经打起精神做好大家的护学岗，你们做好开学的准备了吗？还在补作业的请举手！ ​​​​,否,,2016-08-30 09:13,16,1,11,微话题-补作业身...,https://weibo.com/2501519087/E5UONboS2
29,#执法直播台# 9月1日上午，公安部交通管理局“全国交警直播月”活动将走进云南大理，直击大理古城交警电动车交通违法专项整治行动，用现下最流行的直播方式，带领全国网友共同关注电动车管理问题，并邀你共同体验电动车交通管理……@大理交警 ​​​​,否,,2016-08-30 08:56,9,评论,11,微博 weibo.com,https://weibo.com/2501519087/E5UHWi7ct
30,#蜀黍教你安全驾驶# 【不跟大车“凑热闹”】大货车车身比较高，容易遮挡后车司机的视线，如果跟车太近，遇到紧急情况时往往来不及躲避。对于敞开式大货车要更加注意保持车距，不要长时间跟车，避免意外发生。@临朐公安 ​​​​,否,,2016-08-29 20:40,59,1,14,微博 weibo.com,https://weibo.com/2501519087/E5PSYE9j7
31,#前车之鉴# 【小货车遇上“大麻烦”】一辆超载、超员且违法载人的小货车被查获。该小货车行驶中装卸工双手扒在右侧边，还称挤在车里太热，扒在外面凉快，被蜀黍发现并及时制止，当场对司机王某依法进行处罚。蜀黍提醒：违法载人危害大，超员超载更不行！@十堰交警一大队 ​​​​,否,,2016-08-29 19:30,31,1,16,微博 weibo.com,https://weibo.com/2501519087/E5Pqzgp8H
32,【第八届中国国际道路交通安全产品博览会今日开幕】博览会首次在京外举办，主办方在组织模式、展示内容、氛围营造等方面均有所创新，突出组织专业化、技术领先化，服务标准化的特点，以“一带一路  交通先行”为主题，本着“展示先进技术产品、引领行业发展、服务公安实战、普及交通安全知识”的理念，力争把博览会办成多点开花，亮点纷呈的行业盛会，切实为中外道路交通安全企业、用户和专家学者之间提供一个交流、合作、贸易的平台。O第八届中国国际道路交通安全产品博览会今日开幕,否,,2016-08-29 19:11,20,评论,10,微博 weibo.com,https://weibo.com/2501519087/E5PiRshKk
33,#周一见# 【执法直播 每天都有新鲜“剧情”上演】在过去的一周里，全国交警直播月依然如火如荼；广昆高速广西段发生了令人痛心的重大道路交通事故；G20杭州峰会即将到来，看看交通方面有哪些措施，需要大家注意、配合的？各地中小学即将迎来开学季，交警们的“护学岗”准备得怎么样了？上海交警对上路的电动滑板车坚决说“不”。详情请看《周一见》。O周一见 | 执法直播 每天都有新鲜“剧情”上演,否,,2016-08-29 18:15,14,评论,2,微博 weibo.com,https://weibo.com/2501519087/E5OW7CwGW
34,#执法直播台# 8月30日16时，@郑州交巡警 将进行“开学季交通安全”主题执法直播活动，带你关注孩子的出行安全。就在明天，等你来围观！ ​​​​,否,,2016-08-29 18:10,10,评论,7,微博 weibo.com,https://weibo.com/2501519087/E5OU62k7L
35,【孩子被锁车内20分钟获救】29日上午，天津一家长将年幼的儿子独自留在车里，车并没有熄火，孩子误按车内按钮被锁在了车内，车门也无法在外边打开。经过消防官兵和辖区派出所民警破窗营救，20分钟后孩子平安获救。 粗心大意很可能致命！家长们引以为戒吧 ... ​​​​,否,,2016-08-29 16:50,69,1,2,微博 weibo.com,https://weibo.com/2501519087/E5OnCxzSO
36,#执法直播台# “全国交警直播月”活动辽宁锦州站，我们来了！交通疏导、违法处罚、事故处理等蜀黍的日常工作，@锦州交警支队 正在直播！,是,全国交警直播月 辽宁锦州站 我们来了！（来自L一直播:锦州交警支队正在直播）APP下载地址：O网页链接 2锦州 ​​​​,2016-08-29 15:20,8,评论,6,微博 weibo.com,https://weibo.com/2501519087/E5NNqyJ0L
37,【公交车应急逃生指南】乘坐公交车，如果遇到紧急情况，你知道如何逃生吗？蜀黍提醒乘车时留意应急开关、安全锤和应急逃生窗的位置，出现紧急情况时，切记沉着冷静，通过应急装置有序逃生 @天津交警 L秒拍视频 ​​​​,否,,2016-08-29 14:21,76,1,12,分享按钮,https://weibo.com/2501519087/E5NpdwjTO
38,【杭州交警提醒：8月31日起将启动临时交通管控措施】 8月31日至9月6日期间，公安机关交通管理部门将对杭州市部分道路分时、分段采取临时交通管控措施，届时禁止车辆通行。请选择合适的出行方式、提前安排好出行时间。via@杭州公安 O杭州交警提醒︱ 8月31日起将启动临时交通管控... ​​​​,否,,2016-08-29 14:10,25,评论,4,微博 weibo.com,https://weibo.com/2501519087/E5Nl2D6QE
39,#执法直播台# 全国交警直播月活动8月29日走进辽宁锦州，交通疏导、违法处罚、事故处理都是交警日常工作，@锦州交警支队 带你走进交警执法最前沿，处理违停违法，走进事故现场，交警在路上。,是,#执法直播台# “全国交警直播月”将于8月29日走入滨海城市辽宁锦州，交通疏导、违法处罚、事故处理都是交警日常工作，带你走进交警执法最前沿，处理违停违法，走进事故现场，交警在路上。O8月29日15：00 准时集合，围观@锦州交警支队   ​​​​,2016-08-29 10:23,12,1,9,微博 weibo.com,https://weibo.com/2501519087/E5LQQo3LD
40,#执法直播台# 全国无人机矩阵直播路况，@深圳交警 的无人机已起飞，换一个角度俯瞰深圳早高峰。回看也好看~//@呼小卷: 上周四@DJI大疆创新 公布和微博达成战略合作，无人机可以在微博做直播，这周一永远是第一个吃螃蟹的@深圳交警 官微就开始玩起无人机直播早高峰，反应速度也太快了！政务微博潮得很！,是,#执法直播台#【#带着无人机去直播# 】#深圳交警直播#【飞起来，看看早高峰】【时间】8月29日7时30分至9时【内容】各关口早高峰交通路况直击【主持】无人机矩阵直播之@深圳交警来吧，换个角度看深圳交通来吧，深圳交警无人机已出发 O微博直播 . ​​​​,2016-08-29 09:03,5,1,6,微博 weibo.com,https://weibo.com/2501519087/E5Lk6A0xq
41,【沈卫，一路走好】他才33岁，参加公安工作才3年多，是一名@漳州高速交警 前不久他还笑着跟大家说，很快他也要晋二级警司了。可时间却突然定格在2016年8月26日，沈卫，因病抢救无效去世。他就这样走了，甚至来不及道别就永远离开了我们！ 沈卫，一路走好！ ​​​​,否,,2016-08-29 08:42,149,5,66,微博 weibo.com,https://weibo.com/2501519087/E5LbAAVH1
