序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,"【少年骑车被路面油迹滑倒 起身举警示牌提醒他人】昨日广东中山，目击者称，男孩摔倒后，未抱怨半句，并很快从书包里拿出张纸，写上""地上有油，慢行""，站在路边举牌提醒四面来车。周围市民受感动，帮他打电话通知交警来清理地面，之后男孩默默离开…O石岐“举牌哥”引市民拍照点赞 网友：这样的boy来一打！ ​​​​",否,,2016-08-31 20:55,148,71,516,微博 weibo.com,https://weibo.com/2328516855/E68Q41Ldb
1,【超燃！中国武警2016年征兵宣传片震撼发布！】“我是中国武警，我的青春在这里燃烧，我们经常出发，战场就是考场，家人平安有我，请记住我们，请加入我们！”网友：热血沸腾，溢出来的安全感！O网页链接 ​​​​,否,,2016-08-31 19:50,300,80,270,微博 weibo.com,https://weibo.com/2328516855/E68pG7Izt
2,【紧急提醒！开学期间有让家长支付宝缴学费的千万别信】有小学家长反映，接到开学报到短信，要求带作业，并通过支付宝支付社会实践费和伙食费。8月30日深夜11点，南京市教育局紧急发出防骗提醒，这是一种新骗术，短信和学校一般发出的开学内容很像，极具欺骗性。但是学校不会通知家长用支付宝交费。 ​​​​,否,,2016-08-31 18:59,376,61,84,微博 weibo.com,https://weibo.com/2328516855/E684YcSze
3,"【明天起，这些""奇葩证明""派出所不再开了】公民姓名、曾用名、性别、身份号码、民族成份、出生日期、出生地、籍贯、户籍所在地住址、户口迁移、住址变动、户口登记项目内容变更和更正、注销户口、同户人员与户主间亲属关系、婚姻状况、文化程度、正常死亡等20类事项。O重要提醒 | 2016年9月1日起，公安派出所开具... 扩散周知! ​​​​",否,,2016-08-31 17:59,663,129,102,微博 weibo.com,https://weibo.com/2328516855/E67GCxReY
4,纯爷们儿的应对！,是,【居民当面骂保安“废物” 保安为争气夜拦偷车贼】安徽芜湖一小区偷盗频发，业主当面抱怨保安是“废物”。两名保安对此选择沉默，增加巡视次数，想抓住小偷挽回形象。近日，保安凌晨2点发现一骑摩托车男子鬼鬼祟祟，盘问后才知车是盗来的，当场扣押车还给了失主。（大江晚报） °保安老哥俩深夜拦下偷车贼 ​​​​¡查看图片,2016-08-31 17:44,139,40,354,360安全浏览器,https://weibo.com/2328516855/E67AL5TRn
5,【小心！这些编号开头的有可能是假币】100元假币曾使用的编号开头：C1F9、M3S7、DQ22、M3W9、OX35、C5E8、YE62、PL07；10元假币曾使用的编号开头：C3B2、DY43、R092、AB77、AB88、AB99……遇到这些钞票大家最好谨慎识别，扩散！,是,【七旬老人卖玉米收1.2万 全是假币】27日，一七旬老人拿5000元到银行存款，被发现都是假币！老人称家中还有7100元，是春节前卖粮得的。经查，剩余钱也均为假币。这笔钱是他全年收入，老人非常伤心。警方已立案。°收万元假币 大部分同号 遇到假钞，交给银行、警方或撕毁；别再用假币欺骗老人！转！ ​​​​,2016-08-31 17:26,390,67,106,360安全浏览器,https://weibo.com/2328516855/E67tBhRyB
6,【转发倡议！别再让老人因假币流泪！】据了解，春节前，一对中年夫妇来收老人的小麦和玉米，给了老人一沓新钱，说这些钱可以给孩子们发压岁钱用。警方发现，有人专用假币骗老人！甚至有老人被气死…如遇假钞交给银行或撕毁，不要使用！更别用假币骗老人。请转给更多人！,是,【七旬老人卖玉米收1.2万 全是假币】27日，一七旬老人拿5000元到银行存款，被发现都是假币！老人称家中还有7100元，是春节前卖粮得的。经查，剩余钱也均为假币。这笔钱是他全年收入，老人非常伤心。警方已立案。°收万元假币 大部分同号 遇到假钞，交给银行、警方或撕毁；别再用假币欺骗老人！转！ ​​​​,2016-08-31 16:55,570,76,92,360安全浏览器,https://weibo.com/2328516855/E67gHlyeK
7,【重庆女子名下突然多9套房 曾#把身份证借给领导#】李萍最近莫名摊上涉千万元官司：开发商起诉称其购9套商品房，合同已网签，未付房款，需返还房产，赔违约金30多万元。李萍表示对购房完全不知情，原来，起因是去年李萍被公司领导借走身份证1小时后归还。经法院调解，双方和解。O网页链接 ​​​​,否,,2016-08-31 16:09,273,69,60,360安全浏览器,https://weibo.com/2328516855/E66Yb4GWQ
8,//@喵-结児:还能不能愉快的玩耍了啊！包不包邮啊！40分钟你点多大的一单呀！！！交警太给力了！,是,【看交警小哥儿，如何把满嘴瞎话耍小聪明的司机问秃噜了】据了解，这位司机是个程序员，对于自己购买假车牌他还有一套说辞，“我这就像有杀人动机但没杀人”，交警小哥：“你别生活在你那程序里，人与人之间跟程序不一样…”O网页链接 网友：简直秒杀春晚的小品呀 ​​​​,2016-08-31 15:46,192,31,64,小米,https://weibo.com/2328516855/E66OQegYL
9,"#正能量#【总不能见死不救】前方一辆面包车突然撞上路边桥墩，冲进河里，他立刻停车，来不及脱衣就奔去跳入4米多深的河里救人。连游3个回合，他将车上5人全救起，后又帮忙起吊车辆，然后默默离开。面对赞扬，他说救人是本能，""总不能见死不救吧！""江苏小伙曹明善良是本 °三次跳进河中，一口气连救五个人 ​​​​",否,,2016-08-31 15:30,180,96,893,360安全浏览器,https://weibo.com/2328516855/E66Iu2Z5E
