序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,【扎鲁特—青州±800千伏特高压直流工程开工】8月25日，扎鲁特—青州±800千伏特高压直流工程开工动员大会在京召开。该工程是落实中央全面振兴东北老工业基地战略部署，推动东北电力协调发展的重大工程，对保障国家能源安全、推动清洁发展、加快结构调整、拉动经济增长具有重大作用 L秒拍视频 .,否,,2016-08-26 16:22,65,42,38,秒拍网页版,https://weibo.com/1730306175/E5lUYdXxm
1,【国家电网公司关于竞标收购澳大利亚Ausgrid公司50.4%资产99年租赁权的声明】8月19日，澳大利亚财长莫里森先生宣布，对国家电网公司收购新南威尔士州Ausgrid公司50.4%资产99年租赁权的交易申请不予批准。国家电网公司对此深表遗憾并声明：国家电网公司于2015年11月收到澳大利亚新南威尔士州政府邀请，参与本项目国际公开竞标。本着市场化和商业化原则，国家电网公司完全按照澳方指导意见和招标流程，规范、诚信、专业地开展竞标工作，符合全部招标要求。在完成最终约束性报价后，澳方突然以国家安全为由，否决所有竞标者的交易申请。对此，我公司表示难以理解并深感失望。       特此声明。,否,,2016-08-19 20:03,49,137,65,360安全浏览器,https://weibo.com/1730306175/E4jnkBADm
2,【世界首个特高压GIL管廊工程开工】8月16日，淮南—南京—上海1000千伏交流特高压输变电工程苏通GIL综合管廊工程开工。这是世界上首次在重要输电通道中采用特高压GIL技术，通过江底隧道穿越长江，目前世界上电压等级最高、输送容量最大、技术水平最高的超长距离GIL创新工程。据了解，GIL（Gas-insulatedLine）即气体绝缘金属封闭输电线路，采用金属导电杆输电，并将其封闭于接地的金属外壳中，通过压力气体绝缘。与常规电缆相比，GIL具有传输容量大、损耗小、不受环境影响、运行可靠性高、节省占地等显著优点，尤其适合作为架空输电方式或电缆送电受限情况下的补充输电技术。这项工程是世界上首个特高压GIL综合管廊工程，建设面临多个罕见难题。该工程将建设目前国内埋深最深、水压最高的隧道，施工难度大、挑战多；GIL位于输电线路中部，工频耐受水平高，对GIL可靠性要求高；需新研发全套设备，开发专用运输、安装设备和工器具，并形成一整套可指导工程建设运行的技术规范。苏通GIL综合管廊工程是华东特高压交流环网合环运行的“咽喉要道”和控制性工程，建成后，将形成华东特高压受端环网，大大提高华东地区接受区外电的能力，满足华东地区经济社会发展对电力的需求，将新增受电能力3500万千瓦，每年可减少发电用煤2亿吨，减排二氧化硫96万吨、氮氧化物53万吨、烟尘11万吨，对促进经济社会与生态环境和谐发展具有重要意义。O网页链接  @国资小新,否,,2016-08-17 10:51,83,47,55,360安全浏览器,https://weibo.com/1730306175/E3WUccPnp
3,【国家电网公司董事长舒印彪赴辽宁调研并与辽宁省委省政府领导会谈：助力东北老工业基地全面振兴】8月11日，国家电网公司董事长、党组书记舒印彪与辽宁省委书记李希，省委副书记、省长陈求发就落实党中央、国务院要求，推动东北老工业基地全面振兴在沈阳举行会谈。舒印彪董事长表示，近年来，辽宁及东北电网装机总量增速快于负荷增长，供大于求，电源结构不平衡，电力外送通道能力不足等矛盾突出。根据这些实际，在“十三五”电网规划中，国家电网公司将着力解决主要矛盾，更好的服务地方经济社会发展。加快构建东北特高压骨干网架，汇集富余电力外送，满足核电经济运行、风电等清洁能源高效利用的要求；大力调整能源结构，全力建设抽水蓄能项目，增加电源调节能力；加快各级电网建设与改造，加强农网和配电网建设；实施电能替代，推进辽宁能源转型升级；加大产业布局，助力地方经济发展；积极推进电力体制改革，为东北老工业基地全面振兴作出贡献。双方在会谈中充分肯定了辽宁电网发展取得的成就，表示将进一步深化战略合作，共同推进辽宁电网发展，为东北老工业基地全面振兴提供坚强电力保障。O网页链接 @国资小新,否,,2016-08-12 08:52,153,80,72,360安全浏览器,https://weibo.com/1730306175/E3aZbzQZy
4,七夕节，向那些在山脊峭壁上巡线的电网员工致敬，向那些相爱却总不能相聚的电网人致敬！,是,【#致敬守侣#】今夕何夕？你在哪里？七夕之时，请听守侣心语：我还是很喜欢你，像观天巨眼静卧山脊，睁眼遥望百亿光年星际；我还是很喜欢你，像巡线在断崖峭壁，不曾歇息…那些相爱不能相聚，一直守望、守护、守候的伴侣们，向你们致敬！愿朝朝暮暮如今夕，情不知所起…早安，七月初七！ ​​​​,2016-08-09 10:34,59,20,49,360安全浏览器,https://weibo.com/1730306175/E2Jngzu6M
5,2010年，国家电网公司就在巴西里约热内卢注册成立国网巴西控股公司，主要开展输电资产投资和运营业务。2010年12月和2012年12月，分两次共收购了巴西12家输电特许权公司100%股权。让我们为中国奥运代表队加油！,是,#里约奥运# 点赞！里约奥运会的电是中国送的！里约奥运会来了！听说这届奥运会最靠谱的事，就是无处不在的“中国制造”——地铁、空调、安检设备......你有没有想过，这些设备的运转都离不开电！为本届奥运会提供重要供电保障的中国国家电网太靠谱了！亮报独家专访，里约奥运会，国家电网都干了些啥？ ​​​​...展开全文c,2016-08-06 13:28,128,60,117,iPhone 6 Plus,https://weibo.com/1730306175/E2iejE57V
6,【讲党性、作表率 打赢防汛保电硬仗】近期，我国华中、华东、华北等地区汛情不断，遭受了严重的洪涝灾害，电网受损严重。党中央、国务院高度重视防汛抗洪抢险救灾工作，习近平总书记作出一系列重要指示，强调要把防汛抗洪救灾工作作为重大任务，把确保人民群众生命安全放在首位。李克强总理多次作出重要批示，并在国务院防汛工作专题会议上强调，要以“防汛”保安全，以“安置”促稳定，奋力夺取今年防汛抗洪抢险救灾的全面胜利。面对严峻汛情，国家电网公司认真学习贯彻落实，上下动员、连续奋战、冲锋在前，把抗洪一线当做“两学一做”学习教育的考场，及时完成因灾停电的抢修恢复，保障了大电网安全稳定运行和迎峰度夏电力供应，保障了抗洪应急和民生用电，为赢得抗洪斗争全面胜利积极贡献力量。O网页链接  @国资小新,否,,2016-08-03 20:36,41,40,52,360安全浏览器,https://weibo.com/1730306175/E1SKzftUb
7,"【锡盟—山东1000千伏特高压交流输变电工程建成投运】7月31日9时50分,锡盟—山东1000千伏特高压交流输变电工程顺利通过72小时试运行，正式投入运行。　　工程于2014年7月12日获得国家发展和改革委员会核准，11月4日召开开工动员大会并全面开工建设。工程新建锡盟、北京东、济南3座变电站和承德串补站，新增变电容量1500万千伏安，新建输电线路2×730千米。工程途经内蒙古、河北、天津和山东四省(自治区、直辖市)，核准动态总投资178.2亿元。　　工程是纳入国家大气污染防治行动计划“四交四直”特高压工程中首个全线投运的工程，也是我国华北地区首个特高压交流输变电项目。      O网页链接",否,,2016-08-02 10:53,39,20,56,360安全浏览器,https://weibo.com/1730306175/E1Fvu9lJ4
8,今天是“八一”建军节，向祖国卫士、和平守护神致敬，向坚守与奉献的中国军人致敬！,是,【今天，接力转发！#致敬！中国军人#】战争年代，他们舍生忘死，冲锋在前；和平年代，他们戍守边疆，保卫家园；危难时刻，他们用血肉之躯筑起生命防线……哪里有危险，哪里就有他们的身影；他们的存在，给了我们最大的“安全感”。今天，八一建军节，谢谢你们的守护！一起接力，向中国军人致敬！ ​​​​,2016-08-01 07:42,39,16,78,iPhone 6 Plus,https://weibo.com/1730306175/E1uPkgvyH
9,发布了头条文章：《高温天用电，请您多些理解，电网工人真的在拼命》 °高温天用电，请您多些理解，电网工人真的在拼命 ​​​​,否,,2016-07-31 18:43,122,96,142,微博 weibo.com,https://weibo.com/1730306175/E1pJbq95Z
10,【央视报道新疆750千伏伊库线跨越天山，看电网员工技能高大上！】750千伏伊库线跨越天山，是我国750千伏输电线路首次跨越冰川和高山冻土区，线路全长353.7千米，全线共建设铁塔717基，树立在海拔800至3750米的高山区。工程预计将于今年10月建成。 L秒拍视频 . ​​​​,否,,2016-07-29 11:55,124,28,65,秒拍网页版,https://weibo.com/1730306175/E14cJ7kBq
11,发布了头条文章：《多地高温来袭 电网负荷屡创新高》 近日，我国华中、华东、西南地区出现大范围高温天气，受此影响，7月26日，全国日发电量达192.29亿千瓦时，创历史新高。从25日到27日，十省的用电负荷相继创历史新高。@国资小新 °多地高温来袭 电网负荷屡创新高 ​​​​,否,,2016-07-29 09:09,41,15,32,微博 weibo.com,https://weibo.com/1730306175/E137fveur
12,【国网新疆电力实施“两个替代”：上半年累计完成替代电量22.39亿千瓦时】国网新疆电力公司借助“一带一路”战略和中央援疆工作优势，以清洁能源消纳、清洁能源供暖、服务民生为重点，全面推进电能替代工作，上半年累计完成电能替代电量22.39亿千瓦时。目前，新疆新能源并网装机达2586.1万千瓦，占新疆电网总装机容量的三分之一。国网新疆电力创新新能源消纳模式，加快推进“电化新疆”策略实施，倡导能源消费新模式。通过开展清洁能源替代自备发电交易，拓展疆内新能源消纳空间。截至6月底，该公司实现新能源企业与自备企业替代交易电量20.65亿千瓦时，预计年内可实现清洁能源替代自备发电电量50亿千瓦时。为配合政府开展“绿色电能，服务蓝天”行动，国网新疆电力开展乌鲁木齐达坂城、高铁新区、阿勒泰布尔津地区清洁能源供暖试点工作，今年采暖季将扩大清洁能源采暖面积100余万平方米；计划推广分散式电采暖面积150万平方米，预计可实现替代电量2亿千瓦时。@国资小新,否,,2016-07-28 10:28,23,14,18,360安全浏览器,https://weibo.com/1730306175/E0UcFiW21
