序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,"【傍晚沿海大风警报和天气预报】今天夜里到明天晴转多云到阴,局部有时有阵雨或雷雨，西南风6到7级阵风8级，明晨最低气温23℃，明天最高气温29℃，近海浪高1.8米，表层水温27℃。 ​​​​",否,,2016-08-31 16:50,转发,1,赞,360安全浏览器,https://weibo.com/3174048472/E67ePgWY3
1,"【傍晚内陆天气预报】今天夜里到明天晴转多云到阴,局部有时有阵雨或雷雨，西南风4到5级阵风6级，明晨最低气温22℃，明天最高气温32℃；2日多云有时阴，3日多云。 ​​​​",否,,2016-08-31 16:50,转发,1,赞,360安全浏览器,https://weibo.com/3174048472/E67eJF6n2
2,【中午沿海大风警报和天气预报】今天下午到夜里晴到多云，西南风7到8级阵风9级，今天最高气温29℃，明晨最低气温23℃，近海浪高2.5米，表层水温27℃。 ​​​​,否,,2016-08-31 10:22,转发,1,赞,360安全浏览器,https://weibo.com/3174048472/E64Hv3QJh
3,"【中午内陆天气预报】今天下午到夜里晴到多云，西南风5级阵风6到7级，今天最高气温31℃，明晨最低气温22℃；1日晴转多云,局部有时有阵雨或雷雨，2日多云。 ​​​​",否,,2016-08-31 10:22,转发,1,赞,360安全浏览器,https://weibo.com/3174048472/E64Hk9RvC
4,【天气实景】 ​​​​,否,,2016-08-31 10:22,转发,1,赞,360安全浏览器,https://weibo.com/3174048472/E64Hhbvsv
5,【天气实况】昨天多云转晴，平均气温24.2℃，最高气温29.1℃；昨天20点后最低气温20.7℃（资料来源于国家基本站）。 ​​​​,否,,2016-08-31 06:49,转发,1,赞,360安全浏览器,https://weibo.com/3174048472/E63iRCAm0
6,【早晨沿海天气预报】今天白天到夜里晴到多云，偏西风7到8级阵风9级，今天最高气温29℃，明晨最低气温23℃，近海浪高2.5米，表层水温27℃。 ​​​​,否,,2016-08-31 06:49,转发,1,赞,360安全浏览器,https://weibo.com/3174048472/E63iLad3X
7,"【早晨内陆天气预报】今天白天到夜里晴到多云，偏西风5级阵风6到7级，今天最高气温31℃，明晨最低气温22℃；1日晴转多云,局部有时有阵雨或雷雨，2日多云。 ​​​​",否,,2016-08-31 06:48,转发,1,赞,360安全浏览器,https://weibo.com/3174048472/E63iwBjDR
8,【傍晚沿海大风警报和天气预报】今天夜里到明天白天晴到多云，西北风7级阵风8到9级转偏西风8级阵风9到10级，明晨最低气温22℃，明天最高气温28℃，近海浪高3.0米，表层水温27℃。 ​​​​,否,,2016-08-30 16:09,转发,1,赞,360安全浏览器,https://weibo.com/3174048472/E5XxzbvaE
9,【傍晚内陆大风警报和天气预报】今天夜里到明天白天晴到多云，西北风4到5级明天逐渐增强为偏西风5到6级阵风7级，明晨最低气温20℃，明天最高气温31℃；1日晴转多云，2日多云。 ​​​​,否,,2016-08-30 16:09,转发,1,赞,360安全浏览器,https://weibo.com/3174048472/E5Xxu7qKp
10,【中午沿海大风警报和天气预报】今天下午到夜里晴到多云，西北风6到7级阵风8级，今天最高气温29℃，明晨最低气温22℃，近海浪高2.0米，表层水温29℃。 ​​​​,否,,2016-08-30 10:24,转发,1,赞,360安全浏览器,https://weibo.com/3174048472/E5VhBcT52
11,【中午内陆天气预报】今天下午到夜里晴到多云，西北风4到5级，今天最高气温30℃，明晨最低气温21℃；31日晴转多云，1日多云到阴。 ​​​​,否,,2016-08-30 10:24,转发,1,赞,360安全浏览器,https://weibo.com/3174048472/E5VhwnEIF
12,【天气实景】 ​​​​,否,,2016-08-30 07:24,转发,1,赞,360安全浏览器,https://weibo.com/3174048472/E5U6G9IEJ
13,【天气实况】昨天多云，平均气温23.8℃，最高气温29.5℃；昨天20点后最低气温19.5℃（资料来源于国家基本站）。 ​​​​,否,,2016-08-30 06:51,转发,1,1,360安全浏览器,https://weibo.com/3174048472/E5TT8CFrN
14,【早晨沿海天气预报】今天白天到夜里晴到多云，西北风6到7级阵风8级，今天最高气温29℃，明晨最低气温22℃，近海浪高2.0米，表层水温29℃。 ​​​​,否,,2016-08-30 06:51,转发,1,赞,360安全浏览器,https://weibo.com/3174048472/E5TT4cQBU
15,【早晨内陆天气预报】今天白天到夜里晴到多云，西北风4级，今天最高气温30℃，明晨最低气温21℃；31日晴转多云，1日多云到阴。 ​​​​,否,,2016-08-30 06:50,转发,1,赞,360安全浏览器,https://weibo.com/3174048472/E5TSUpnWA
16,【傍晚沿海大风警报】今天夜里到明天晴到多云，西北风6到7级阵风8级，明晨最低气温22℃，明天最高气温29℃，近海浪高2.0米，表层水温29℃。 ​​​​,否,,2016-08-29 16:07,转发,1,1,360安全浏览器,https://weibo.com/3174048472/E5O6miN8f
17,【傍晚内陆天气预报】今天夜里到明天晴到多云，西北风4到5级，明晨最低气温20℃，明天最高气温30℃；31日晴转多云，1日多云到阴。 ​​​​,否,,2016-08-29 16:06,转发,2,赞,360安全浏览器,https://weibo.com/3174048472/E5O68pzEl
18,【中午沿海天气预报】今天下午到夜里晴到多云，西北风6到7级阵风8级，今天最高气温27℃，明晨最低气温22℃，近海浪高2.0米，表层水温29℃。 ​​​​,否,,2016-08-29 10:44,转发,1,赞,360安全浏览器,https://weibo.com/3174048472/E5LZqxCYs
19,【中午内陆天气预报】今天下午到夜里晴到多云，西北风4到5级，今天最高气温29℃，明晨最低气温20℃；30日晴到多云，31日晴转多云。 ​​​​,否,,2016-08-29 10:44,转发,1,赞,360安全浏览器,https://weibo.com/3174048472/E5LZnivWZ
20,【天气实景】 ​​​​,否,,2016-08-29 07:48,转发,1,赞,360安全浏览器,https://weibo.com/3174048472/E5KPTfaQl
21,【天气实况】昨天多云，平均气温23.9℃，最高气温28.9℃；昨天20点后最低气温18.3℃（资料来源于国家基本站）。 ​​​​,否,,2016-08-29 06:41,转发,1,赞,360安全浏览器,https://weibo.com/3174048472/E5KoNBwOz
22,【早晨沿海天气预报】今天白天到夜里晴到多云，西北风6到7级阵风8级，今天最高气温27℃，明晨最低气温22℃，近海浪高2.0米，表层水温30℃。 ​​​​,否,,2016-08-29 06:41,转发,1,赞,360安全浏览器,https://weibo.com/3174048472/E5KoFDANa
23,【早晨内陆天气预报】今天白天到夜里晴到多云，西北风4级，今天最高气温29℃，明晨最低气温20℃；30日晴到多云，31日晴转多云。 ​​​​,否,,2016-08-29 06:41,转发,1,赞,360安全浏览器,https://weibo.com/3174048472/E5KoC5RC8
24,【傍晚沿海天气预报】今天夜里到明天白天晴到多云，偏北风7级阵风8到9级，明晨最低气温22℃，明天最高气温27℃，近海浪高2.2米，表层水温30℃。 ​​​​,否,,2016-08-28 16:03,转发,1,赞,360安全浏览器,https://weibo.com/3174048472/E5EE7z1mj
25,【傍晚内陆天气预报】今天夜里到明天白天晴到多云，偏北风4到5级阵风6级，明晨最低气温19℃，明天最高气温29℃；30日晴到多云，31日多云。 ​​​​,否,,2016-08-28 16:03,转发,1,赞,360安全浏览器,https://weibo.com/3174048472/E5EE5xGb9
