序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,今天夜里到明天白天多云到阴，局部有阵雨或雷雨，西南风5级阵风6到7级，明日空气质量扩散条件二级，较有利于空气污染物稀释、扩散和清除。 ​​​​,否,,2016-08-31 16:01,转发,评论,赞,微博 weibo.com,https://weibo.com/3173000610/E66UY0j1w
1,"【晚间天气预报/沿海大风警报】今天夜里到明天白天多云到阴，局部有阵雨或雷雨，西南风5级阵风6到7级，沿海海面西南风6到7级阵风8级,明晨最低温度20度，明天最高温度32度。天气趋势：后天多云有时阴。 ​​​​",否,,2016-08-31 15:50,转发,评论,赞,微博 weibo.com,https://weibo.com/3173000610/E66Qn7CKd
2,今天下午到夜里晴到多云，西南风5级，阵风6到7级，沿海海面西南风7级阵风8到9级，今天最高气温31度，明晨最低气温21度；9月1日晴转多云，局部有阵雨或雷雨；2日多云。射阳县气象台2016年08月31日10时发布. ​​​​,否,,2016-08-31 11:02,转发,评论,赞,微博 weibo.com,https://weibo.com/3173000610/E64XEszf0
3,今天晴到多云，西南风5级，阵风6到7级，沿海海面西南风7级阵风8到9级，今天最高气温31度，明晨最低气温21度；9月1日晴转多云，局部有阵雨或雷雨；2日多云。今天早晨6时，我县空气质量指数为55，空气质量状况为良。射阳县气象台2016年08月31日07时发布 ​​​​,否,,2016-08-31 06:49,转发,评论,赞,微博 weibo.com,https://weibo.com/3173000610/E63iPePeE
4,今天夜里到明天晴到多云，西北风5级，沿海海面西北风7级阵风8到9级，明晨最低气温20度，明天最高气温31度；9月1日晴转多云，2日多云。射阳县气象台2016年08月30日16时发布 ​​​​,否,,2016-08-30 16:21,转发,1,赞,微博 weibo.com,https://weibo.com/3173000610/E5XCotQJI
5,"【午间天气预报/沿海大风警报】     今天下午到夜里晴到多云，西北风4到5级，沿海海面西北风6到7级阵风8级，今天最高气温30度，明晨最低气温20度；明天晴到多云,后天晴转多云。 ​​​​",否,,2016-08-30 10:07,转发,评论,赞,微博 weibo.com,https://weibo.com/3173000610/E5VaRBcL6
6,"【早间天气预报/沿海大风警报】    今天晴到多云，西北风4级，沿海海面西北风6到7级阵风8级，今天最高气温30度，明晨最低气温20度；明天晴转多云,后天多云到阴,局部有雷阵雨。今天早晨6时，我县空气质量指数为41，空气质量状况为优。 ​​​​",否,,2016-08-30 06:36,转发,评论,赞,微博 weibo.com,https://weibo.com/3173000610/E5TNbg6CW
7,今天夜里到明天白天晴到多云，西北风4级，明日空气质量扩散条件二级，较有利于空气污染物稀释、扩散和清除。 ​​​​,否,,2016-08-29 16:18,转发,评论,赞,微博 weibo.com,https://weibo.com/3173000610/E5OaFoB8H
8,今天夜里到明天白天晴到多云，西北风4级，沿海海面西北风6到7级阵风8级，明晨最低气温19度，明天最高气温29度；31日晴转多云，9月1日多云到阴，局部有阵雨或雷雨。 ​​​​,否,,2016-08-29 16:02,转发,评论,1,微博 weibo.com,https://weibo.com/3173000610/E5O4of1R7
9,射阳县气象台2016年8月29日15时发布一周天气预测：【本周以多云天气为主，气温适宜】8月29-30日受沿海槽控制，全县天气晴好；31日受高层冷涡影响，上空云量增多；9月1-2日冷涡进一步南掉，局部地区有雷阵雨天气；9月3-4日弱槽过境，以多云天气为主。8月31日到9月1日受地面气旋影响，全县地面风力较大：内陆5-7级、沿海海面7-9级。气温上，本周低温在19-22度，高温：8月29-31日29-30度，9月1-2日31-32度，9月3-4日30度左右。,否,,2016-08-29 15:35,转发,评论,赞,微博 weibo.com,https://weibo.com/3173000610/E5NTlyEJu
10,今天下午到明天晴到多云，西北风4级，沿海海面西北风6到7级阵风8级，今天最高气温29度，明晨最低气温19度；31日晴转多云。射阳县气象台2016年08月29日09时发布 ​​​​,否,,2016-08-29 09:06,转发,评论,赞,微博 weibo.com,https://weibo.com/3173000610/E5Llqd7kS
11,今天晴到多云，西北风4级，沿海海面西北风6到7级阵风8级，今天最高气温29度，明晨最低气温19度；30日晴到多云，31日晴转多云。今天早晨6时，我县空气质量指数为52，空气质量状况为良。 ​​​​,否,,2016-08-29 06:29,转发,评论,赞,微博 weibo.com,https://weibo.com/3173000610/E5KjImksv
12,今天夜里到明天白天晴到多云，偏北风4到5级阵风6级，沿海海面偏北风7级阵风8到9级，明晨最低气温19度，明天最高气温29度；30日晴到多云，31日多云。 ​​​​,否,,2016-08-28 15:43,转发,评论,赞,微博 weibo.com,https://weibo.com/3173000610/E5EwhvGE1
13,今天下午到夜里晴到多云，偏北风5级阵风6到7级，沿海海面偏北风7级阵风8到9级，今天最高气温29度，明晨最低气温19度；29日晴到多云，30日晴到多云。 ​​​​,否,,2016-08-28 09:48,转发,评论,赞,微博 weibo.com,https://weibo.com/3173000610/E5CcapwCy
14,今天晴到多云，偏北风4到5级阵风6级，沿海海面偏北风7级阵风8到9级，今天最高气温29度，明晨最低气温19度；29日晴到多云，30日晴到多云。今天早晨6时，我县空气质量指数为65，空气质量状况为良。 ​​​​,否,,2016-08-28 06:48,转发,评论,赞,微博 weibo.com,https://weibo.com/3173000610/E5B15Dqb7
15,今天夜里到明天白天多云，偏北风5级阵风6到7级，沿海海面偏北风7级阵风8到9级，明晨最低气温19度，明天最高气温29度；29日晴到多云，30日多云。 ​​​​,否,,2016-08-27 15:44,转发,评论,赞,微博 weibo.com,https://weibo.com/3173000610/E5v5PCZMp
16,今天下午到夜里多云，偏北风5级阵风6到7级，沿海海面偏北风7级阵风8到9级，今天最高气温28度，明晨最低气温20度；28日多云，29日晴到多云。 ​​​​,否,,2016-08-27 10:14,转发,评论,1,微博 weibo.com,https://weibo.com/3173000610/E5sW9jRHn
17,今天阴到多云，局部有小雨，偏北风5到6级阵风7级，沿海海面偏北风7到8级阵风9级，今天最高气温27度，明晨最低气温20度；28日多云，29日多云。今天早晨6时，我县空气质量指数为47，空气质量状况为优。 ​​​​,否,,2016-08-27 06:49,转发,评论,1,微博 weibo.com,https://weibo.com/3173000610/E5rAUica5
18,今天夜里到明天白天阴到多云，局部有小雨，东北风5到6级阵风7级，沿海海面东北风7到8级阵风9级，明晨最低气温21度，明天最高气温28度；28日多云，29日多云转晴。 ​​​​,否,,2016-08-26 16:02,转发,评论,赞,微博 weibo.com,https://weibo.com/3173000610/E5lMZj0SF
