序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,【一线警察：能飚英语的“杭儿警”】“大家好，今晚过得如何？我叫Daniel，是一名杭州交警。现在是晚上7点15分，我现在在南山路和西湖大道交叉口。你们可以看到，现在这里已经有很多人了，而在西湖景区外围还有更多的市民游客朋友，正依次排队接受安检进行景区……” O网页链接『一线警察：能飚英语的“杭儿警”-今日头条』O网页链接,否,,2016-08-31 19:11,17,3,4,iPhone 6,https://weibo.com/1935167034/E68a9saky
1,『谣言满天飞？真相只有一个！-今日头条』O网页链接 ​​​​,否,,2016-08-31 16:04,5,1,2,iPhone 6,https://weibo.com/1935167034/E66W7ry0s
2,老骗术、新骗法！ °保险公司理赔车险  她却倒 “赔”4万元 ​​​​,否,,2016-08-31 16:02,42,4,赞,中国移动-三星GalaxyNote3,https://weibo.com/1935167034/E66VhaFdO
3,,是,关于身份证异地办理的消息筒子们一定要来看看哈~万一哪天就用到了呢  发布了头条文章：《江苏从9月1日起居民身份证异地受理范围扩大至25省市》 °江苏从9月1日起居民身份证异地受理范围扩大至... ​​​​,2016-08-31 15:32,39,5,2,微博 weibo.com,https://weibo.com/1935167034/E66JizWNO
4,【勿仿！南京一女子夫子庙屋顶玩自拍 引游客围观】30日下午，南京夫子庙一餐厅楼顶，一位20多岁的女子站在屋顶上摆拍，吸引众多人围观拍照。因天气炎热，夫子庙游客稀少，女子在楼顶坚持了20分钟左右即离开。这简直是用生命在自拍，太危险了！也是一种违法行为，还可能面临被警方处罚。 ​​​​,否,,2016-08-31 15:28,22,4,4,微博 weibo.com,https://weibo.com/1935167034/E66HFyJAx
5,哟，新装备嘛,是,#全民消防# 【派出所添加新成员，消防摩托车来了】2016年8月起，按照泰州市海陵区政府统一部署，城中派出所及部分社区等9家一级微型消防站内引入专业消防摩托车。城中辖区为老城区，部分街巷狭小，消防摩托车可以克服这一困难，更加及时地抢救群众生命财产安全。@平安泰州 @平安江苏 ​​​​,2016-08-31 09:46,34,4,4,华为P9手机摄影再突破,https://weibo.com/1935167034/E64sB3aG3
6,#微直播预告#【对通讯诈骗说不】女大学生接连遭遇通讯诈骗，引发全国关注，触动社会敏感神经。明天，苏州公安将携手苏州广电推出全媒体互动特别直播《对通讯诈骗说不》。苏州市公安局反诈骗中心发言人、政协委员、诈骗案受害者将走进《新闻夜班车》演播室，一起探讨如何防范和打击通讯诈骗案。,是,#微直播预告#【对通讯诈骗说不】女大学生接连遭遇通讯诈骗，引发全国关注，触动社会敏感神经。明天，苏州公安将携手苏州广电推出全媒体互动特别直播《对通讯诈骗说不》。苏州市公安局反诈骗中心发言人、政协委员、诈骗案受害者将走进《新闻夜班车》演播室，一起探讨如何防范和打击通讯诈骗案。@苏州公 ​​​​...展开全文c,2016-08-30 17:16,12,2,2,微博 weibo.com,https://weibo.com/1935167034/E5XYWufn9
7,【最全G20杭州峰会交通通行攻略】日前，浙江省公安厅发布了《关于对机动车采取临时交通管理措施的通告》，对浙江省行政区域内道路上行驶的机动车，采取临时交通管理措施。 O网页链接『献上《最全G20杭州峰会交通通行攻略》，宝典在手，说走就走！ _即时新闻 _光明网』O网页链接 ​​​​,否,,2016-08-30 11:26,72,6,4,iPhone 6,https://weibo.com/1935167034/E5VGEAQzT
8,,是,【震撼︱泰州警方“沙场秋点兵”，演绎精彩大片！】 8月29日下午3点，在泰州市郊外的警察学校训练场上，参加全市公安机关练兵考核暨反恐处突技能演练的12个方队、1000余名队员，着装整齐、精神抖擞。 °震撼︱泰州警方“沙场秋点兵”，紧贴实战演绎精... ​​​​,2016-08-30 10:33,16,5,5,微博 weibo.com,https://weibo.com/1935167034/E5VldbzwL
9,【卡内被盗90万，只用了一招全部追回！赶快学起来】浙江的林女士手机收到了银行发来的第一条短信，显示卡里收入2.51元。当时她并没有在意。五分钟后，林女士接到了一个广州打来的电话，那边问她是否购买了90万的纪念币。林女士当时仅仅以为是打错电话，并没有在意。但是，挂了电话之后没几分钟，林女士收到了银行的第二条短信。一看到这条短信，林女士马上慌了，自己卡上的90万元，怎么就被转走了？随后她第一时间做了这件事，也是这件事帮她保住了这90万！,否,,2016-08-30 10:15,46,18,16,微博 weibo.com,https://weibo.com/1935167034/E5VdXpN7P
10,【救命的安全带】很多司机常常以各种原因不系安全带，有时在遇到警察蜀黍执勤或电子警察时才会被动的去关注车上的这条“保命带”。警方提醒：无论你是驾车还是坐车，请养成系好安全带的习惯，当事故发生时，请让安全带紧紧地抱住你！让你的出行，多一份守护！  L秒拍视频 ​​​​,否,,2016-08-30 10:09,22,3,11,微博视频,https://weibo.com/1935167034/E5VbCiGpE
11,【国外留学“丈夫”让她汇十万 骗子居然还弄了视频！】林小姐的老公吴先生在美国读书，事发当日早晨，她接到丈夫QQ发来的视频请求。接通后，视频只有画面没声音，老公的身影也仅出现几秒，画面就快速黑屏。对方向林小姐解释，最近手机进过水，摄像头出了故障。随后，“吴先生”称自己刚归国的老师遇到困难需要资金周转，向他借十万元。但是自己银行卡出了问题，无法转账。对方强调，该教授在国外很照顾自己，让林小姐尽快把这笔钱打给他。林小姐见“老公”字里行间透露出急迫之情，当即按其要求向“教授”账户汇了款……近日，江苏南京秦淮警方奔赴广西，成功打掉一个专骗国外留学生的跨国电信诈骗团伙，抓获犯罪嫌疑人6名，已核实涉案金额达10万元。,否,,2016-08-30 10:02,18,5,4,微博 weibo.com,https://weibo.com/1935167034/E5V8QAs92
12,【孩子回家了】粗心的麻麻，可别再大意了。你找孩子再急，也别忘了打110报警啊！ ​​​​,否,,2016-08-29 13:59,39,28,29,华为P9手机摄影再突破,https://weibo.com/1935167034/E5Ngh8Ial
13,【警察小哥喊你来领孩子】10点40左右，有人报警称泰州市海陵区教工三村门口有个四五岁的小男孩找不到妈妈。民警出警后，周围走访，没有人认识，也未有年轻父母来认领，遂将其带回所。@平安泰州 @泰州海陵城东派出所 ​​​​,否,,2016-08-29 11:31,20,8,11,华为P9手机摄影再突破,https://weibo.com/1935167034/E5MifblVU
14,这个要点一个大大的赞『杭州居民自发慰问执勤民警-今日头条』O杭州居民自发慰问执勤民警 ​​​​,否,,2016-08-28 17:00,131,21,30,华为P9手机摄影再突破,https://weibo.com/1935167034/E5F1r8Hxl
15,这年头的毛贼都有点“梗”，上回抓了淮安盱眙抢银行那位，刚被抓上警车就问：怎么样才能不被你们抓到？484有点傻？那些居心不良的人啊，你们不知道咱们警察小哥练就十八般武艺吗？。图片by@叶子警官cz ​​​​,否,,2016-08-28 12:12,40,12,15,华为P9手机摄影再突破,https://weibo.com/1935167034/E5D8B8Xmo
16,交警小哥在直播，速来围观 L一直播:无锡交警正在直播 ​​​​,否,,2016-08-27 19:18,117,22,17,华为P9手机摄影再突破,https://weibo.com/1935167034/E5wuM01yZ
17,【#公安部A级通缉令# 】8月19日，犯罪嫌疑人陈文辉等人冒充教育局干部，以发放助学金的名义骗取山东省临沂市群众徐某9900元。现犯罪嫌疑人陈福地、郑金锋、黄进春已被抓获，犯罪嫌疑人陈文辉、熊超、郑贤聪三人在逃。  °公安部A级通缉令（陈文辉、熊超、郑贤聪） ​​​​,否,,2016-08-26 19:29,466,56,27,iPhone 6,https://weibo.com/1935167034/E5n91q2VQ
18,转发微博,是,【罗庄徐玉玉电信诈骗案成功告破】罗庄徐玉玉电信诈骗案成功告破，主要犯罪嫌疑人郑某某（男，29岁，福建泉州人）等2人被抓获归案，其他犯罪嫌疑人正在追捕中。另临沭宋振宁被骗案侦破工作取得重大进展，已锁定2名犯罪嫌疑人，抓捕及相关工作正在进行中。 ​​​​,2016-08-26 17:54,18,6,9,微博 weibo.com,https://weibo.com/1935167034/E5mwpl2N3
19,【骗术拆解教你 “六个一律”死守严防】接到电话，不管他是谁，只要一谈到银行卡，一律挂掉。接到电话，只要一谈到中奖了一律挂掉。 接到电话，只要一谈到是公检法税务或领导干部的一律挂掉。所有短信，但凡让点击链接的，一律删掉。微信不认识的人发来的链接，一律不点。所有170 开头的电话一律不接。,否,,2016-08-26 16:40,26,21,1,微博 weibo.com,https://weibo.com/1935167034/E5m2g5hDN
20,【数据追忆“时代楷模”高宝来】他于2015年5月22日走后，为民警留下了这样一组数据去学习，为小学生留下了这样一组数据去怀念，为群众留下了这样一组数据去称道，为社会留下了这样一组数据去铭记。永远怀念他，“时代楷模”高宝来！,是,【数据追忆“时代楷模”高宝来】他于2015年5月22日走后，为民警留下了这样一组数据去学习，为小学生留下了这样一组数据去怀念，为群众留下了这样一组数据去称道，为社会留下了这样一组数据去铭记。永远怀念他，“时代楷模”高宝来！ ​​​​,2016-08-26 14:56,5,2,3,iPhone 6,https://weibo.com/1935167034/E5lmcFuUD
21,,是,"#警情通报#8月25日9时48分，我局接到110警情报警称： “中山南路224号安瑞大厦内慧运招待所院内,发现一坠楼年轻男子，已经死亡了”。接报后，我局刑警大队、朝天宫派出所迅速赶到现场进行处置。据报警人反映，在凌晨四五点钟有人听到响声，但未注意到有人坠楼，今天上午有人过来修车，发现有人躺在那里 ​​​​...展开全文c",2016-08-25 15:42,21,4,5,iPhone 6,https://weibo.com/1935167034/E5cee7Yky
22,近日，网上传言“南京市政府将于8月26日举行限牌方案听证会”，经查，该谣言发布者系南京一汽车销售经理陈某。目前，陈某已因虚构事实、扰乱公共秩序被警方依法予以行政拘留5日的处罚。,是,发布了头条文章：《南京一汽车销售经理因散布谣言被行政拘留》 @平安江苏 @南京发布 @南京交警 @南京车管所 @江宁公安在线 °南京一汽车销售经理因散布谣言被行政拘留 ​​​​,2016-08-25 08:58,30,6,1,微博 weibo.com,https://weibo.com/1935167034/E59A25Skd
23,【转发为这位女司机、好司机点赞！ 】这亲切笑容、这轻轻的摆手让行…遇到事故瞬间，晕厥时刻，还不忘拉好手刹，只为了满车乘客安全……好人！好司机！必须转发点赞！！！,是,#清洲说警事# 【转发为这位女司机、好司机点赞！ 】这亲切笑容、这轻轻的摆手让行…遇到事故瞬间，晕厥时刻，还不忘拉好手刹，只为了满车乘客安全……好人！好司机！必须转发点赞！！！  L秒拍视频 ​​​​,2016-08-25 08:38,38,9,32,微博 weibo.com,https://weibo.com/1935167034/E59rZBOC9
24,枪林弹雨中，维和警察如何穿越生死征途？在没有枪支的情况下，他们如何保障安全？水源缺乏、疟疾丛生，他们又如何克服困难？请看今晚的网络直播，带您走进中国（江苏）赴南苏丹维和警队。O返回直播 ​​​​,否,,2016-08-25 08:22,120,16,11,华为P9手机摄影再突破,https://weibo.com/1935167034/E59lDpgHE
25,【开学季，学生和家长都要警惕的校园诈骗】“新的学期马上开始，这是你孩子的开学通知书和课程……请您查阅”。近日这样一条骗子冒充“学校”发送的含钓鱼链接的“开学通知书和课程”的诈骗短信，正在悄悄攻击学生家长用户的手机。暑假已经接近尾声，大、中、小学生马上要迎来开… O网页链接 ​​​​,否,,2016-08-25 07:14,310,45,14,iPhone 6,https://weibo.com/1935167034/E58TT1gfe
26,【直播预告】走进中国（江苏）维和警队O返回直播 ​​​​,否,,2016-08-25 02:03,15,1,10,华为P9手机摄影再突破,https://weibo.com/1935167034/E56RSfFeE
27,【消防队领导来电话 为做工程被骗一万五】最近，做冷库生意的张先生接到了一名自称消防支队支队长的电话，要给他介绍工程做这个发财的好机会可把他乐坏了。谁料到工程没做成却被骗了一万五这到底是什么情况呢…… ​​​​,否,,2016-08-24 16:22,18,8,10,iPhone 6,https://weibo.com/1935167034/E53403ZFt
28,,是,【青岛两幼童被塞后备箱 市民疑拐卖儿童紧急报警】日前，青岛黄岛街头，有市民看见一名中年男子将两个孩子居然装进了轿车后备箱里，然后开车扬长而去。这到底是怎么回事呢?不会是拐卖儿童吧?市民赶紧报了警。警察拦下车辆盘问后得知，一家子10口人来青岛玩，车里坐不下了，让两个孩子坐到后备箱 ​​​​...展开全文c,2016-08-24 09:02,19,4,3,微博 weibo.com,https://weibo.com/1935167034/E50brotO1
29,【错过出口请将错就错】近日在沈海高速盐城开发区出口错过下道口，驾驶员连续变线，被后方货车撞飞提醒：错过出口、或是下错出口，千万不要倒车、强行并线路口错过可以重来，生命只有一次请转发提醒给更多的司机朋友们 L秒拍视频 ​​​​,否,,2016-08-24 09:00,66,24,12,微博视频,https://weibo.com/1935167034/E50aAz8By
30,【开学季，这些校园诈骗可得提防着…】开学季将至，开学期间是诈骗案和盗窃案的高发期，犯罪分子精心设计的骗局，花样繁多，具有很强的欺骗性、迷惑性。为了让同学们慧眼识破骗局，警察蜀黍收集了一些典型的作案形式和同学们分享。详情请戳图↓↓ ​​​​,否,,2016-08-23 16:59,44,6,5,微博 weibo.com,https://weibo.com/1935167034/E4TSiFUoO
31,【​警方通报“男子虐狗被群殴” 双方均被行拘】近日网传“男子变态虐狗被裸体群殴”，裸身男子疑拍摄性侵虐狗的视频并网络传播牟利，被爱狗人士殴打。昨晚四川警方通报，廖某构成传播淫秽信息的违法行为，已被行拘并罚款。另两名在场人员构成侮辱他人的违法行为，也被行拘。 ​​​​,否,,2016-08-23 11:29,26,17,8,微博 weibo.com,https://weibo.com/1935167034/E4RID3fvk
32,#警惕提额诈骗陷阱#近日，泰州谢某接到021-95511来电称银行客服，可其提升信用卡额度，谢按对方提示点开收到的网址链接，将动态码提供给对方，然而额度未提升，却收到2090元的消费短信。警方提醒注意识别和验证链接地址，警惕钓鱼网站；如有提升额度等业务需求，可通过银行官方渠道申请办理。 ​​​​,否,,2016-08-23 09:42,32,8,4,iPhone 6,https://weibo.com/1935167034/E4R1abYjZ
33,我们的消防小哥自拍、自导、自演的一套【逆火行者】主题写真新鲜出炉啦！欢迎大家围观，看看颜值担当的消防勇士，他们不是一般的帅！@中国消防 ​​​​,否,,2016-08-22 22:42,332,48,115,华为P9手机摄影再突破,https://weibo.com/1935167034/E4MHbx2wQ
34,【微信“收款码、付款码”傻傻分不清银行卡余额三秒被盗】微信和支付宝扫二维码就能付款，方便的同时却被不法分子利用，混淆“付款码”与“收款码”进行盗刷。近日，泰州一女子就中了这样的骗局，原本要收对方钱，却被盗刷498.99元。蜀黍提醒，如果有人以付款的名义，向你讨要微信上的付款码，那么99%可能是骗子，一定要提高警惕，仔细甄别，加强防范。,否,,2016-08-22 17:00,26,2,5,iPhone 6,https://weibo.com/1935167034/E4Ksh5omX
