序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,崇尚科学，反对邪教！,是,#反邪动态#【活摘器官？别逗了！先了解啥叫器官移植】10年前，法轮功炮制出“中共活摘法轮功人员器官”的惊天谣言，意在抹黑中国政府，向西方反华势力讨赏。但最后，不过是闹剧一场，谎言不攻自破。那么器官移植究竟是怎么一回事儿？它能治疗什么病、有哪些新进展，怎样的器官移植才是合法的？今天，小 ​​​​...展开全文c,2016-08-25 22:33,转发,评论,赞,iPhone 6s Plus,https://weibo.com/5951858644/E5eURl7uD
1,江苏省安全生产条例_盐城高新区平安法治网 O网页链接 ​​​​,否,,2016-08-25 21:15,转发,评论,赞,iOS,https://weibo.com/5951858644/E5epy1Qhs
2,刑期届满才认定立功又犯罪能否从宽_盐城高新区平安法治网 O网页链接 ​​​​,否,,2016-08-24 10:46,转发,评论,赞,iOS,https://weibo.com/5951858644/E50RJCu3i
3,转发微博,是,#警队先锋# 【#里约奥运# 有中国警察忙碌的身影】由于巴西国内局势动荡引发社会治安问题，盗窃、抢劫甚至枪击案件频发。为了保障里约奥运会期间中国公民的人身安全，今年5月，邵伟民被公安部派驻到巴西里约热内卢担任临时警务联络官。他此次到里约开展警务联络工作，主要任务是搭建中巴警务合作平台， ​​​​...展开全文c,2016-08-24 09:12,转发,评论,赞,微博 weibo.com,https://weibo.com/5951858644/E50fBocqz
4,社会管理综合治理的方针是：打击和防范并举，治标和治本兼顾，重在治本。它的主要任务是：打击、防范、教育、管理、建设、改造。社会管理综合治理的主要目标是：社会稳定，重大恶性案件和多发性案件得到控制并逐步有所下降，社会丑恶现象大大减少，治安混乱的地区和单位的面貌彻底改观，治安秩序良好，群众有安全感。,否,,2016-08-23 09:16,转发,评论,赞,360安全浏览器,https://weibo.com/5951858644/E4QQr1qzG
5,一、禁毒工作的基本情况：1、加强禁毒工作领导，抓禁毒工作专项经费的落实。2、加强宣传教育力度，抓预防和打击涉毒犯罪活动。3、加强管理，抓好涉毒人员戒毒和帮教工作。4、抓好禁毒专业队伍建设和建立禁毒的长效机制。 ​​​​,否,,2016-08-22 17:00,转发,评论,赞,360安全浏览器,https://weibo.com/5951858644/E4KsfiORd
6,维稳即维持稳定，也是我党的为政原则，既是“稳定压倒一切”、“要维持安定团结的大好局面”的原则。那么如何做好维稳工作呢？首先就要做到四个明确。第一、明确机构组建，抓工作责任的落实。第二、明确工作任务，抓责任范围的落实。第三、明确工作流程，抓工作要求的落实。第四、明确工作机制，抓工作保障的落实。,否,,2016-08-20 15:11,转发,评论,赞,360安全浏览器,https://weibo.com/5951858644/E4qTer1YL
7,新华社北京4月21日电 中共中央总书记、国家主席、中央军委主席习近平近日就做好信访工作，妥善处理信访突出问题作出重要指示，强调要综合施策，下大气力处理好信访突出问题，把群众合理合法的利益诉求解决好。综合运用法律、政策、经济、行政等手段和教育、调解、疏导等办法，把群众合理合法的利益诉求解决好。,否,,2016-08-19 09:36,转发,评论,赞,360安全浏览器,https://weibo.com/5951858644/E4fgJaLZH
8,2016年是“七五”普法的开局之年。全区法治宣传教育工作的总体要求是：全面贯彻党的十八大和三中、四中、五中全会精神，深入贯彻习近平总书记系列重要讲话精神和对法治宣传教育工作重要批示，进一步推进法治徽州建设，全面启动“七五”普法工作，把抓好“关键少数”等重点对象学法用法摆在更加突出位置。,否,,2016-08-18 16:43,转发,评论,赞,360安全浏览器,https://weibo.com/5951858644/E48DnfF6z
9,执行信息化体现中国特色司法智慧 以执行信息化建设为抓手，改变“登门临柜”查人找物的传统执行模式，这是最高人民法院近年来推行的“一性两化”执行工作改革的重要一环，并且载入了最高人民法院发布的《关于落实“用两到三年时间基本解决执行难问题”的工作纲要》中，作为破解执行难题、补齐执行短板的突破口。,否,,2016-08-17 10:53,转发,评论,赞,360安全浏览器,https://weibo.com/5951858644/E3WUY9BFj
10,中国政府一贯重视禁毒工作。中国禁毒的长远目标是完全禁止毒品，近期目标是坚持禁贩、禁种、禁吸三禁举，堵源截流、严格执法、标本兼治。动员全社会的力量，打击、防范、宣传、教育多管齐下，有毒必肃，贩毒必惩，种毒必究，吸毒必戒。 ​​​​,否,,2016-08-16 09:17,转发,评论,赞,360安全浏览器,https://weibo.com/5951858644/E3MRA5DG2
