序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,江苏9月1日起居民身份证异地受理范围扩至25省市 °江苏9月1日起居民身份证异地受理范围扩至25省市 ​​​​,否,,2016-08-31 16:59,3,3,1,微博 weibo.com,https://weibo.com/1910370220/E67iv7ED5
1,针对大学生的“防骗考试”看似多余，实则不然。虽然考试通过了也未必就不会上当受骗，但至少让学生对骗子有了警惕性。徐玉玉案虽已破，可骗子却不可能在短时间内全部抓光，无论从哪个方面来说，对大学生进行防骗教育是相当必要的，这无妨作为“开学第一课”的内容。°大学生的“防骗考试”很有必要 ​​​​,否,,2016-08-31 09:52,转发,评论,1,微博 weibo.com,https://weibo.com/1910370220/E64v99wMg
2,今天上午10:30，在大庆路与解放路交叉口（农行岗），盐城交警现场直播,是,#盐城交警直播# 【直播！直播！直播！】盐城交警直播又来啦！今天上午10:30在大庆路与解放路交叉口（农行岗），蜀黍现场直播@铜马看交通-盐城市交警二大队 查处非机动车及行人的交通违法。约吗？ ​​​​,2016-08-31 08:56,1,3,2,微博 weibo.com,https://weibo.com/1910370220/E648q0rcy
3,9月1日起，这些新规将影响你的生活！,是,【明天起，这些新规将影响你的生活】①20项“奇葩证明”派出所不再开具；②国管公积金提取手续简化；③流动就业人员医保可跨统筹地区转移；④网上弹出广告确保能一键关闭；⑤老年游客超百人团需配医生；⑥《慈善法》正式施行：慈善组织享税收优惠；⑦六类情形认定为学术不端。与你有关，扩散！ ​​​​,2016-08-31 08:55,转发,评论,赞,微博 weibo.com,https://weibo.com/1910370220/E647O8Yiv
4,教育部公布八批“精品视频公开课”，共992门课程，涵盖工学、理学、管理学、经济学、法学、艺术学等多个领域，在这个网址搜索即可O视频公开课 - 爱课程 让知识发挥最大的价值！一起充电吧,是,【[推荐]转存！992门精品视频公开课 一起充电吧！】教育部已公布八批“精品视频公开课”，共992门课程，涵盖工学、理学、管理学、经济学、法学、艺术学等多个领域，戳图，选好课程名，在这个网址搜索即可O视频公开课 - 爱课程 请分享给更多人！让知识发挥最大的价值！ ​​​​,2016-08-28 17:51,3,评论,3,iPhone 6,https://weibo.com/1910370220/E5FlT4P50
5,杭州居民自发慰问执勤民警O杭州居民自发慰问执勤民警 ​​​​,否,,2016-08-28 17:24,转发,评论,1,iPhone 6,https://weibo.com/1910370220/E5Fb5dRsZ
6,【大学新生注意防范9大骗术】,是,【大学新生注意防范9大骗术】近日临沂市一名家境贫寒的准大学生因接到骗子的诈骗电话，被骗走9900元学费昏厥，抢救无效离世。事件发生后，在网络上引起强烈关注，也警醒着那些准大学生。每年大学#开学季#，都会看到众多大学新生被骗的新闻信息，新生一定要防范这些↓↓#围剿电信诈骗# ​​​​,2016-08-27 17:12,2,1,赞,iPhone 6,https://weibo.com/1910370220/E5vFQCduA
7,公安部A级通缉令（陈文辉、熊超、郑贤聪）,是,【公安部A级通缉令】8月19日，犯罪嫌疑人陈文辉等人冒充教育局干部，以发放助学金的名义骗取山东省临沂市群众徐某9900元。现犯罪嫌疑人陈福地、郑金锋、黄进春已被抓获，犯罪嫌疑人陈文辉、熊超、郑贤聪三人在逃。 现公安部发布A级通缉令缉拿此三人。 °公安部A级通缉令（陈文辉、熊超、郑贤聪） ​​​​,2016-08-26 20:27,3,2,赞,iPhone 6,https://weibo.com/1910370220/E5nwteXYP
8,出入境证件办理指南汇总O【特别报道】出入境证件办理指南汇总 ​​​​,否,,2016-08-26 16:08,转发,评论,1,iPhone 6,https://weibo.com/1910370220/E5lPghVdE
9,[盐城警方“黄海一号”行动重创黑恶势力]8月22日晚8时至24日上午8时，在我市警方组织开展的“黄海一号”集中统一行动中，189名涉恶违法犯罪人员先后落网，其中寻衅滋事76名、聚众斗殴57名、非法拘禁19名、开设赌场8名、暴力讨债10名；抓获涉恶在逃人员7名，破获涉恶刑事案件92起。O警方“黄海一号”行动重创黑恶势力,否,,2016-08-26 09:59,转发,6,7,iPhone 6,https://weibo.com/1910370220/E5jpErz6p
10,警方再次提醒：接到170、171开头号码段的电话或短信时，请详细辨认内容的真伪，尽量不要点击链接，请及时与相关部门进行核实，以免别骗。O紧急提醒：接到这170、171两个号码段来电或短... ​​​​,否,,2016-08-26 09:52,2,1,1,iPhone 6,https://weibo.com/1910370220/E5jmxvLKI
11,8月22日20时至24日8时，全市公安机关组织开展“黄海一号”集中统一行动，向违法犯罪人员发起凌厉攻势， 打响严打整治统一行动的“第一仗”。在36小时的行动中，警方共抓获各类违法犯罪嫌疑人597人，其中网上在逃人员69人。O警方开展“黄海一号”集中行动，打响严打整治“... ​​​​,否,,2016-08-24 19:30,2,评论,5,iPhone 6,https://weibo.com/1910370220/E54i51Yt3
12,8月22日晚20时至24日上午8时，盐城交警按照盐城市公安局统一部署，全警动员、全力以赴，强力开展严打整治行动！O🚨【今日头条】36小时，盐城交警亮剑一场没有... ​​​​,否,,2016-08-24 19:28,转发,3,2,iPhone 6,https://weibo.com/1910370220/E54hixKp2
13,#盐城交警微提醒# 错过出口、或是下错出口，千万不要倒车、强行并线路口错过可以重来，生命只有一次请转发提醒给更多的司机朋友们,是,#盐城交警微提醒# 【错过出口请将错就错】近日在沈海高速盐城开发区出口错过下道口，驾驶员连续变线，被后方货车撞飞提醒：错过出口、或是下错出口，千万不要倒车、强行并线路口错过可以重来，生命只有一次请转发提醒给更多的司机朋友们 L秒拍视频 . ​​​​,2016-08-24 19:13,转发,3,1,iPhone 6,https://weibo.com/1910370220/E54buis8g
14,手机号还没有进行实名登记的用户要抓紧时间补登记了！,是,【史上最严”电话实名制施行 1亿用户或被停机】手机号还没有进行实名登记的用户要抓紧时间补登记了！据悉，截至5月，全部电话用户实名率已达92%，仍有近1亿用户面临停机风险。中国移动、中国联通、中国电信三大运营商已陆续开始对未进行实名登记的手机号码依法限制通信服务。O网页链接 ​​​​,2016-08-22 16:37,转发,评论,1,iPhone 6,https://weibo.com/1910370220/E4KiZdRy0
15,国务委员、公安部部长郭声琨18日在京出席第四次全国经济犯罪侦查工作会议时强调，各级公安机关要深入学习贯彻习近平总书记系列重要讲话精神，按照李克强总理和孟建柱同志指示要求，切实增强“四个意识”，强化责任担当，紧紧围绕防控风险、服务发展，不断加强和改进新形势下的经济犯罪侦查工作，全面提升防范打击经济犯罪的能力和水平，切实保障国家经济安全和市场经济秩序，维护人民群众合法权益和社会和谐稳定。O网页链接,否,,2016-08-19 09:05,转发,2,赞,iPhone 6,https://weibo.com/1910370220/E4f4ivQmP
16,第四次全国经济犯罪侦查工作会议在京召开。日前，中共中央政治局委员、中央政法委书记孟建柱就打击和防范经济犯罪工作提出要求，依法防范打击经济犯罪，有效防控风险，切实保障人民群众利益，维护社会大局稳定。O网页链接 ​​​​,否,,2016-08-18 18:25,转发,1,赞,iPhone 6,https://weibo.com/1910370220/E49j0FNzy
17,#盐城交警直播#  就在今天下午四点,是,#盐城交警直播# 是的！没错！就在今天下午四点整！盐城交警要直播了！万事俱备！就等你来墙裂围观！让我们一起来寻找礼让斑马线的文明交通人！主播：盐城电视台著名主持人杨卉➕“单身”警花警草！详情可戳O📽盐城交警要直播这种行为！就在今天下午四点... 等你哟 ​​​​,2016-08-18 12:55,转发,评论,2,iPhone 6,https://weibo.com/1910370220/E4799sGOL
18,全国公安5年破经济案81.5万起 挽回损失3000余亿,是,【全国公安5年破经济案81.5万起 挽回损失3000余亿】改革开放以来，经济建设取得巨大成就的同时，经济犯罪也随之大量产生，扰乱了市场经济秩序，损害了人民群众的合法利益。“购物找零发现是假币”“银行卡被盗刷”“利用地下钱庄转移赃款”等犯罪频发多见，给国家经济安全带来风险。重拳打击经济犯罪， ​​​​...展开全文c,2016-08-18 10:06,转发,2,2,iPhone 6,https://weibo.com/1910370220/E462iubGO
19,公安部组建联合国历史上首支常备维和警队,是,【公安部组建联合国历史上首支常备维和警队】这是去年9月习近平主席在联合国成立70周年系列峰会上，向全世界宣布的我支持联合国维和行动的重大举措之一，展示了中国政府对维护世界和平的大国责任和担当。常备维和警队承担的任务更具危险性和挑战性。 °公安部组建联合国历史上首支常备维和警队 ​​​​,2016-08-17 19:40,转发,评论,2,iPhone 6,https://weibo.com/1910370220/E40mLjkKz
20,公安机关打击地下钱庄专项行动取得显著战果,是,【公安机关打击地下钱庄专项行动取得显著战果】根据公安部统一部署，各地公安机关会同当地人民银行、外汇管理局等部门，破获一大批重大案件。截至目前，各地已破获重大地下钱庄及洗钱案件158起，抓获犯罪嫌疑人450名，打掉地下钱庄窝点192个，涉案交易金额近2000亿元人民币。O网页链接 ​​​​,2016-08-17 09:30,转发,2,2,iPhone 6,https://weibo.com/1910370220/E3WniaWVg
21,"盐城交警""交通整治百日行动""进行中O🚓【今日头条】盐城史上最严交通整治不断升级... ​​​​",否,,2016-08-16 15:57,1,2,2,iPhone 6,https://weibo.com/1910370220/E3PtPcyn3
22,【G20峰会临时交通管理措施期间 过境杭州的载货汽车外围绕行推荐路线】,是,【G20峰会临时交通管理措施期间 过境杭州的载货汽车外围绕行推荐路线】对于许多司机朋友们所关注的，过境杭州的载货汽车该如何绕行？浙江高速交警也推荐了外围绕行的最佳路线↓↓↓ ​​​​,2016-08-15 19:46,转发,1,1,iPhone 6,https://weibo.com/1910370220/E3Hyawj00
23,71年前的今天，1945年8月15日，#日本战败投降#,是,【此刻，无论你在哪，请为3500万伤亡同胞转！】71年前的今天，1945年8月15日，#日本战败投降#。抗战期间，中国超过3500万军民伤亡。轰炸、屠杀、活埋、强奸、活体实验…日本侵略者甚至连孩子都不放过！直到今天，日本右翼仍试图为战争翻案！今天，祭奠同胞，传播真相，勿忘国耻，吾辈自强！ ​​​​,2016-08-15 13:33,7,2,4,iPhone 6,https://weibo.com/1910370220/E3F6Xal7r
