序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,#洗洗睡吧#人生得得失失是常事。生活是一种心态，持怎样的心态自然就会拥有怎样的人生，不要随波逐流，以乐观的心态自然地去面对生活，生活因为你的存在而多姿多彩，勇敢地走向生活吧！你会发现更棒的自己，生活因你而精彩。晚安~ ​​​​,否,,2016-08-31 21:50,11,6,6,微博 weibo.com,https://weibo.com/2696123751/E69co8xeQ
1,美不美,是,五彩缤纷的晚霞美哭了～  再见，夏天！ #蛋蛋随手拍# @幸福大丰 ​​​​,2016-08-31 20:46,11,5,9,iPhone 6s,https://weibo.com/2696123751/E68Mp4jrG
2,#大丰人好呢#【英勇小伙跳河三次连救五人】面对冲入深河的面包车，南阳镇的曹明没来得及多想，跳入河中，一口气游了三个来回，将车内的5 个人全部救出。曹明从小就擅长水性，加上面包车内的5人没有因为不会游泳而太过慌乱，从而使得救援比较顺利。 ​​​​,否,,2016-08-31 20:36,12,7,9,微博 weibo.com,https://weibo.com/2696123751/E68Ilz0l0
3,#图片新闻#【荷兰风情街抢工会战】工人们正在荷兰风情街抢工会战，目前已经进入工程扫尾阶段。该工程采用哥特式建筑风格，包含餐饮、购物、休闲、酒店、观演、婚纱摄影等功能，为游客打造了一个一站式的休闲娱乐场所。 ​​​​,否,,2016-08-31 20:02,11,14,6,iPhone 6s,https://weibo.com/2696123751/E68uCBSMG
4,"#小丰说天气#今天夜里到明天晴转多云到阴,局部有时有阵雨或雷雨，西南风4到5级阵风6级，明晨最低气温22℃，明天最高气温32℃；天气趋势，2日多云有时阴。 ​​​​",否,,2016-08-31 19:16,10,5,2,微博 weibo.com,https://weibo.com/2696123751/E68bSqFcO
5,#图片新闻#【古稀老人爱心助学】日前，家住育红社区73岁的高慧林（右）在社区工作人员的见证下，对两位贫困学生进行爱心捐助。临近开学，爱心助学多年的高慧林，向两位贫困生各资助2100元，希望她们好好学习，将来回报社会。 ​​​​,否,,2016-08-31 18:37,11,8,6,微博 weibo.com,https://weibo.com/2696123751/E67W2rNB4
6,#晚饭加道菜#【鸡肉炖粉条】以鸡肉等为主材，鸡块香嫩入味、汤汁甜鲜微辣，特别是里面的粉丝，特别入味，饱含鸡汤，味道浓郁！ ​​​​,否,,2016-08-31 18:00,12,6,5,微博 weibo.com,https://weibo.com/2696123751/E67H1DWRS
7,#招标公告#现就盐城市大丰区白驹镇停车场新建工程，工程规模约48.7万元，对外进行公开招标，择优选定对应承包人。 ​​​​,否,,2016-08-31 17:20,10,7,2,微博 weibo.com,https://weibo.com/2696123751/E67qNfIhJ
8,【超燃！中国武警2016年征兵宣传片震撼发布！】“我是中国武警，我的青春在这里燃烧，我们经常出发，战场就是考场，家人平安有我，请记住我们，请加入我们！”网友：热血沸腾，溢出来的安全感！O网页链接 ​​​​,否,,2016-08-31 17:17,12,9,5,iPhone 6s,https://weibo.com/2696123751/E67pNtNx3
9,#企业之窗#【严格管理赢市场】日前，丰泰机电有限公司检测车间内，工人在检测产品。近年来，该公司不断加快转型升级步伐，努力适应市场需求。针对订单多、任务紧、客户要求高的实际，该公司细化分解指标、层层落实责任、严格工艺流程、强化质量管理，使得产品受到市场青睐。 ​​​​,否,,2016-08-31 16:36,12,7,3,微博 weibo.com,https://weibo.com/2696123751/E678W1rzO
10,#下午茶#他们曾经走散了，后来又相聚在一起... ​​​​,否,,2016-08-31 16:03,15,10,11,微博 weibo.com,https://weibo.com/2696123751/E66Vxp9Bq
11,#微科普#【科普视频】雪花没有看上去那么干净L科普微视频：雪花没有看上去那么干净 ​​​​,否,,2016-08-31 15:30,9,5,2,360安全浏览器,https://weibo.com/2696123751/E66Isy1YB
12,#12345来电选登#大丰开发区灶圩小区门市的店主谢先生来电反映：其前几天去广电报装广电宽带，但工作人员称目前他们那虽然铺了线，但是装不了。其想咨询具体原因且何时能装？望相关部门给予答复。 ​​​​,否,,2016-08-31 15:19,9,7,2,搜狗高速浏览器,https://weibo.com/2696123751/E66DVeahp
13,#微提醒# 【注意！关于近视的十大误区】数据显示，我国高中生和大学生的近视比例已超70%。很多人担心一旦戴上了眼镜，近视度数会越来越深，真的吗？如果配眼镜，度数最好配低一点？即使度数很深，眼镜也不需要一直戴着？这些，都不靠谱！关于近视的十大误区，戳图自查↓↓你中招了吗？via人民日报,否,,2016-08-31 14:50,11,7,2,iPhone 6s,https://weibo.com/2696123751/E66rYdGLj
14,#公告#关于公开征集江苏金色农业科技发展有限公司企业LOGO的公告 ​​​​,否,,2016-08-31 14:36,8,5,4,微博 weibo.com,https://weibo.com/2696123751/E66me9oxV
15,#招标公告#盐城市大丰区新丰镇人民政府实施的新乐线农村公路提档升级工程已经有关部门批准建设，现决定对该项目施工进行公开招标选定承包人。 ​​​​,否,,2016-08-31 13:53,8,4,1,微博 weibo.com,https://weibo.com/2696123751/E664M24uY
16,#企业之窗#【技改扩产能】8月29日，理研精密锻造有限公司的工人正在赶制截齿类产品。该公司投入4000万元引进一套2000吨自动化五工位压力机，增加生产能力。今年至目前，该公司已完成开票销售2.75亿元，同比增长38.35%。 ​​​​,否,,2016-08-31 13:02,6,4,1,微博 weibo.com,https://weibo.com/2696123751/E65K4oOZf
17,#生活服务#【一图读懂丨和牙周炎说再见】牙周病发病率高达50%，一旦牙周出现问题，就可能导致牙齿松动，甚至牙齿脱落以及其他疾病。你的牙周健康吗？图via医学美图 ​​​​,否,,2016-08-31 12:16,9,5,2,微博 weibo.com,https://weibo.com/2696123751/E65roE1fv
18,#公示#根据《江苏省饮用水卫生监督监测工作方案》的要求，2016年8月10日，大丰区卫生计生委员会对城区出厂水和管网末梢水进行了采样检测。现将2016年8月份生活饮用水卫生监测情况公示如下。 ​​​​,否,,2016-08-31 11:36,11,8,2,微博 weibo.com,https://weibo.com/2696123751/E65baevjS
19,大丰南阳镇好小伙曹明,是,#微感动#【总不能见死不救】前方一辆面包车突然撞上路边桥墩，冲进河里，他立刻停车，来不及脱衣就奔去跳入4米多深的河里救人。连游3个回合，他将车上5人全救起，后又帮忙起吊车辆，然后默默离开。面对赞扬，他说救人是本能，“总不能见死不救吧！”江苏小伙曹明善良是本 °三次跳进河中，一口气连救五个人 ​​​​,2016-08-31 11:24,12,11,13,微博 weibo.com,https://weibo.com/2696123751/E656hARco
20,#微关注#【扩散：明天起，这些新规正式实施！[推荐]】①慈善法正式实施 ②证明姓名、性别、身份号码、出生日期、婚姻状况、文化程度等20种证明，派出所不再开了！③付费搜索明确为广告，应与自然搜索明显区分 ④旅行社新规范：老人连续游览不宜超3小时……更多戳图，转！有用！via央视 ​​​​,否,,2016-08-31 11:07,9,6,2,微博 weibo.com,https://weibo.com/2696123751/E64Zonnbf
21,"#微天下#【""义工校长""创办农民工家长学校】大多数农民工在教育孩子方面无时间、无心情、无方法、无目的。如果他们的孩子不在关爱中长大，无疑为将来埋下很多危险。身为一名街道工委书记，赵晓春自办农民工家长学校，用自身经历，为1.5万名农民工家长举办讲座81场。如今，哈尔滨的18所小学，都有他与家长交流的身影。O创办农民工家长学校 怎样从冷清到火爆？",否,,2016-08-31 10:50,9,6,2,Android客户端,https://weibo.com/2696123751/E64SEdRQt
22,#微提醒#胃胀气到底是怎么回事？如何避免胃胀气呢？via医学美图 ​​​​,否,,2016-08-31 10:31,9,6,3,Android客户端,https://weibo.com/2696123751/E64KQtJXD
23,#招标公告#盐城市大丰区新丰镇人民政府实施的新丰小学足球场改造工程已经有关部门批准建设，现决定对该项目施工进行公开招标选定承包人。 ​​​​,否,,2016-08-31 10:16,7,5,4,微博 weibo.com,https://weibo.com/2696123751/E64EH0Lv9
24,#微话题#【中青报：请中学老师别再说上了大学就轻松了】“上了大学就轻松了！”高中老师常常这样激励自己的学生。时下，一些重点高校的工科专业一二年级学生不及格率高已成普遍现象。究其原因，除了各地生源质量有差异外，一部分学生上大学后放松了学习也是重要原因。亲，您怎么看~ ​​​​,否,,2016-08-31 10:03,10,8,5,微博 weibo.com,https://weibo.com/2696123751/E64zpAaQM
25,#轻松一刻#回过头那一刻简直萌死了，我可以看一天 ​​​​,否,,2016-08-31 09:33,10,8,4,搜狗高速浏览器,https://weibo.com/2696123751/E64nrmMN5
26,加油,是,【转发加油！中国残奥代表团出征里约！】今天凌晨，2016年里约残奥会中国体育代表团出征巴西！9月7日至18日，308名中国运动员将参加17个大项328个小项的比赛，这是我国参加在境外残奥会运动员人数最多的一次。他们平均年龄26岁，年龄最小14岁，年龄最大52岁。转发，为他们加油！°中国代表团出征残奥会 首都机场全方位服务 ​​​​,2016-08-31 09:14,10,8,8,iPhone 6s,https://weibo.com/2696123751/E64fJu9bN
27,#微讨论# 今早小丰上班路上遇到一位老爷爷，大概60岁样子，拦车让小丰带他一程，小丰感觉是骗纸，吓得飞驰而去。亲亲，你们怎们看 ​​​​,否,,2016-08-31 08:48,8,30,7,iPhone 6s,https://weibo.com/2696123751/E644YkJ8N
28,#小丰微直播#【开学啦】新的学期如约而至，伴着清风，迎着朝阳，又一个新的起点，又一个新的希望。快乐的暑假结束了，今天是中小学生开学报名的日子，小丰在此祝福同学们，在新学期里取得新突破！图为大丰区飞达路初级中学，孩子们在父母的陪伴下到学校报名。 ​​​​,否,,2016-08-31 08:03,8,18,13,华为P8,https://weibo.com/2696123751/E63MH6WGq
29,#体育快讯# 8月31日早间，新浪体育带来昨夜今晨你不容错过的5条体育要闻。O【新浪体育31日8时要闻回顾】 ​​​​,否,,2016-08-31 08:01,6,4,3,iPhone 6s,https://weibo.com/2696123751/E63MbvkHJ
30,#小丰说天气# 嗨，早上好今天白天到夜里晴到多云，偏西风5级阵风6到7级，今天最高气温31℃，明晨最低气温22℃。气温稍稍回升，但早晚还是比较凉快滴，真是天凉好个秋小丰提醒，早晚温差较大，必要时记得加件外套哦，可不要感冒了哟[纠结][纠结] ​​​​,否,,2016-08-31 07:15,8,4,6,iPhone 6s,https://weibo.com/2696123751/E63tzzimH
31,#洗洗睡吧#有人在撒谎，却不能拆穿，有人很厌烦，却不能翻脸，明明是自己走的路，却偏有一些无关的挑拨，人生有很多这样的无可奈何，但遇到糟糕的情绪就表达出来，只能说明你很在乎，让见不得你好的这些人看了笑话。看好自己的心和嘴，呱噪不难，难的是，保持沉默 。有所悟，晚安！ ​​​​,否,,2016-08-30 21:50,12,10,5,微博 weibo.com,https://weibo.com/2696123751/E5ZLTfHI8
32,#微关注#【9月，约上TA不要错过这些美好】①1日：御夫座流星雨今年极大出现在凌晨3时；②3日：海王星将带来冲日表演；③17日：将发生半影月食，我国全境几乎都可以看到其全过程；④29日：水星将迎来年内最后一次西大距。转给TA，一起看！(图自视觉中国) ​​​​,否,,2016-08-30 21:00,13,7,4,微博 weibo.com,https://weibo.com/2696123751/E5ZrB2nyB
33,#大丰好玩呢# 9月10日晚，2016上海旅游节又将在淮海路上闪亮开幕。据了解，继2013年上海旅游节大丰花车首秀以来，大丰花车已经连续四年受邀巡游上海街头。今年，大丰花车以麋鹿形象为主体造型，以郁金香和风车为设计元素，展示丰富独特的旅游资源。 ​​​​,否,,2016-08-30 20:30,13,9,6,微博 weibo.com,https://weibo.com/2696123751/E5Zfq2MRR
34,#微互动#为什么小丰的粉丝都喜欢私信撩小丰，不喜欢点赞评论见证真爱的时候来了，刚刚撩小丰的，敢不敢来这里评个论、点个赞 ​​​​,否,,2016-08-30 20:10,11,99,23,Android客户端,https://weibo.com/2696123751/E5Z7BsKz4
35,家里有这样一个大暖汪，爸爸妈妈们不知道能省多少心！有这么威武又温柔的守护神陪着长大，小主人简直太幸福！O网页链接 ​​​​,否,,2016-08-30 20:00,8,6,10,微博 weibo.com,https://weibo.com/2696123751/E5Z3fDmgO
36,#小丰说天气#在经历了夏天三味真火和初秋老虎连翻轰炸下，我们挺过来了有没有，小丰可是连续几天是被冻醒的[泪流满面]！话说今天夜里到明天白天是晴到多云，气温在20-31℃，温差依然是这样。不过，秋风好像已经等不及了，明天会逐渐增强为偏西风5到6级阵风7级[抠鼻屎]。好吧，大家晚上盖好被子。 ​​​​,否,,2016-08-30 19:30,9,7,4,微博 weibo.com,https://weibo.com/2696123751/E5YR46e8H
37,今天你日观天象了吗？做一个合格的吃瓜群众，从拒绝这一个又一个不尊重人智商的谣言做起！#大国气质G20#  L秒拍视频 ​​​​,否,,2016-08-30 19:00,7,8,3,微博 weibo.com,https://weibo.com/2696123751/E5YET4KNm
38,#晚饭加道菜#【清蒸鲈鱼】鲜香肉嫩，不油腻，做法很简单快手，也是能招待朋友的硬菜哦~  周末可以做，毕竟我也是个爱吃鱼的人，哈哈哈哈哈哈哈哈哈 ​​​​,否,,2016-08-30 18:00,10,5,5,微博 weibo.com,https://weibo.com/2696123751/E5Ygx7SXQ
39,【一张纸究竟有多锋利?】突然想起一句话，被纸张割伤的手指，是树的复仇。想起了那些被纸张划伤手指的岁月...L秒拍视频 ​​​​,否,,2016-08-30 17:30,7,4,3,微博 weibo.com,https://weibo.com/2696123751/E5Y4mbyLe
40,#图说新闻#【盐淮高速226省道连接线拓宽改造工程加快推进】8月28日，道路工人正在拓宽改造工程建设现场施工，在保证施工质量的前提下，不断加快工程推进速度。该工程路线全长为4.6公里。目前，快车道东半幅沥青混凝土路面已摊铺完成，交通标线同步完成，西半幅沥青路面铣刨、桥涵工程、人非系统工程正在紧张施工中。,否,,2016-08-30 17:00,10,4,3,微博 weibo.com,https://weibo.com/2696123751/E5XSba6zE
41,【原来，你是这样的“洪荒少女”】①我觉得活着最重要的就是自己要喜欢自己 ②我这一生并不是为了“火”而存在的，我是有目标和理想的人 ③我坚信生命不息、战斗不止，人的一生总是在奋斗的 ④以后如果能赚很多钱，我想帮帮那些没有衣服穿的人…戳视频↓走近不想做“网红”的傅园慧L央视新闻的秒拍视频 ​​​​,否,,2016-08-30 16:30,8,5,3,微博 weibo.com,https://weibo.com/2696123751/E5XG0euaW
42,#下午茶#童年的回忆都在这，看哭了吗？ ​​​​,否,,2016-08-30 16:01,11,9,6,微博 weibo.com,https://weibo.com/2696123751/E5Xuem9eB
43,#微科普#【漫画】打雷是怎么回事？ ​​​​,否,,2016-08-30 15:30,7,5,2,微博 weibo.com,https://weibo.com/2696123751/E5XhEgc6h
44,#12345来电选登#大丰区经济开发区长安南小区C区的顾女士来电反映：家里供水正常不稳定，生活用水非常不便，望相关部门调查处理。 ​​​​,否,,2016-08-30 15:14,8,6,2,搜狗高速浏览器,https://weibo.com/2696123751/E5XbrdfZp
45,"#微关注# 【大丰旅游四大板块之乡村旅游】大丰旅游深入挖掘优势资源，突破乡村旅游发展，做好旅游要素文章，提升旅游服务环境，充分挖掘地域文化，因地制宜建设景点景区，实现错位发展,彰显出特色，打造出品牌，形成强有力的市场号召力，增强大丰旅游的吸引力，倒逼城市及现代服务业发展，推动城乡二元融合，构筑全域旅游发展大格局。°大丰旅游四大板块之乡村旅游",否,,2016-08-30 14:31,10,6,4,微博 weibo.com,https://weibo.com/2696123751/E5WTHkNwx
