序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,建湖出入境民警阮亭玉：擦亮出入境窗口的美丽使者O建湖出入境民警阮婷玉：擦亮出入境窗口的美丽... 2盐城·近湖镇 ​​​​,否,,2016-08-30 08:44,转发,评论,2,OPPO R7s,https://weibo.com/5627430791/E5UD5d6St
1,【安全课堂】一招识破电信诈骗！大学生和家长们要格外注意下列骗局！O【安全课堂】一招识破电信诈骗！大学生和家长... 2盐城·近湖镇 ​​​​,否,,2016-08-30 08:43,转发,评论,1,OPPO R7s,https://weibo.com/5627430791/E5UCOC1CT
2,建湖警方亮剑，“黄海一号”集中行动首战告捷！O建湖警方亮剑，“黄海一号”集中行动首战告捷！ 2盐城·近湖镇 ​​​​,否,,2016-08-30 08:43,转发,评论,1,OPPO R7s,https://weibo.com/5627430791/E5UCrydQs
3,,是,交警小哥在直播，速来围观 L一直播:无锡交警正在直播 ​​​​,2016-08-27 20:16,转发,1,赞,OPPO R7s,https://weibo.com/5627430791/E5wSeF807
4,辟谣丨车牌号3191的出租车在建湖杨家沟桥上掉下去？又是谣言！蜀黍教你练就火眼金睛！O辟谣丨车牌号3191的出租车在建湖杨家沟桥上掉... 2盐城·近湖镇 ​​​​,否,,2016-08-10 20:48,1,1,赞,OPPO R7s,https://weibo.com/5627430791/E2WOR3a8f
5,建湖公安又有大动作！全警开展安全环保执法专项行动！快来了解下O建湖公安又有大动作！全警开展安全环保执法专... 2盐城·近湖镇 ​​​​,否,,2016-08-10 20:47,转发,1,赞,OPPO R7s,https://weibo.com/5627430791/E2WOxAMxg
6,保险柜未必保险！建湖警方破获一起入室盗窃保险柜案件O保险柜未必保险！建湖警方破获一起入室盗窃保... 2盐城·近湖镇 ​​​​,否,,2016-07-28 11:54,1,1,1,OPPO R7s,https://weibo.com/5627430791/E0ULFrvld
7,转发微博,是,【苏城市民，请注意防暑[阳光][阳光][阳光]】高温中暑可能导致心脏、肾脏等器官衰竭，随时有生命危险……中暑以后应该怎么办？这几招急救措施你必须知道↓↓关爱自己和家人，快快转发收藏吧！ ​​​​,2016-07-27 14:56,转发,评论,赞,360安全浏览器,https://weibo.com/5627430791/E0Mx6xAAT
8,建湖警方破获系列盗窃电瓶车案件！快来看看你家的车是如何被偷的！O建湖警方破获系列盗窃电瓶车案件！快来看看你... 2盐城·近湖镇 ​​​​,否,,2016-07-27 14:54,1,评论,赞,OPPO R7s,https://weibo.com/5627430791/E0Mwp7fh5
9,建湖警方捣毁一流窜盗窃农村家禽犯罪团伙O建湖警方捣毁一流窜盗窃农村家禽犯罪团伙 2盐城·近湖镇 ​​​​,否,,2016-07-22 12:45,转发,评论,赞,OPPO R7s,https://weibo.com/5627430791/E00xpnhlh
10,转发微博,是,【公安机关打击整治网络侵犯公民个人信息犯罪成效显著】公安部自今年4月起部署全国公安机关开展为期半年的打击整治网络侵犯公民个人信息犯罪专项行动。截至目前，累计查破刑事案件750起，抓获犯罪嫌疑人1900名，缴获信息230亿条，清理违法有害信息35.2万条，关停网站、栏目610个。O公安机关打击整治网络侵犯公民个人信息犯罪成... ​​​​,2016-07-21 11:37,转发,评论,赞,OPPO R7s,https://weibo.com/5627430791/DFO7LCnbV
