序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,#夜思#生命中遇到的问题，都是为你量身定做的。 ​​​​,否,,2016-08-31 22:29,2,1,10,人民微管家,https://weibo.com/2784361770/E69sbAXlO
1,#身边感动#【可怜天下父母心】开学了，父母又千里迢迢地把孩子送去学校。有人说，父女母子一场，不过意味着你和他的缘分，就是不断地目送他的背影渐行渐远。很多时候，我们都不会留意父母的背影，而是承受他们不舍的目送。等到为人父母才明白，这个世界上再无人像他们一样，爱我如生命。（江苏新闻） ​​​​,否,,2016-08-31 21:02,12,5,21,人民微管家,https://weibo.com/2784361770/E68STdjdo
2,#生活贴士#【剃须小妙招】男子剃须时，可用牙膏代替肥皂，由于牙膏不含游离碱，不仅对皮肤无刺激，而且泡沫丰富，气味清香，使人有清凉舒爽之感。 ​​​​,否,,2016-08-31 20:10,1,1,3,人民微管家,https://weibo.com/2784361770/E68yaFrg3
3,#市县看点#【镇江为企业提供菜单式订制服务】镇江发布新版涉企服务“菜单”，企业只要在“菜单”中选定适合的服务项目，就能享受私人订制服务。新版“菜单”服务项目增至79个，涵盖企业项目建设、人才引进、转型升级等方面政策。详见：O镇江为企业提供菜单式订制服务 ​​​​,否,,2016-08-31 17:48,1,3,1,人民微管家,https://weibo.com/2784361770/E67CxlaPR
4,#市县看点#【创新政务生态 激发社会活力】充分用好“互联网+”，让“数据跑路”代替“群众跑腿”，苏州工业园区在全面推进行政体制改革中的这项创新之举，既改写了“政府服务”的内涵，也为企业、居民切实减负，极大释放了社会活力。 ​​​​,否,,2016-08-31 17:02,转发,评论,1,人民微管家,https://weibo.com/2784361770/E67jRAr7z
5,#文体资讯#【茅山崇禧万寿宫落成开放】28日，茅山举行崇禧万寿宫落成暨神像开光庆典。茅山道院崇禧万寿宫位于大茅峰西北丁公山南，占地120亩，耗资约1亿元，历时5年打造。这座由茅山管委会打造的全国道教第一家文化型道观，将成为茅山道教文化体验的新景点。 ​​​​,否,,2016-08-31 16:02,2,1,1,人民微管家,https://weibo.com/2784361770/E66VvA8AY
6,#市县看点#【2016南通乡村旅游节开幕】2016年南通乡村旅游节29日在启东启动。旅游节期间，该市各地将陆续举办20多个乡村游系列活动。既有主打季节品牌的啬园秋季百花展、狼山金秋生态旅游节、海安青墩金秋品蟹节等；也有休闲互动品牌的通州湾国际帆船邀请赛、小洋口国际风筝节等。 ​​​​,否,,2016-08-31 15:02,2,7,1,人民微管家,https://weibo.com/2784361770/E66x9EUN4
7,#民生直达#【苏州试点筛查健康高危人群】筛查机制通过对高危人群实行针对性的健康干预，对筛查发现的肿瘤患者及时通过社区向上级医院转诊治疗，让百姓“不发病、少发病、晚发病”，降低致残率和死亡率。从患者被动治疗到主动筛查“定位”高危人群，苏州正力推这种医疗卫生服务供给新模式。 ​​​​,否,,2016-08-31 13:58,1,评论,1,人民微管家,https://weibo.com/2784361770/E667beG4n
8,#民生直达#【无锡“民生两险”覆盖常住居民】30日，无锡“慈福”民生系列保险中的自然灾害公众责任保险和城乡居民住房财产险再次“扩面”，受益对象从户籍居民扩大到常住居民。这意味着，非无锡户籍居民也将免费享受到相关待遇。详见：O无锡“民生两险” 覆盖常住居民 ​​​​,否,,2016-08-31 11:02,1,评论,赞,人民微管家,https://weibo.com/2784361770/E64XJt9Ve
9,#文体资讯#【苏昆青春版《牡丹亭》在京上演】2016年是著名明代文学家、剧作家汤显祖逝世400周年。国家大剧院将上演纪念汤显祖逝世400周年优秀剧目展演。此次汇演中，江苏贡献两台大戏。8月30日至9月1日，苏州昆剧院连演三天27折青春版《牡丹亭》，9月4日至5日，江苏省昆剧院连演两天《南柯梦》。 ​​​​,否,,2016-08-31 09:58,1,评论,1,人民微管家,https://weibo.com/2784361770/E64xL3knB
10,#江苏播报#【江苏省廉洁征兵监督电话公布】为强化社会监督，确保江苏省征兵工作公开透明，省军区开通了监督电话：025-80855255、18951018499；监督信箱：江苏省军区政治部纪检处，邮编：210009。详见：O我省廉洁征兵监督电话公布 ​​​​,否,,2016-08-31 08:58,1,评论,1,人民微管家,https://weibo.com/2784361770/E649pq03X
11,#早安江苏#未来三天全省大部分地区天气晴好，气温逐步回升全省今天晴到多云全省西南风４级左右今天最高温度:淮北地区30～31℃，其它地区32℃左右明晨最低温度:淮北地区20～21℃，其它地区23℃左右 ​​​​,否,,2016-08-31 07:35,6,1,2,人民微管家,https://weibo.com/2784361770/E63Bz7692
12,#夜思#成熟，不是你能用很多大道理去开导别人，而是你能说服自己去理解身边的人和事。 ​​​​,否,,2016-08-30 22:28,6,评论,13,人民微管家,https://weibo.com/2784361770/E601H5c7o
13,#身边感动#【苏州孤老捐款万元助他人 自己蜗居10平米出租屋】苏州81岁孤老华四弟，10年来无论地震还是洪灾捐款都很踊跃，每次捐款不低于500元，总额超过一万元。可他至今还独自蜗居10平米出租屋，没空调和热水器。身体不好，退休金只有两千多元，他却说要尽自己的力量帮助别人。°他蜗居10平方米，10年捐款万余元 ​​​​,否,,2016-08-30 21:18,4,5,40,人民微管家,https://weibo.com/2784361770/E5ZySuuUF
14,#生活贴士#【“秋招模式”即将开启，经典50题教你变“面霸”！】新学期开始，又一批应届生将抵达各大求职“战场”！自我介绍、说优缺点、聊薪酬……这些看似简单却暗藏陷阱的面试题，你都会答吗？面试总是没下文，你知道自己弱在哪吗？？智斗面试官有诀窍！戳图↓50道经典面试题，答案都有！ ​​​​,否,,2016-08-30 20:09,7,1,1,人民微管家,https://weibo.com/2784361770/E5Z6ScxdK
15,#市县看点#【扬州启用智能出行系统】扬州市首创的集智能停车、智能导航、智能充电桩、智能公交、智能出租车、公共自行车等6大类出行服务为一体的城市智能出行系统已面向市民投用，市民使用一部手机，即可应付在行车、停车和出行中遇到的各种难题。详见：O交通信息手机“全掌握” ​​​​,否,,2016-08-30 17:48,1,1,4,人民微管家,https://weibo.com/2784361770/E5Yc2slVX
16,#民生直达#【江苏再出多项学生资助新政】近日，江苏省财政厅、江苏省教育厅、江苏省扶贫工作领导小组办公室联合下发《关于对建档立卡家庭经济困难学生加强教育资助工作的意见》。免除建档立卡家庭经济困难学生的高中、大学的学费。详见：°好消息！从2016年秋季学期起 江苏再出多项学... ​​​​,否,,2016-08-30 17:02,2,评论,3,人民微管家,https://weibo.com/2784361770/E5XTn1m6R
17,#民生资讯#【江苏首发健康大数据报告】报告显示，影响江苏人健康的主要疾病是脑血管病、流行性感冒和肺 炎、缺血性心脏病等；江苏致死前五位恶性肿瘤依次为：肺癌、胃癌、食管癌、肝癌和结直肠癌，肺癌死亡率 居于恶性肿瘤首位，占全部恶性肿瘤死亡的24.23%。详见： O江苏首发健康大数据报告 ​​​​,否,,2016-08-30 16:02,2,评论,1,人民微管家,https://weibo.com/2784361770/E5Xv13FTM
18,#党在我心中# 【“两学一做”：要克服“四不”倾向】#党建声音#开展“两学一做”学习教育，首先是要学好党章，但仍存在少数党员干部对党章不学、假学、浅学、空学等现象，我们要坚持问题导向，坚决克服“四种倾向”。戳图↓↓ ​​​​,否,,2016-08-30 15:44,3,评论,赞,微话题-党在我心...,https://weibo.com/2784361770/E5XnCrKJl
19,#市县看点#【南京发布交通事故报告】8月29日，南京交管部门发布2016年上半年交通事故分析报告。与去年同 期相比，事故起数、死亡人数、受伤人数均有所下降，但是由货车、农用车和非机动车引发的交通事故比例却 增多了。详见：O南京发布交通事故报告 ​​​​,否,,2016-08-30 15:02,1,评论,1,人民微管家,https://weibo.com/2784361770/E5X6F6KKd
20,#江苏播报#【江苏省钢铁煤炭行业化解过剩产能有序推进】根据国家统一部署，2016-2020年江苏省压减粗钢产 能1750万吨、化解煤炭过剩产能836万吨，其中2016年压减粗钢产能390万吨、煤炭产能818万吨。目前江苏省钢 铁煤炭去产能已分别完成今年任务的71.8%和78.2%。 ​​​​,否,,2016-08-30 13:58,3,评论,2,人民微管家,https://weibo.com/2784361770/E5WGGo7TC
