序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,三灶最新风景线，再不去看看就晚了O三灶最新风景线，再不去看看就晚了 ​​​​,否,,2016-08-31 11:56,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E65jtw2vQ
1,阜宁民间厨艺达人在哪？这里有约！O阜宁民间厨艺达人在哪？这里有约！ ​​​​,否,,2016-08-31 11:56,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E65jq0Frf
2,前天，“徐州-阜宁”班车司机当场被抓，就因为车上……O前天，“徐州-阜宁”班车司机当场被抓，就因为... ​​​​,否,,2016-08-31 11:56,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E65jlBrVx
3,最新阜宁街拍照片，快留言告诉我看后的感受O最新阜宁街拍照片，快留言告诉我看后的感受 ​​​​,否,,2016-08-31 11:55,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E65jfD7En
4,东沟挖出个宝贝，既有吃又有用！O东沟挖出个宝贝，既有吃又有用！ ​​​​,否,,2016-08-30 11:24,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E5VFMsLHa
5,这运气，阜宁一退休老干部到菜市场买肉喜中39万元！O这运气，阜宁一退休老干部到菜市场买肉喜中39... ​​​​,否,,2016-08-30 11:23,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E5VFInNQP
6,丹平村20名受灾严重的贫困学生开学前收到一份“大礼”O丹平村20名受灾严重的贫困学生开学前收到一份... ​​​​,否,,2016-08-30 11:23,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E5VFEcOvd
7,省专家组要来阜宁暗访，正在整改的单位注意了！O省专家组要来阜宁暗访，正在整改的单位注意了！ ​​​​,否,,2016-08-30 11:23,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E5VFA5BSA
8,9月20日前，所有安置点开工建设O9月20日前，所有安置点开工建设 ​​​​,否,,2016-08-30 11:23,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E5VFvDgdy
9,开学啦，孩子的文具你检查了吗？这些千万不能有……O开学啦，孩子的文具你检查了吗？这些千万不能... ​​​​,否,,2016-08-29 11:52,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E5MqShxWh
10,板湖的黑鱼和河蟹都跳上岸了O板湖的黑鱼和河蟹都跳上岸了 ​​​​,否,,2016-08-29 11:52,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E5MqOpTbp
11,一张纸竟然这么厉害，你一定想不到！O一张纸竟然这么厉害，你一定想不到！ ​​​​,否,,2016-08-29 11:52,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E5MqK1RI1
12,赞，外国人都来看大阜宁了，就因为这部电影！O赞，外国人都来看大阜宁了，就因为这部电影！ ​​​​,否,,2016-08-29 11:52,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E5MqFAHBT
13,阜宁为这群人颁了个特别奖，这可是最高荣誉噢！！O阜宁为这群人颁了个特别奖，这可是最高荣誉噢... ​​​​,否,,2016-08-29 11:51,转发,评论,1,360安全浏览器,https://weibo.com/5055520743/E5MqBr3DC
14,厨房里发现这个，直接扔掉！有剧毒！这种调料你家肯定有……O厨房里发现这个，直接扔掉！有剧毒！这种调料... ​​​​,否,,2016-08-26 11:58,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E5kbMDKbg
15,阜宁骑电动车的务必看，事关你生命安全！O阜宁骑电动车的务必看，事关你生命安全！ ​​​​,否,,2016-08-26 11:58,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E5kbHzpFU
16,凌晨，阜宁某小区发生大火，现场浓烟滚滚！O凌晨，阜宁某小区发生大火，现场浓烟滚滚！ ​​​​,否,,2016-08-26 11:58,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E5kbE4d2j
17,我县公安在行动，一下子抓了54个人！O我县公安在行动，一下子抓了54个人！ ​​​​,否,,2016-08-26 11:57,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E5kbzCZNw
18,阜宁城建交通大变样，老百姓受益多多……O阜宁城建交通大变样，老百姓受益多多…… ​​​​,否,,2016-08-26 11:57,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E5kbvfzS1
19,每到夏天，硕集全是这种香味，美女们就喜欢它！O每到夏天，硕集全是这种香味，美女们就喜欢它！ ​​​​,否,,2016-08-25 15:23,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E5c6jBeSy
20,前日，阜宁一出租屋起火，损失惨重！原因你不得不看！O前日，阜宁一出租屋起火，损失惨重！原因你不... ​​​​,否,,2016-08-25 15:22,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E5c6dCMBc
21,【热点】实小苏州路校区一年级新生入学问题O【热点】实小苏州路校区一年级新生入学问题 ​​​​,否,,2016-08-25 15:22,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E5c64rMmH
22,【秘闻】“任仲平”“国平”“郑青原”等在中国是何神秘人士？O【秘闻】“任仲平”“国平”“郑青原”等在中国是何... ​​​​,否,,2016-08-25 15:22,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E5c5Ze75k
23,冲吧，阜宁！确保顺利通过省和国家检查验收O冲吧，阜宁！确保顺利通过省和国家检查验收 ​​​​,否,,2016-08-25 15:21,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E5c5SFlOp
24,郭墅不得了，竟藏着这个好东西！O郭墅不得了，竟藏着这个好东西！ ​​​​,否,,2016-08-24 15:13,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E52C7rb33
25,骄傲！阜宁一企业搞大了：全球首座深海钻井平台也用它的技术！O骄傲！阜宁一企业搞大了：全球首座深海钻井平... ​​​​,否,,2016-08-24 15:13,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E52C26sMg
26,阜宁人，别让你的公积金“睡大觉”啦！下月起，公积金提取更便捷！O阜宁人，别让你的公积金“睡大觉”啦！下月起，... ​​​​,否,,2016-08-24 15:13,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E52BX4PFQ
27,阜宁即将兴建铁路综合客运枢纽站O阜宁即将兴建铁路综合客运枢纽站 ​​​​,否,,2016-08-24 15:13,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E52BRb03H
28,床上做这事导致瘫痪，你们也总这么干！O床上做这事导致瘫痪，你们也总这么干！ ​​​​,否,,2016-08-23 11:47,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E4RPMxhcj
29,丢人，3名男子深夜到金沙湖干这种事！O丢人，3名男子深夜到金沙湖干这种事！ ​​​​,否,,2016-08-23 11:47,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E4RPH0s0V
30,陈良一美味都走进了大城市，作为阜宁人竟然没吃过！O陈良一美味都走进了大城市，作为阜宁人竟然没... ​​​​,否,,2016-08-23 11:46,转发,评论,赞,360安全浏览器,https://weibo.com/5055520743/E4RPwCxtK
