序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,【江苏空气质量预报】9月1日，我省空气质量以轻度污染为主，首要污染物以O3为主。更多详情戳：O网页链接 ​​​​,否,,2016-08-31 18:08,转发,评论,赞,360安全浏览器,https://weibo.com/2729070152/E67Ky5fvz
1,【江苏#空气质量日报#】2016年8月31日，我省13个设区市空气质量为良或轻度污染，AQI（空气质量指数）范围在77～122之间。首要污染物均为O3。 ​​​​,否,,2016-08-31 16:54,转发,5,1,360安全浏览器,https://weibo.com/2729070152/E67gkl9dX
2,【环境保护部发布五项污染物排放新标准】环境保护部会同国家质检总局制定了五项污染物排放新标准。环境保护部科技标准司司长邹首民表示，实施这五项标准可以大幅削减颗粒物（PM）、氮氧化物（NOx）、二氧化硫（SO2）污染，有效促进行业技术进步和环境质量改善。O网页链接 ​​​​,否,,2016-08-31 12:51,2,1,赞,360安全浏览器,https://weibo.com/2729070152/E65FMrhIJ
3,【环监局局长:大练兵就是为了打大仗打硬仗打胜仗】环境保护部近日通知，用9月～11月三个月时间在全国范围内开展环境执法大练兵活动。如何看待环境保护部首次组织大练兵活动？此次大练兵活动中有哪些值得关注的地方？本报记者就此采访了环境保护部环境监察局局长田为勇。详情戳：O网页链接 ​​​​,否,,2016-08-31 09:29,转发,评论,赞,微博 weibo.com,https://weibo.com/2729070152/E64lCaAtF
4,【江苏探索环保信用联动机制】自2013年起，江苏省就出台了企业环保信用评价标准和评价办法，建立污染防治类、环境管理类、社会影响类三大类21项指标体系。评价结果采用5种颜色表示，从高到低分别为：绿色、蓝色、黄色、红色、黑色5个等级。截至2015年年底，江苏省已有22542家污染型和服务型环保企业实行环保信用自动评价。O网页链接,否,,2016-08-31 09:19,1,评论,赞,360安全浏览器,https://weibo.com/2729070152/E64hJD8Pr
5,【江苏#空气质量日报#】2016年8月30日，我省13个设区市空气质量为良或轻度污染，AQI（空气质量指数）范围在78～132之间。首要污染物均为O3。 ​​​​,否,,2016-08-30 17:36,转发,1,赞,360安全浏览器,https://weibo.com/2729070152/E5Y6O5piB
6,【连云港市生态环保网络摄影大赛季度奖作品】2016年连云港市生态环保网络摄影大赛评出季度奖。大家点击图片一起来欣赏吧！ ​​​​,否,,2016-08-30 11:20,1,评论,5,360安全浏览器,https://weibo.com/2729070152/E5VEcEuMt
7,【我国拟开征环境保护税】环境保护税法草案昨提请全国人大常委会首次审议，草案提出在我国开征环境保护税。根据草案，环保税的纳税人为在中华人民共和国领域和中华人民共和国管辖的其他海域，直接向环境排放应税污染物的企业事业单位和其他生产经营者。应税污染物为大气污染物、水污染物、固体废物和噪声。O我国拟开征环境保护税,否,,2016-08-30 10:59,1,评论,赞,360安全浏览器,https://weibo.com/2729070152/E5VvF91Il
8,环保健康又省钱,是,【实用】又省钱又健康，你还会拒绝这些”二手货“吗？ ​​​​,2016-08-30 10:03,1,评论,赞,360安全浏览器,https://weibo.com/2729070152/E5V958oi6
9,【江苏空气质量预报】8月30日，我省空气质量在良-轻度污染之间，首要污染物以O3为主。更多详情戳：O网页链接 ​​​​,否,,2016-08-29 17:23,转发,评论,赞,360安全浏览器,https://weibo.com/2729070152/E5OBjeJxN
