序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,#鹿驰快讯#【明儿天气今儿看】天空继续美美的，蓝天白云作为颜值担当，每天都在刷屏。不过处暑过后，昼夜温差较大，一不小心就容易感冒。 预计明天晴，最高气温32度，最低气温20度，西南风3-4级。最高温又开始上升，请大家外出时还是要做好防晒工作啊！ ​​​​,否,,2016-08-31 16:42,转发,评论,赞,搜狗高速浏览器,https://weibo.com/5477333519/E67bruvC9
1,#鹤观天下#【注意！关于近视的十大误区】数据显示，我国高中生和大学生的近视比例已超70%。很多人担心一旦戴上了眼镜，近视度数会越来越深，真的吗？如果配眼镜，度数最好配低一点？即使度数很深，眼镜也不需要一直戴着？这些，都不靠谱！关于近视的十大误区，戳图自查↓↓你中招了吗？ ​​​​,否,,2016-08-31 16:37,转发,评论,1,搜狗高速浏览器,https://weibo.com/5477333519/E679mAq77
2,#鹿驰快讯#【内环高架主体施工有望下月完成】出伏之后，高温渐行渐远，市区内环高架工程迎来了盼望已久的施工黄金季。记者采访了解到，目前，负责高架桥面摊铺、路面系统施工的4个路面施工标段都已开始水泥稳定碎石层或沥青面层的摊铺作业，并形成一定的实体工程量。 ​​​​,否,,2016-08-31 16:22,转发,1,4,搜狗高速浏览器,https://weibo.com/5477333519/E673loR5p
3,#鹿驰快讯#【范公路高架停车场开建 预计年底竣工】8月30日从市交通控股集团获悉，将提供384个社会停车位以及60个公交车停车位的范公路高架停车场已经开建，预计年底竣工。作为市政府今年民生实事类重点工程，由市交通控股集团投资建设的范公路高架停车场项目已于本月1日正式启动。该项目利用范公路南段 ​​​​...展开全文c,否,,2016-08-31 16:12,转发,评论,2,搜狗高速浏览器,https://weibo.com/5477333519/E66ZwpR9M
4,#鹿驰快讯#【市事业单位信用信息公示平台运行】8月30日从市信用办获悉，近日，我市事业单位信用信息公示平台顺利通过了专家验收组验收，并上线运行。该平台的建设是市信用办受市编办委托，依托市公共信用信息系统和“诚信盐城”网站搭建的。平台上公示的事业单位信用信息主要包括：单位名称、统一社会信用代码、法定代表人、宗旨和业务范围、开办资金、单位状态、信用等级、年度报告书以及行政管理部门守信表彰信息和失信警示信息等。该平台将通过“诚信盐城”网向社会公开，以推进我市事业单位加强诚信服务建设，为社会监督管理提供信息支撑。,否,,2016-08-31 16:03,转发,1,赞,搜狗高速浏览器,https://weibo.com/5477333519/E66VU8LkO
5,#黄海潮声#【市四套班子领导集体参观中共中央华中局旧址】为缅怀华中敌后抗战丰功伟绩，大力弘扬革命传统，深入推进“两学一做”学习教育，8月30日下午，市委书记、市人大常委会主任朱克江，市政协主席李驰，市委副书记戴元湖等在盐市四套班子领导集体参观位于泰山庙的中共中央华中局旧址。 ​​​​,否,,2016-08-31 15:54,转发,评论,赞,搜狗高速浏览器,https://weibo.com/5477333519/E66RY7MI4
6,#黄海潮声#【杨岳来盐调研扶贫开发和农业农村工作】8月28日至29日，省委常委、副省长杨岳来盐，调研我市扶贫开发和农业农村工作。他要求，继续深入实施精准扶贫，扎实推进农业结构调整，加快农业现代化进程，带领群众共同致富建设全面小康。省委副秘书长胥爱贵，市委副书记戴元湖等陪同。 ​​​​,否,,2016-08-31 15:47,转发,评论,赞,搜狗高速浏览器,https://weibo.com/5477333519/E66P2nOF8
7,#快乐驿站#【颈部僵硬，按按“肩井穴”】经常低头玩手机、用电脑，容易造成颈部肌肉紧张，导致脑部供血不足，引发头痛。北京中医药大学东直门医院针灸科汤立新教授建议大家，不妨试试按揉肩井穴。肩井穴位于颈部后面最突起的骨头与肩头连线的正中，按摩时用中指按住对侧的肩井穴，并转动与肩井穴同侧的胳膊。,否,,2016-08-31 10:57,1,评论,赞,搜狗高速浏览器,https://weibo.com/5477333519/E64VwF63o
8,#鹤观天下#【明天起，这些新规将影响你的生活】①20项“奇葩证明”派出所不再开具；②国管公积金提取手续简化；③流动就业人员医保可跨统筹地区转移；④网上弹出广告确保能一键关闭；⑤老年游客超百人团需配医生；⑥《慈善法》正式施行：慈善组织享税收优惠；⑦六类情形认定为学术不端。与你有关，扩散！,否,,2016-08-31 10:53,转发,评论,1,搜狗高速浏览器,https://weibo.com/5477333519/E64U4xB4G
9,#鹿驰快讯#【大丰“项目为王”推动发展上台阶】8月28日，来自新加坡的进口原木正在大丰港国家级进口木材检疫处理中心进行熏蒸除害。作为国内首个示范性全封闭式木材熏蒸除害处理项目，该中心投运一个月便得到众多木材加工企业的关注，维德木业等一批行业巨头向大丰抛来合作橄榄枝。“项目为王”推动大丰发展上台阶，今年上半年，该区累计签约项目110个，培耘电子、明进汽车模具、友信汽车部件等一批投资超亿元的新特产业项目相继开工建设。,否,,2016-08-31 10:44,转发,1,1,搜狗高速浏览器,https://weibo.com/5477333519/E64Qe7QXj
