序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,【上下班天气】目前盐城市区多云，偏西风3级，气温29度；预计未来三小时市区多云，气温25度左右。 ​​​​,否,,2016-08-31 17:01,转发,1,赞,盐城气象,https://weibo.com/2058606474/E67j91eJw
1,【晚间天气预报】全市今天夜里到明天白天多云到阴，局部地区有阵雨或雷雨，西南风5级阵风6到7级，沿海海面:多云到阴有阵雨或雷雨，西南风6到7级阵风8级，浪高2.0米，水温28度。明晨最低气温：20度左右，明天最高气温：32度左右。2日多云有时阴，3日多云转晴。 ​​​​,否,,2016-08-31 16:06,1,评论,赞,盐城气象,https://weibo.com/2058606474/E66X2dt8s
2,【空气质量日报】昨日空气质量指数（AQI）为92，良，首要污染物为O3，目前空气质量为良。明日空气质量扩散条件二级，较有利于空气污染物稀释、扩散和清除。预计明日空气质量为良。(市环境监测中心站和市气象台联合发布) ​​​​,否,,2016-08-31 16:02,转发,评论,1,盐城气象,https://weibo.com/2058606474/E66Vucd0V
3,【上下班天气】目前盐城市区晴到多云，偏西风3级，气温28.9度；预计下午上班时晴到多云，气温32度左右。 ​​​​,否,,2016-08-31 11:24,转发,评论,1,盐城气象,https://weibo.com/2058606474/E656mCu2N
4,【午间天气预报】全市今天下午到夜里晴到多云，西南风5级阵风6到7级，今天最高气温：31-32度，明天最低气温：20度左右。沿海海面：西南风7到8级阵风9级，浪高2.5米，水温27度。1日多云，局部地区有时阴有阵雨或雷雨，2日多云有时阴。 ​​​​,否,,2016-08-31 10:14,转发,评论,1,盐城气象,https://weibo.com/2058606474/E64Eeorgj
5,【空气污染扩散条件预报】根据江苏省城市空气质量时报显示：今日8时时我市AQI指数为66，PM2.5最近1小时均值为40微克/立方米，空气质量为良。预计今天下午到夜里晴到多云，西南风5级阵风6-7级，我市空气污染气象条件等级为二级：较有利于空气污染物稀释、扩散和清除。 ​​​​,否,,2016-08-31 10:08,转发,评论,1,盐城气象,https://weibo.com/2058606474/E64Bx8GLJ
6,【天气实况】昨天全市多云，昨天最高气温28.8（建湖）-29.7（滨海、响水）度，市区29.3度，今天早晨最低气温在18.2（滨海）-21.6（阜宁）度，市区21.3度。 ​​​​,否,,2016-08-31 08:32,1,评论,赞,盐城气象,https://weibo.com/2058606474/E63YG1COa
7,【实景天气】 ​​​​,否,,2016-08-31 08:25,转发,评论,1,360安全浏览器,https://weibo.com/2058606474/E63VMjCbR
8,【早间天气预报】今天晴到多云，西到西南风5级阵风6到7级。今天最高气温31度左右，明晨最低气温22度左右。 沿海海面：今天晴到多云，西到西南风7到8级阵风9级，浪高2.5米，水温27度。天气趋势：9月1日晴转多云，局部有时阴有阵雨或雷雨，9月2日多云。 ​​​​,否,,2016-08-31 06:07,转发,评论,赞,盐城气象,https://weibo.com/2058606474/E631I9LD5
9,【上下班天气】目前盐城市区晴，西风3级，气温21.3度；预计未来三小时市区仍为晴好天气。 ​​​​,否,,2016-08-31 05:51,1,评论,1,盐城气象,https://weibo.com/2058606474/E62VftLsL
10,【上下班天气】目前盐城市区晴到多云，西北风3级，气温28.6度；预计未来三小时市区晴到多云，气温24度左右。 ​​​​,否,,2016-08-30 17:10,转发,评论,赞,盐城气象,https://weibo.com/2058606474/E5XWwlDYX
11,【晚间天气预报】#大风警报#全市今天夜里到明天白天晴到多云，西北风4到5级明天逐渐增强为偏西风5到6级阵风7级，沿海海面：西北风7级阵风8到9级转偏西风8到9级阵风10级，浪高3.0米，水温27度。明晨最低气温：20度左右，明天最高气温：31度左右。1日晴转多云，2日多云。 ​​​​,否,,2016-08-30 16:08,转发,评论,赞,盐城气象,https://weibo.com/2058606474/E5Xx7pFVt
12,哈哈哈，气象小目标~~~,是,来来来，先定一个能达到的小目标。提高天气预报准确率不可能一下子实现，先定一个能达到的小目标，比如说先提高到99.9% ​​​​,2016-08-30 15:51,2,评论,2,微博 weibo.com,https://weibo.com/2058606474/E5Xqf1Qyt
13,恩。。。今天的天需要大家来点赞,是,城南的蓝，宝石般的质感～～#盐城正能量# 2盐城·新都路 ​​​​,2016-08-30 15:44,转发,1,6,微博 weibo.com,https://weibo.com/2058606474/E5Xnwgk64
14,【空气质量日报】昨日空气质量指数（AQI）为90，良，首要污染物为臭氧，目前空气质量为良。明日空气质量扩散条件二级，较有利于空气污染物稀释、扩散和清除。预计明日空气质量为良。(市环境监测中心站和市气象台联合发布) ​​​​,否,,2016-08-30 15:39,转发,评论,赞,盐城气象,https://weibo.com/2058606474/E5XlklwcP
