序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,//@南京消防: 转发微博,是,【告诉#熊孩子#，这样的箱子不能钻！】近日，江苏常州6岁男孩在玩捉迷藏时被弟弟锁入智能快递箱。救援人员赶到后，孩子已被困近半小时。因天气炎热且快递箱密闭，消防员随即对箱体进行破拆。所幸孩子被顺利救出，但浑身湿透，几近虚脱。提醒：儿童玩耍时尽量有大人陪伴，以免发生危险。 ​​​​,2016-08-31 16:44,转发,评论,赞,360安全浏览器,https://weibo.com/3326542874/E67cre4Vh
1,//@南京消防: 转发微博,是,【美国无照司机驾车撞消防车 致2人死亡40余人伤】美国当地时间28日早晨7点30分，一辆大客车在路易斯安那州新奥尔良附近公路上撞上一辆正在处理交通事故的消防车，造成40余人受伤，其中一名消防员稍后在医院死亡，另一名先前事故中的伤员也在撞车事故中死亡[震惊]警方证实该客车司机为无证驾驶。蜀黍们 ​​​​...展开全文c,2016-08-31 16:44,转发,评论,赞,360安全浏览器,https://weibo.com/3326542874/E67cnlzlf
2,//@北京消防:,是,【小伙三次跳进河中 一口气连救五个人】江苏小伙曹明驾车时，见到前方一面包车突然撞上路边桥墩，冲进河里，他立刻停车，来不及脱衣就跳入4米多深的河里救人。连游3个回合，将车上5人全救起，又帮忙起吊车辆，然后默默离开。他说救人是本能，“总不能见死不救吧！”小伙好样儿的！ ​​​​...展开全文c,2016-08-31 16:01,转发,1,2,360安全浏览器,https://weibo.com/3326542874/E66UQyvVR
3,//@中国消防:,是,8月15号下午3点多，在济广高速宁都东服务区里，有一辆小轿车在加油的时候，驾驶员竟然在没有把油枪拔出来的情况下，开着车就走了……加油站是非常危险的地方，偏偏总有那些心大到世界都容不下的司机，所以一系列的加油站惨案就发生了……那么加油站有哪些事情是要注意的呢？看了下面的图你就知道！ ​​​​...展开全文c,2016-08-31 15:58,转发,评论,赞,360安全浏览器,https://weibo.com/3326542874/E66Tzn3hH
4,//@交通安全蜀黍: 传递正能量！ //@股民朱古力:有那么多人下车灭火救人，真好！,是,#蜀黍说安全#感动！美国纽约发生一起连环车祸，轿车起火女子被困车内，陌生人不顾危险英勇相救。转发正能量！ L秒拍视频 ​​​​,2016-08-31 15:37,转发,评论,1,360安全浏览器,https://weibo.com/3326542874/E66LinCcl
5,//@常州消防119: 婴儿车真的安全吗,是,【婴儿车真的安全吗?】据美国《育儿》杂志报道，美国每年有1万余名的孩子因为婴儿车而受伤…..关于婴儿车这个我们日常生活中有孩子一族必备的装置，怎样才能只有安全没有隐患呢？↓↓↓是家长们不可不知道的事情！ ​​​​,2016-08-31 15:36,转发,评论,赞,360安全浏览器,https://weibo.com/3326542874/E66KTiRYy
6,//@云南消防: 【谁让电动车“发火？[hold住]你会破解吗？】,是,#安全防范小锦囊# 【谁让电动车“发火？[hold住]你会破解吗？】 天气炎热，防火形势也变得更加严峻。日常生活中，你是不是很少关注过电动车也会引发火灾，或者对它的使用和维修知之甚少。消防蜀黍告诉你电动车使用和管理的消防安全小知识，避免电动车火灾事故发生。你一定要认真学哦…… ​​​​,2016-08-30 22:30,转发,评论,赞,360安全浏览器,https://weibo.com/3326542874/E602odiEV
7,转发微博,是,#微视频#【妈妈带娃上班反遇险！8岁女儿手绞物流传送带】8月26日22时许，广西柳州乾龙江航物流园内，一8岁女孩左手被绞入物流传送带。女孩妈妈因家中无人看孩子便将孩子带到单位看管，就接个电话的功夫，女儿的手被绞进了物流传送带机器内！队长提醒：带孩子一定要处处留心！ L秒拍视频 . ​​​​,2016-08-30 22:30,转发,评论,赞,360安全浏览器,https://weibo.com/3326542874/E602gwPKC
8,//@四川消防: 致敬老兵！,是,#全民消防#    [ 退伍季 ]最后一次穿着骄傲的橙色救援服和兄弟们合影）当兵收获的不仅仅是过硬的身体素质和思想上的成熟，还有能够结识了一群出生入死的兄弟，这份珍贵的友谊是金钱无法买到的。——————致老兵肖伟！ ​​​​,2016-08-30 22:30,转发,评论,2,360安全浏览器,https://weibo.com/3326542874/E602dAw3K
9,转发微博,是,#夏季消防安全提示# 【办公室火灾，不得不防！】对于大部分上班族来说，工作日三分之一的时间都是在办公室度过的，办公室人员密集，用电量大，稍不留神可能就会引起火灾，上班再忙也别忘了防火查患，留意细节，为身边人带去平安↓上班族必看！ ​​​​,2016-08-30 22:30,转发,评论,1,360安全浏览器,https://weibo.com/3326542874/E6029anmC
10,转发微博,是,#蜀黍说安全#宝马男高速上在货车前踩刹车，结果被撞的找不着北。网友：宝马司机下车后满脸的蒙逼。 L秒拍视频 ​​​​,2016-08-30 22:29,转发,评论,1,360安全浏览器,https://weibo.com/3326542874/E601Nj215
11,转发微博,是,#给力G20# 【G20走心宣传片：感受最美的杭州】2016年9月4日-5日，G20峰会在杭州召开！央视重磅推出G20杭州峰会宣传片《喜欢你 在一起》，演员海清、运动员孙杨等纷纷出镜，还有生活工作在杭州，来自各个行业和世界各地的人们对世界高喊：喜欢你！点击链接，火速感受↓↓  O网页链接 ​​​​,2016-08-30 22:28,1,评论,赞,360安全浏览器,https://weibo.com/3326542874/E601H7sdE
12,//@中国消防: 板寸是最帅的发型！亲们同意么？,是,#消防风采#【退伍前，他们在部队悄悄整了容，爹妈都不敢认了！】 军营真是一所整容院，不光整了容貌，还提升了气质。这种变身，并不是从洗剪吹到板寸，而是军人精神的洗礼。来看看消防官兵在退伍前拍的一组照片，绝对让你惊艳！@中国消防 @长沙消防 @常德消防@萍乡消防@湘西消防 ​​​​...展开全文c,2016-08-29 23:51,转发,评论,1,360安全浏览器,https://weibo.com/3326542874/E5R8zxYBS
13,//@中国消防:,是,#消防提示#【如何正确识别用电标志】日常生活中，我们经常看到红色、黄色、绿色、蓝色的用电标志。但你造不同颜色、不同图案标志的用处吗？快来戳图和防哥一起学习吧～ ​​​​,2016-08-29 23:51,转发,评论,赞,360安全浏览器,https://weibo.com/3326542874/E5R8xwW4I
