序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,【晚间天气预报】今天夜里到明天白天多云到阴，局部地区有阵雨或雷雨，西南风5级阵风6到7级，明晨最低气温：20度左右，明天最高气温：32度左右。2日多云有时阴，3日多云转晴。 ​​​​,否,,2016-08-31 17:12,转发,评论,赞,360安全浏览器,https://weibo.com/3173835052/E67nI28W5
1,【午间天气预报】今天下午到夜里晴到多云，西南风5级阵风6到7级，今天最高气温32度，明晨最低气温20度。9月1日多云，局部有时阴有阵雨或雷雨。2日多云有时阴。 ​​​​,否,,2016-08-31 10:28,转发,评论,赞,360安全浏览器,https://weibo.com/3173835052/E64JI8XYv
2,【早间天气预报】今天晴到多云，西到西南风5级阵风6到7级。今天最高气温31度左右，明晨最低气温22度左右。9月1日晴转多云，局部有时阴有阵雨或雷雨，9月2日多云。 ​​​​,否,,2016-08-31 07:48,转发,评论,赞,360安全浏览器,https://weibo.com/3173835052/E63GP2Erq
3,【晚间天气预报】#大风警报 #今天夜里到明天白天晴到多云，西北风4到5级明天逐渐增强为偏西风5到6级阵风7级，明晨最低温度20度左右，明天最高温度31度左右。9月1日晴转多云；2日多云。 ​​​​,否,,2016-08-30 16:02,转发,评论,赞,360安全浏览器,https://weibo.com/3173835052/E5XuSth5X
4,【中午天气预报】今天下午到夜里晴到多云，西北风4到5级，今天最高气温30℃，明晨最低气温21℃；31日晴转多云，1日多云到阴。 ​​​​,否,,2016-08-30 10:27,转发,评论,赞,360安全浏览器,https://weibo.com/3173835052/E5ViR8CNa
5,今天白天到夜里晴到多云，西北风4级，今天最高气温30℃，明晨最低气温21℃。31日晴转多云，1日多云到阴。 ​​​​,否,,2016-08-30 07:48,转发,评论,赞,360安全浏览器,https://weibo.com/3173835052/E5UgksbbY
6,【晚间天气预报】今天夜里到明天白天晴到多云，西北风4级左右，明晨最低温度：19到20度，明天最高温度：30度左右。8月31日晴转多云 ，9月1日多云到阴。 ​​​​,否,,2016-08-29 16:17,转发,1,赞,360安全浏览器,https://weibo.com/3173835052/E5Oan5qQk
7,【午间天气预报】今天下午到夜里晴到多云，西北风4级，今天最高气温29度，明晨最低气温20度。30日、31日晴到多云。 ​​​​,否,,2016-08-29 11:43,转发,评论,赞,360安全浏览器,https://weibo.com/3173835052/E5MnkFW42
8,【早间天气预报】今天晴到多云，西北风4级。今天最高气温29度左右，明晨最低气温19到20度。 30日晴到多云，31日晴转多云。 ​​​​,否,,2016-08-29 07:50,转发,评论,赞,360安全浏览器,https://weibo.com/3173835052/E5KQrbqP7
9,【晚间天气预报】今天夜里到明天白天晴到多云，偏北风4到5级阵风6级。明天最高气温29度左右，明晨最低气温19度左右。天气趋势：8月30日晴到多云；8月31日多云。 ​​​​,否,,2016-08-28 15:54,转发,评论,赞,360安全浏览器,https://weibo.com/3173835052/E5EAxnfev
