序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,江苏学生资助再出新政　对建档立卡家庭经济困难学生加强教育资助从2016年秋季学期起，全面免除普通高中建档立卡家庭经济困难学生学杂费，免除我省普通高校建档立卡家庭经济困难本、专科学生学费，免除中等职业教育艺术类表演专业学生学费，我省中等职业教育实现免学费全覆盖。 近日，江苏省财政厅、江苏省教育厅、江苏省扶贫工作领导小组办公室联合下发《关于对建档立卡家庭经济困难学生加强教育资助工作的意见》（以下简称《意见》）。我省学生资助再出新政。《意见》提出，从2016年秋季学期起，全面免除普通高中建档立卡家庭经济困难学生学杂费，免除我省普通高校建档立卡家庭经济困难本、专科学生学费，免除中等职业教育艺术类表演专业学生学费，我省中等职业教育实现免学费全覆盖。《意见》明确了实施以上免费政策所需资金的渠道，普通高中免学杂费资金由省财政承担，并对依法批准的民办普通高中按当地公办普通高中免学杂费标准对学校给予补助，民办普通高中学费标准高于省财政补助标准的部分，学校可以按规定继续向学生收取。普通高校所需资金由高校从生均财政拨款、事业费收入等经费中统筹安排解决，中等职业教育所需资金由省财政与市县财政按中职免学费补助比例分担。,否,,2016-08-29 21:27,转发,1,赞,三星 GALAXY S5,https://weibo.com/5068563727/E5Qci2c5k
1,五种反教育行为，校长和教师要坚决与之斗争曾看到一张照片，标题是“差生伺候优生吃饭”。画面说明是，某校夏令营为了让学生“体验人生百态，把握自我命运”，根据学生的表现打分，把学生分成“上士”“中士”“下士”三等。“上士”吃三菜一汤，还有一杯代表身份的“红酒”；“中士”吃两菜一汤；“下士”站在桌子旁边伺候“上士”吃饭，只有等“上士”吃完了，把碗筷收拾了才能去吃比较差的饭。谁看到这张照片都会感到十分吃惊，这位校长竟然想出这种馊主意！今天我们大声疾呼，“育人为本”不应再停留在号召上、口号上，而应该针对育人中存在的问题，加以批判和纠正，与反教育行为作斗争。目前，教育中反教育行为表现在许多方面。反教育行为之一，是把学生分成三六九等，特别歧视所谓“差生”“后进生”。上述那张照片不就是对学生人格的极大污辱？前几年山西某报登过一篇文章，标题为“谁毁了我一生？”，讲述一名非重点学校学生考上重点高中后，受到重点学校一位英语教师歧视。该教师常用语言伤害这位学生，使其功课一落千丈，对学习失去了信心。 当前有些学校设重点班或实验班，有的教师对非实验班的学生歧视，说非实验班的学生都是“烂学生”，使学生心灵受到极大的伤害。有些班主任甚至当着家长的面数落学生的缺点。这都是有损学生人格的反教育行为。反教育行为之二，是用暴力对待“后进生”。电视曾曝光这样一件事，杭州有一所西点男子学校，用黄连、辣椒、鞭子等惩治顽皮的儿童，画面上还展示了一名儿童背上的条条鞭痕。另据报道，武汉某训练学校居然把学生整死！这种反教育行为严重违反了《义务教育法》《未成年人保护法》，是一种违法行为。 反教育行为之三，是用非人性的标语口号来督促学生拼命学习。有一所学校高三班的黑板上方贴着这样的标语：“生时何必多睡，死后自然长眠。”何等惊人！类似的标语口号常见于高三毕业班上。这不仅不利于鼓励学生努力学习，而且会增加学生的压力；把学生捆绑在分数的战车上，更不利于学生理解人生的真正价值。反教育行为之四，是在学习中提倡竞争。有一种错误的观点认为，市场经济讲竞争，社会上竞争激烈，因此应该把竞争机制引入学校。这是违背教育规律的，历代教育家都不主张学生在竞争中学习。学校应该营造互相切磋、互相借鉴、互相帮助的学习气氛，使学生共同进步。但现在学校却强调竞争，学生间互相保密、互相歧视。有一个学生考了一百分，回家大哭一场。母亲问她：“考了一百分为什么大哭？”女儿说：“因为还有一个同学也考了一百分。”这种竞争滋生了嫉贤妒能的心态，是不是也是一种反教育行为？反教育行为之五，是拔苗助长，对学生实施过度的教育，过早地给儿童加重学习任务，用沉重的学习负担剥夺其幸福的童年。这不仅使儿童身体受到损害，而且也使其社会情感受到扭曲。江苏瓜农施用膨大剂，使未成熟西瓜在地里裂开。我们的教育是不是也在向学生施用膨大剂？这值得大家反思。反教育行为，学校中存在，也反映在社会、家庭中。陶行知先生说过，好教育培养出好人，坏教育培养出坏人。反教育就是一种坏教育，学校、家庭、社会都要与之斗争，特别是学校，作为专门育人的阵地，更要坚决与之斗争。,否,,2016-08-27 22:00,转发,评论,1,三星 GALAXY S5,https://weibo.com/5068563727/E5xyArSie
2,江苏建立留守儿童关爱保护制度 16岁以下不得独居8月23日上午，江苏省政府召开新闻发布会。江苏将建立完善家庭尽责、政府主导、社会关爱的留守儿童服务体系，健全工作机制，着力减少留守儿童留守现象。在新型城镇化的背景下，“留守儿童”已成为亟待关注与保护的社会群体。数据显示，目前江苏省共有农村留守儿童24.2万人，占农村籍儿童总数的2.9%。为建立农村留守儿童关爱保护制度，江苏省政府印发了《关于加强农村留守儿童关爱保护工作的实施意见》，针对留守儿童关爱保护方面存在的问题，围绕家庭责任、政府责任、社会责任三个方面，完善责任体系，为农村留守儿童撑起“保护伞”。《实施意见》指出，3岁以下儿童的父母应与其共同生活或父母一方留家照料，3—6岁儿童应入园接受学前教育，学龄儿童必须接受义务教育。父母双方外出务工或一方外出务工另一方监护能力缺失的父母要与村（居）委会签订监护责任书，落实监护责任，不得让不满16周岁的儿童脱离监护或单独居住生活。对监护人将农村留守儿童等未成年人置于无人监管和照看状态，导致其面临危险且经教育不改的，或者拒不履行监护职责6个月以上导致其身心健康严重受损的，其近亲属、村（居）委会、县级民政部门有关人员或者单位要依法向人民法院申请撤销监护人资格，另行指定监护人。此外，目前，江苏87%的随迁子女已在流入地的公办学校就读，并参加当地中考、高考。外省到江苏务工的随迁子女，也已与江苏籍孩子享受同等待遇。江苏接下来将继续着力减少儿童留守现象，通过政府购买服务等方式支持外来务工人员子女接受义务教育，并完善和落实符合条件的外来务工人员子女在流入地参加中考、高考政策，推动农村进城务工人员子女就地入学。,否,,2016-08-27 21:59,1,评论,赞,三星 GALAXY S5,https://weibo.com/5068563727/E5xy9veAO
3,注意！孩子要开学了，家长收到这样的短信要小心家里的孩子们就要开学啦，而此时，又到了“开学通知”“开学收费”等诈骗案件的高发期。小编梳理了常见的短信诈骗手段，提醒各位同学和家长，在收到这些信息时切记不要慌张，应第一时间和学校或孩子本人确认，不要轻易汇款或点击不明链接。 ​​​​,否,,2016-08-27 21:59,转发,评论,赞,三星 GALAXY S5,https://weibo.com/5068563727/E5xy5p17N
4,"阜宁一年级新生家长请看，7问7答请您放心！近日，很多一年级新生家长都关注的话题，日前，针对阜宁县实小苏州路校区一年级新生入学问题，小编向有关部门了解到↓↓问：实小苏州路校区会不会变为实验初中分部?答：苏州路校区是隶属阜宁实小教育集团的独立校区，不会撤并，更不会办初中。问：苏州路校区一年级新生在第一高中借读时间多长？答：苏州路校区一年级新生在第一高中借读一年。问：孩子和高中生在一起上学，安全是如何保障的？答：苏州路校区在第一高中借用两幢教学楼用于一年级25个班级的教育教学。这两幢教学楼与中学教室用围栏隔开，确保孩子有独立的学习、活动空间，孩子进出学校也与中学生分开，单独走北门。问：到第一高中上学，部分学生路途远了，车费会不会增多？答：开学后将安排专线公交接送在第一高中就读的小学生，并做到加里程不加价。问：今年为什么把新上一年级的小学生放在第一高中借读?为什么不把高年级学生放过去?答：今年苏州路校区一年级新生有25个班级，而已毕业的六年级仅有5个班，五年级升六年级也只有13个班，即使将六年级新生安排到第一高中，苏州路校区也容纳不下所有一年级新生。问：长春路小学什么时候建成使用?答：长春路路校区明年4月份建成，秋学期投入使用。问：长春路小学投入使用后,苏州路和长春路校区招生的基本原则是什么?答：明年秋学期招生时，将遵循就近入学的原则划定苏州路和长春路校区施教区，保证具有本校学区范围内房产、户籍的适龄儿童入学。资讯延伸阜宁实验小学长春路校区年底建成近日记者在阜宁实验小学长春路校区建设工程现场，工地上数台大型挖掘机、打桩机、起吊机正轰隆隆地作业，头戴安全帽的工人也紧张忙碌的协助测绘，刚到施工现场的钢筋今天也已提前捆扎，现场多台大型塔吊也已全部就位，目前施工方充分利用当前晴好天气，有条不紊地将各项工作向前推进。通过施工方我们了解到，8月23日阜宁实验小学长春路校区工程正式开工挖土，目前场面道路已硬化，大型机械、塔吊全部安装检测完毕，大批建筑材料、钢筋正陆续进场，为下一步施工做好准备。据了解，阜宁实验小学长春路校区建设工程按照15轨道90个班设计，占地115亩，建筑面积3.3万平方米，总投资1亿元，计划今年年底建成，建成之后将有效缓解城南新区适龄学生上学难问题。",否,,2016-08-25 20:37,1,1,赞,三星 GALAXY S5,https://weibo.com/5068563727/E5e9OyiS8
5,我市阜宁县抗灾救童幼儿教师先进群体荣获“2016最美幼儿教师”特别奖2016-08-23 盐城教育发布点击「盐城教育发布」可快速关注我们微信号：yanchengedu8月22日，“感动江苏教育人物——2016最美幼儿教师”评选表彰活动终评会在省教育厅举行。终评会由评委会主任、省教育厅厅长沈健主持，省教育厅副厅长朱卫国出席。省教育基金会理事长祭彦加介绍了“感动江苏教育人物”系列评选表彰活动的相关背景，江苏教育报刊总社主要负责同志汇报了评选工作开展情况。阜宁县抗灾救童幼儿教师先进群体获得“2016最美幼儿教师”特别奖，另我市大丰区苗苗艺术幼儿园朱娟等10位教师被评为“2016最美幼儿教师”，常州市天宁区朝阳幼儿园方红等10位教师获得“2016最美幼儿教师”提名奖。终评结果将在江苏教育网、江苏教育新闻网、“最美教育人”微信公众号进行为期一周的公示。名单如下：沈健厅长在终评会上指出：评选表彰“感动江苏教育人物”旨在选树全省教育系统的优秀榜样人物，真正在全社会营造更加浓郁的尊师重教的良好社会氛围。自2013年以来，先后开展了“感动江苏教育人物”“最美乡村教师”“最美特校教师”“最美幼儿教师”系列评选表彰活动，引发了强烈的社会反响。他要求，今后这项工作要长期坚持、深入地开展下去，在各类教育各条战线上选树出先进典型，同时要广泛宣传这些优秀教师的先进事迹，充分发挥榜样的引领作用，鼓励全省广大教师向先进典型学习，在教育教学的第一线长期坚持，多做贡献。要将“感动江苏教育人物”系列评选表彰活动打造成全社会的教育品牌，成为各类政府奖项的一个重要补充。 据了解，为展示、宣传全省广大幼儿教师爱岗敬业、教书育人的感人事迹，吸引社会各界人士对学前教育事业的关注，促进全省学前教育事业的进一步发展，经省教育厅批准，今年2月，省教育基金会和报刊总社联合开展“感动江苏教育人物——2016最美幼儿教师”评选表彰活动，全省各市、县（市、区）共推选246名表现突出、事迹感人的幼儿教师。经过初评、复评，组委会严格按照评选标准从246候选人中遴选出20位入围教师。江苏教育报刊总社安排记者，联合候选人所在县（市、区）教育局，对入围教师进行了深入采访。 8月15日至19日，江苏教育新闻网“最美教育人”微信公众号开通终评网络投票通道，总访问次数达125万人次，20名候选人共收到选票14.8万张。网络票选结果提交评委会作为参考。终评会上，由省教育基金会、江苏省学前教育学会、省教育厅相关处室、江苏教育报刊总社的相关负责同志共同组成的终评委员会严格按照评审标准，从爱岗敬业、师德高尚、业绩突出、社会赞誉4个方面，紧扣人物“最美”，事迹“感人”的评审原则，参考网络投票情况，经过综合评分、汇总和审议，最终确定获奖人选。据悉，“感动江苏教育人物——2016最美幼儿教师”评选表彰活动将于教师节前颁奖。组委会还将组织10位“2016最美幼儿教师”和10位“2016最美幼儿教师”提名奖获得者赴香港进行为期一周左右的专题培训。,否,,2016-08-23 20:47,转发,评论,1,三星 GALAXY S5,https://weibo.com/5068563727/E4Vnc8SGk
6,明日最后一天，阜宁驻城小学初中新生登记材料所需一览！通知爸爸妈妈们：驻城初中和小学新生办理登记手续统一安排在8月15日至20日，我局分别在县实验小学向阳路校区和县明达初中设立小学、初中招生咨询点。报名现场人多，报名材料您得提前准备好哦！报名材料及报名地点 小  学县教育局在实小向阳路校区设立招生咨询点，请下列情形符合县城小学新生入学条件的大班幼儿家长于8月15日-20日携带相关材料到咨询点登记信息。（1）非县城幼儿园大班就读的幼儿（“零报生”）携带出生证明、户口簿、房产证、购房合同及发票原件和复印件、水电发票原件等材料；（2）进城务工人员子女入学，凭家长用工单位缴纳的三个月以上的劳动保险（今年4月份之前缴纳）及小孩出生证明、户口簿等相关材料；（3）外来经商人员子女入学，家长凭我县市场监管局发放的工商营业执照（法人代表为父母本人，发放时间在今年4月份之前）及小孩出生证明、户口簿等相关材料。注：2.3两种情形家长已将材料送交到幼儿园的，由班主任直接送往招生咨询点登记。 初 中 非县城小学毕业的学生，符合县城入学条件的可以到县城就读初中（即“零报生”），家长在规定时间到县明达初中招生咨询点办理登记手续。登记时须出具以下材料的原件及复印件：（1）户口簿；（2）监护人房屋所有权证；（3）小学毕业证明；外来务工经商等人员子女入学 1.外来务工经商人员子女申请到县城小学、初中入学的，凭户口簿及父母一方县城工作单位劳动合同、县人社局劳动保险证明（2016年4月30日前）或凭户口簿及个体工商营业执照（2016年4月30日前）等材料，到我局招生咨询点办理申请入学登记手续，经核查符合条件的，由我局调剂到学额许可的学校就读。2.近三年来，县城拆迁户已经安置的，到安置地施教区学校就读；没有安置的，在拆迁前居住地或拆迁后规划安置地施教区学校就读。3.非县城幼儿园就读的适龄儿童和非县城小学毕业的学生，符合县城入学条件的可以到县城就读小学、初中（即“零报生”），家长在规定时间内携户口簿、监护人房屋所有权证以及小孩出生证明或毕业证明（小学入学带出生证明、初中入学带小学毕业证明）等材料，在8月20日前到我局招生咨询点办理申请入学登记手续。1咨询电话对报名有疑问的家长可以在工作日拨打阜宁县教育局电话进行咨询。    小学招生：87399848    初中招生：87212295,否,,2016-08-19 20:32,1,11,3,三星 GALAXY S5,https://weibo.com/5068563727/E4jz1af36
7,今天起驻城小学初中新生登记，这些报名材料你准备好了么？爸爸妈妈们：驻城初中和小学新生办理登记手续统一安排在8月15日至20日，我局分别在县实验小学向阳路校区和县明达初中设立小学、初中招生咨询点。报名现场人多，报名材料您得提前准备好哦！报名材料及报名地点 小  学县教育局在实小向阳路校区设立招生咨询点，请下列情形符合县城小学新生入学条件的大班幼儿家长于8月15日-20日携带相关材料到咨询点登记信息。（1）非县城幼儿园大班就读的幼儿（“零报生”）携带出生证明、户口簿、房产证、购房合同及发票原件和复印件、水电发票原件等材料；（2）进城务工人员子女入学，凭家长用工单位缴纳的三个月以上的劳动保险（今年4月份之前缴纳）及小孩出生证明、户口簿等相关材料；（3）外来经商人员子女入学，家长凭我县市场监管局发放的工商营业执照（法人代表为父母本人，发放时间在今年4月份之前）及小孩出生证明、户口簿等相关材料。注：2.3两种情形家长已将材料送交到幼儿园的，由班主任直接送往招生咨询点登记。 初 中 非县城小学毕业的学生，符合县城入学条件的可以到县城就读初中（即“零报生”），家长在规定时间到县明达初中招生咨询点办理登记手续。登记时须出具以下材料的原件及复印件：（1）户口簿；（2）监护人房屋所有权证；（3）小学毕业证明；外来务工经商等人员子女入学 1.外来务工经商人员子女申请到县城小学、初中入学的，凭户口簿及父母一方县城工作单位劳动合同、县人社局劳动保险证明（2016年4月30日前）或凭户口簿及个体工商营业执照（2016年4月30日前）等材料，到我局招生咨询点办理申请入学登记手续，经核查符合条件的，由我局调剂到学额许可的学校就读。2.近三年来，县城拆迁户已经安置的，到安置地施教区学校就读；没有安置的，在拆迁前居住地或拆迁后规划安置地施教区学校就读。3.非县城幼儿园就读的适龄儿童和非县城小学毕业的学生，符合县城入学条件的可以到县城就读小学、初中（即“零报生”），家长在规定时间内携户口簿、监护人房屋所有权证以及小孩出生证明或毕业证明（小学入学带出生证明、初中入学带小学毕业证明）等材料，在8月20日前到我局招生咨询点办理申请入学登记手续。1咨询电话对报名有疑问的家长可以在工作日拨打阜宁县教育局电话进行咨询。    小学招生：87399848    初中招生：87212295,否,,2016-08-16 13:03,转发,评论,赞,三星 GALAXY S5,https://weibo.com/5068563727/E3Olb7YAF
8,【阜宁县隆重举行2016年全民健身日暨老年人体育节活动启动仪式】8月8日是全国全民健身日，为进一步推动阜宁县全民健身活动的深入开展，掀起群众体育运动的新高潮，让全县人民体育锻炼经常化、个人健身生活化，上午一大早，县铁军广场体育场上人声鼎沸，来自全县各行各业的健身爱好者齐聚在这里，参加2016年阜宁县全民健身日暨老年人体育节活动启动仪式。详情猛戳：O网页链接,否,,2016-08-08 21:41,转发,评论,2,三星 GALAXY S5,https://weibo.com/5068563727/E2Ejqq125
9,【阜宁县教育局联合县法院开展校车交通安全法制教育活动】    7月28日上午，阜宁法院一审以危险驾驶罪判处被告人高某拘役两个月，并处罚金人民币四千元，这是盐城市首例校车危险驾驶案宣判。经查，高某驾驶的小型普通客车核定载客7人，实际载客18人，超过额定乘员157%，超过额定乘员11人。    为了对阜宁县所有从事学生接送业务的车辆驾驶人进一次深刻的教育，从源头上预防和减少违法行为，保障学生、幼儿通行安全。庭审当天，该县教育局联合法院开展了校车交通安全法制教育活动，邀请了县部分幼儿园园长、小学校长、校车驾驶员、人大代表及政协委员100余人参加旁听学习，以案说法。通过旁听，让广大的校车驾驶员得到一次深刻的教育洗礼。 ,否,,2016-08-08 21:39,转发,评论,赞,三星 GALAXY S5,https://weibo.com/5068563727/E2EiPcVil
